lag_ps,autocorrelation,autocorrelation_normalized
0.0,3.83372066505722e-05,1.0
0.01,3.491952093231786e-05,0.9108519890506074
0.02,3.183747835024803e-05,0.830459001367353
0.03,2.9061593964023895e-05,0.7580519423052472
0.04,2.634161897208218e-05,0.6871032418239325
0.05,2.4039250735496332e-05,0.6270475299518865
0.06,2.2042011869666657e-05,0.5749509104972225
0.07,2.005081924520671e-05,0.5230120031425776
0.08,1.8334298691185976e-05,0.478237730210642
0.09,1.6809123937652473e-05,0.4384545825380731
0.1,1.547632616002745e-05,0.40368945763544456
0.11,1.4169207606456971e-05,0.3695941578530602
0.12,1.2779842165437955e-05,0.3333535038669076
0.13,1.1416749595046843e-05,0.2977981598687093
0.14,1.0201990156867702e-05,0.2661119848885869
0.15,8.950415456170618e-06,0.2334655087875848
0.16,7.87276083510744e-06,0.20535561985160794
0.17,6.944467936426013e-06,0.18114173000975187
0.18,6.358200278034658e-06,0.16584933628542703
0.19,5.8263926133564315e-06,0.15197749451235698
0.2,5.3282950520908575e-06,0.13898495789367404
0.21,4.865412029222127e-06,0.12691096859425224
0.22,4.424271642070703e-06,0.11540412118170505
0.23,3.9077735143759915e-06,0.10193161828387062
0.24,3.34356800332671e-06,0.08721470069016637
0.25,2.9450545559677826e-06,0.07681974805339205
0.26,2.379683145789541e-06,0.062072418772691755
0.27,1.6889825654587778e-06,0.04405596320183565
0.28,1.1059869997255939e-06,0.02884891979236277
0.29,4.57333200542658e-07,0.011929225953029421
0.3,6.840211911181416e-08,0.0017842228239337106
0.31,-2.176794997349553e-07,-0.0056780219205591585
0.32,-5.022394920504667e-07,-0.013100576070347852
0.33,-7.219666097494444e-07,-0.01883200871492469
0.34,-7.091778023791609e-07,-0.018498421359777816
0.35,-3.1759546909356433e-07,-0.008284262126563259
0.36,-9.581343658869521e-08,-0.002499228424804006
0.37,2.6689806712647966e-07,0.006961854825760919
0.38,3.1063723701336344e-07,0.008102761368210615
0.39,3.053432519687434e-07,0.00796467136356128
0.4,2.8661109139605337e-07,0.007476055676366697
0.41,3.094547665339662e-07,0.00807191742879231
0.42,3.662257392694938e-07,0.00955274969841935
0.43,4.0301523593930733e-07,0.010512378734648685
0.44,4.208852496387291e-07,0.010978505906153369
0.45,5.427002633623487e-07,0.014155967812387519
0.46,4.6734883907990155e-07,0.012190477082474817
0.47,4.984375775076641e-07,0.01300140571144676
0.48,6.766007001534679e-07,0.01764866977191123
0.49,8.136848794552375e-07,0.021224417492688996
0.5,1.1458621173868222e-06,0.029889035156652963
0.51,1.4535201323814968e-06,0.03791408554174883
0.52,1.3636703234424555e-06,0.03557041429418025
0.53,1.218742462124735e-06,0.03179006945480064
0.54,8.312821020882323e-07,0.021683429094483207
0.55,7.51869934574928e-07,0.019612016635116684
0.56,9.473495157312849e-07,0.024710968755913398
0.5700000000000001,1.1929571311953432e-06,0.03111747660878516
0.58,1.293314705382457e-06,0.033735235776839095
0.59,1.5125421142890729e-06,0.03945363385692832
0.6,1.6342419366483826e-06,0.04262809107465295
0.61,1.6027736108884373e-06,0.04180726116790554
0.62,1.6869666273549668e-06,0.04400337882545723
0.63,1.842113341857155e-06,0.04805027551034839
0.64,1.759397323287493e-06,0.045892684339880904
0.65,1.8286853933486187e-06,0.047700016592662334
0.66,1.8689202758841904e-06,0.048749516179377034
0.67,1.91287454221729e-06,0.04989603336655044
0.68,2.0682122234464282e-06,0.053947911288825194
0.6900000000000001,2.012144105139612e-06,0.05248541249965013
0.7000000000000001,2.0821956855313536e-06,0.05431266040089219
0.71,2.2850603241890713e-06,0.05960424673128776
0.72,2.2045052559871414e-06,0.057503022483622664
0.73,2.0505131152470557e-06,0.05348624207122432
0.74,1.9109740887496572e-06,0.04984646132847906
0.75,1.6418771325991009e-06,0.04282724997582982
0.76,1.356221738722632e-06,0.035376123020230264
0.77,1.2237047120465891e-06,0.03191950637405985
0.78,1.3403961887708386e-06,0.034963324297150704
0.79,1.48910677652392e-06,0.038842338986679784
0.8,1.300252273407768e-06,0.03391619752735327
0.81,1.3073877742120802e-06,0.034102322219988004
0.8200000000000001,1.1068694687333511e-06,0.028871938397129687
0.8300000000000001,8.445576244852844e-07,0.02202971208056649
0.84,7.805834907417814e-07,0.02036099024784141
0.85,9.935981336449555e-07,0.025917332545930954
0.86,1.282739045774318e-06,0.033459376878079684
0.87,1.3103459099105157e-06,0.03417948318075903
0.88,1.5821594423123643e-06,0.04126955458004789
0.89,2.0755643483106243e-06,0.05413968647294874
0.9,2.2737911559837817e-06,0.059310298131745716
0.91,2.5205355018034846e-06,0.06574645682397062
0.92,2.5279322648021314e-06,0.06593939636351677
0.93,2.5160621165350357e-06,0.06562977160719878
0.94,2.3652884064380644e-06,0.061696941772432484
0.95,2.2131466465674194e-06,0.05772842728838689
0.96,2.1326680779677623e-06,0.055629198480894836
0.97,2.10502409281004e-06,0.05490812390157856
0.98,1.9520837650512165e-06,0.05091877931649151
