temperature_K,site_i,site_j,n_frames,fraction_site_i_is_lower_energy,mean_gap_meV,sd_gap_meV,mean_site_projector_overlap_weight,minimum_overlap_weight,maximum_overlap_weight,mean_downward_rate_at_kappa1_ps_inv,mean_upward_rate_at_kappa1_ps_inv,downward_timescale_at_kappa1_ps,downward_timescale_at_kappa10_ps
150.0,PYR2_bright,PYR5_bright,21,0.0,311.5851459440104,21.153338383168613,7.878174868950412e-07,8.866622677508915e-08,9.425509014902021e-06,7.878174869216873e-07,2.6646044204030675e-17,1269329.5294921584,126932.95294921583
150.0,PYR3_bright,PYR5_bright,21,0.0,301.08414990530605,21.601836732685207,3.074053937019936e-06,1.1756592294193006e-06,6.32122753823876e-06,3.0740539378272687e-06,8.073327479643259e-16,325303.33566846803,32530.333566846806
150.0,PYR4_bright,PYR5_bright,21,0.0,313.7399055331601,15.985053715564232,4.1565227361706386e-05,2.4037242899844722e-05,5.386607543385388e-05,4.156522736426708e-05,2.560696147140894e-15,24058.571633357238,2405.8571633357237
200.0,PYR2_bright,PYR5_bright,21,0.0,311.5851459440104,21.153338383168613,7.878174868950412e-07,8.866622677508915e-08,9.425509014902021e-06,7.878174953022753e-07,8.407234147716494e-15,1269329.5159893765,126932.95159893764
200.0,PYR3_bright,PYR5_bright,21,0.0,301.08414990530605,21.601836732685207,3.074053937019936e-06,1.1756592294193006e-06,6.32122753823876e-06,3.074054098026881e-06,1.610069449395151e-13,325303.3187157839,32530.33187157839
200.0,PYR4_bright,PYR5_bright,21,0.0,313.7399055331601,15.985053715564232,4.1565227361706386e-05,2.4037242899844722e-05,5.386607543385388e-05,4.156522819276648e-05,8.31060091519475e-13,24058.571153809477,2405.8571153809476
250.0,PYR2_bright,PYR5_bright,21,0.0,311.5851459440104,21.153338383168613,7.878174868950412e-07,8.866622677508915e-08,9.425509014902021e-06,7.878177787043055e-07,2.918092640618151e-13,1269329.0593729208,126932.9059372921
250.0,PYR3_bright,PYR5_bright,21,0.0,301.08414990530605,21.601836732685207,3.074053937019936e-06,1.1756592294193006e-06,6.32122753823876e-06,3.074058045723213e-06,4.1087032767930944e-12,325302.9009622155,32530.290096221546
250.0,PYR4_bright,PYR5_bright,21,0.0,313.7399055331601,15.985053715564232,4.1565227361706386e-05,2.4037242899844722e-05,5.386607543385388e-05,4.1565254780017226e-05,2.741831084617255e-11,24058.555764723875,2405.8555764723874
300.0,PYR2_bright,PYR5_bright,21,0.0,311.5851459440104,21.153338383168613,7.878174868950412e-07,8.866622677508915e-08,9.425509014902021e-06,7.878207194806184e-07,3.2325855772324316e-12,1269324.3212228077,126932.43212228076
300.0,PYR3_bright,PYR5_bright,21,0.0,301.08414990530605,21.601836732685207,3.074053937019936e-06,1.1756592294193006e-06,6.32122753823876e-06,3.0740905888512047e-06,3.665183126786076e-11,325299.4572205182,32529.94572205182
300.0,PYR4_bright,PYR5_bright,21,0.0,313.7399055331601,15.985053715564232,4.1565227361706386e-05,2.4037242899844722e-05,5.386607543385388e-05,4.15655128945438e-05,2.855328374083701e-10,24058.406365322815,2405.840636532281
