atom,name,displacement_nm
1,B0001,0.09347
2,N0002,0.08327
3,B0003,0.16191
4,N0004,0.05621
5,B0005,0.08665
6,N0006,0.16843
7,B0007,0.13652
8,N0008,0.04907
9,B0009,0.07128
10,N0010,0.18537
11,B0011,0.08787
12,N0012,0.18054
13,B0013,0.07186
14,N0014,0.18892
15,B0015,0.08258
16,N0016,0.16076
17,B0017,0.11449
18,N0018,0.09357
19,B0019,0.18137
20,N0020,0.16002
21,B0021,0.19008
22,N0022,0.18994
23,B0023,0.09860
24,N0024,0.10068
25,B0025,0.18657
26,N0026,0.08339
27,B0027,0.12562
28,N0028,0.12988
29,B0029,0.06843
30,N0030,0.16925
31,B0031,0.15033
32,N0032,0.10808
33,B0033,0.13896
34,N0034,0.07245
35,B0035,0.10889
36,N0036,0.09464
37,B0037,0.17047
38,N0038,0.09598
39,B0039,0.14974
40,N0040,0.06004
41,B0041,0.16718
42,N0042,0.13824
43,B0043,0.11913
44,N0044,0.17358
45,B0045,0.14158
46,N0046,0.10051
47,B0047,0.01407
48,N0048,0.16478
49,B0049,0.11884
50,N0050,0.18041
51,B0051,0.09211
52,N0052,0.10679
53,B0053,0.05618
54,N0054,0.04080
55,B0055,0.05926
56,N0056,0.19077
57,B0057,0.04736
58,N0058,0.13207
59,B0059,0.14856
60,N0060,0.09819
61,B0061,0.23964
62,N0062,0.10242
63,B0063,0.13861
64,N0064,0.20602
65,B0065,0.18470
66,N0066,0.18339
67,B0067,0.10176
68,N0068,0.07465
69,B0069,0.13283
70,N0070,0.05792
71,B0071,0.08344
72,N0072,0.19463
73,B0073,0.14123
74,N0074,0.11741
75,B0075,0.11997
76,N0076,0.12880
77,B0077,0.08890
78,N0078,0.20671
79,B0079,0.11364
80,N0080,0.13512
81,B0081,0.13833
82,N0082,0.09140
83,B0083,0.10104
84,N0084,0.18932
85,B0085,0.07688
86,N0086,0.20779
87,B0087,0.12358
88,N0088,0.09437
89,B0089,0.15412
90,N0090,0.07737
91,B0091,0.14424
