atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.24674,1.24285,-0.00388
2,N0002,1.21074,1.15499,-0.05575
3,B0003,1.24806,1.18786,-0.06021
4,N0004,1.21118,1.13853,-0.07266
5,B0005,1.24639,1.22726,-0.01914
6,N0006,1.21015,1.14741,-0.06274
7,B0007,1.24538,1.17970,-0.06568
8,N0008,1.21097,1.12662,-0.08435
9,B0009,1.24650,1.17848,-0.06803
10,N0010,1.21038,1.13352,-0.07686
11,B0011,1.24695,1.21579,-0.03116
12,N0012,1.21110,1.16472,-0.04637
13,B0013,1.24690,1.27576,0.02886
14,N0014,1.21021,1.20888,-0.00134
15,B0015,1.24661,1.27646,0.02985
16,N0016,1.21039,1.23016,0.01978
17,B0017,1.24755,1.26083,0.01327
18,N0018,1.21034,1.23197,0.02163
19,B0019,1.24771,1.30351,0.05580
20,N0020,1.21071,1.25521,0.04450
21,B0021,1.24671,1.28592,0.03921
22,N0022,1.21086,1.27048,0.05961
23,B0023,1.24552,1.39700,0.15148
24,N0024,1.21081,1.32581,0.11500
25,B0025,1.24639,1.41080,0.16441
26,N0026,1.21059,1.32764,0.11705
27,B0027,1.24505,1.23947,-0.00558
28,N0028,1.21012,1.25212,0.04200
29,B0029,1.24760,1.30237,0.05477
30,N0030,1.21093,1.26576,0.05483
31,B0031,1.24727,1.31174,0.06448
32,N0032,1.21027,1.26524,0.05498
33,B0033,1.24848,1.28685,0.03837
34,N0034,1.21063,1.26913,0.05851
35,B0035,1.24486,1.37200,0.12714
36,N0036,1.21085,1.32374,0.11290
37,B0037,1.24751,1.43507,0.18755
38,N0038,1.21031,1.35964,0.14933
39,B0039,1.24658,1.38455,0.13797
40,N0040,1.21046,1.33206,0.12160
41,B0041,1.24544,1.33649,0.09105
42,N0042,1.21046,1.30784,0.09738
43,B0043,1.24726,1.41934,0.17208
44,N0044,1.21057,1.33077,0.12020
45,B0045,1.24609,1.33348,0.08739
46,N0046,1.20998,1.29361,0.08363
47,B0047,1.24714,1.34753,0.10039
48,N0048,1.20992,1.26784,0.05792
49,B0049,1.24709,1.21465,-0.03244
50,N0050,1.21041,1.20641,-0.00400
51,B0051,1.24604,1.28427,0.03823
52,N0052,1.21069,1.21320,0.00250
53,B0053,1.24764,1.24749,-0.00015
54,N0054,1.21010,1.17518,-0.03493
55,B0055,1.24628,1.11944,-0.12684
56,N0056,1.21047,1.10920,-0.10127
57,B0057,1.24752,1.17128,-0.07625
58,N0058,1.21036,1.11908,-0.09128
59,B0059,1.24601,1.19852,-0.04748
60,N0060,1.21032,1.13464,-0.07568
61,B0061,1.20133,1.12452,-0.07682
62,N0062,1.19934,1.10577,-0.09357
63,B0063,1.20263,1.12712,-0.07551
64,N0064,1.19947,1.11265,-0.08681
65,B0065,1.20167,1.12049,-0.08118
66,N0066,1.19944,1.10643,-0.09301
67,B0067,1.20124,1.11815,-0.08309
68,N0068,1.19982,1.10827,-0.09155
69,B0069,1.20237,1.13541,-0.06695
70,N0070,1.20016,1.12964,-0.07052
71,B0071,1.20162,1.17090,-0.03072
72,N0072,1.20030,1.15809,-0.04220
73,B0073,1.20120,1.20852,0.00733
74,N0074,1.20001,1.19255,-0.00746
75,B0075,1.20174,1.22285,0.02112
76,N0076,1.19974,1.22057,0.02084
77,B0077,1.20187,1.23112,0.02925
78,N0078,1.19991,1.23159,0.03168
79,B0079,1.20234,1.25169,0.04935
80,N0080,1.20011,1.24690,0.04679
81,B0081,1.20209,1.28865,0.08656
82,N0082,1.19989,1.28458,0.08470
83,B0083,1.20089,1.31274,0.11185
84,N0084,1.19947,1.29785,0.09838
85,B0085,1.20176,1.27705,0.07529
86,N0086,1.20040,1.27117,0.07077
87,B0087,1.20218,1.25507,0.05288
88,N0088,1.20028,1.25941,0.05913
89,B0089,1.20197,1.25759,0.05563
90,N0090,1.19987,1.25367,0.05380
91,B0091,1.20181,1.25412,0.05231
92,N0092,1.19982,1.25672,0.05690
93,B0093,1.20204,1.28332,0.08129
94,N0094,1.19983,1.28019,0.08037
95,B0095,1.20189,1.33190,0.13000
96,N0096,1.19966,1.31617,0.11651
97,B0097,1.20131,1.33238,0.13107
98,N0098,1.19990,1.31538,0.11548
99,B0099,1.20090,1.30188,0.10098
100,N0100,1.19951,1.29188,0.09238
101,B0101,1.20232,1.30259,0.10027
102,N0102,1.20100,1.28653,0.08554
103,B0103,1.20064,1.29892,0.09829
104,N0104,1.19945,1.28128,0.08183
105,B0105,1.20127,1.26519,0.06392
106,N0106,1.19927,1.24901,0.04975
107,B0107,1.20053,1.22483,0.02430
108,N0108,1.19857,1.21645,0.01788
109,B0109,1.20210,1.19604,-0.00607
110,N0110,1.19987,1.18823,-0.01164
111,B0111,1.20140,1.17604,-0.02535
112,N0112,1.20000,1.15942,-0.04058
113,B0113,1.20159,1.13240,-0.06919
114,N0114,1.20018,1.12262,-0.07756
115,B0115,1.20144,1.09994,-0.10150
116,N0116,1.19920,1.09208,-0.10712
117,B0117,1.20153,1.10941,-0.09212
118,N0118,1.19932,1.09552,-0.10381
119,B0119,1.20128,1.11820,-0.08308
120,N0120,1.19929,1.09718,-0.10211
121,B0121,1.20099,1.10652,-0.09446
122,N0122,1.20413,1.10804,-0.09609
123,B0123,1.20030,1.11031,-0.08999
124,N0124,1.20476,1.10623,-0.09854
125,B0125,1.20016,1.10026,-0.09990
126,N0126,1.20457,1.09817,-0.10640
127,B0127,1.19908,1.11580,-0.08328
128,N0128,1.20473,1.11832,-0.08641
129,B0129,1.19944,1.14336,-0.05608
130,N0130,1.20440,1.14855,-0.05585
131,B0131,1.20042,1.17400,-0.02641
132,N0132,1.20389,1.18583,-0.01806
133,B0133,1.20034,1.21100,0.01066
134,N0134,1.20442,1.21790,0.01348
135,B0135,1.20029,1.22949,0.02920
136,N0136,1.20427,1.23530,0.03104
137,B0137,1.20027,1.24093,0.04066
138,N0138,1.20344,1.24634,0.04290
139,B0139,1.20007,1.26565,0.06558
140,N0140,1.20453,1.27041,0.06588
141,B0141,1.20018,1.29352,0.09334
142,N0142,1.20516,1.28468,0.07952
143,B0143,1.19978,1.28002,0.08024
144,N0144,1.20419,1.27706,0.07286
145,B0145,1.20027,1.26572,0.06545
146,N0146,1.20474,1.26888,0.06414
147,B0147,1.20053,1.25249,0.05197
148,N0148,1.20367,1.25163,0.04796
149,B0149,1.19927,1.25381,0.05455
150,N0150,1.20427,1.25758,0.05332
151,B0151,1.19945,1.26832,0.06887
152,N0152,1.20357,1.27383,0.07026
153,B0153,1.20059,1.29639,0.09580
154,N0154,1.20506,1.29549,0.09043
155,B0155,1.19951,1.31333,0.11383
156,N0156,1.20450,1.30491,0.10041
157,B0157,1.19916,1.29669,0.09753
158,N0158,1.20481,1.28737,0.08257
159,B0159,1.20016,1.28128,0.08112
160,N0160,1.20463,1.27569,0.07106
161,B0161,1.20109,1.27761,0.07652
162,N0162,1.20425,1.27286,0.06861
163,B0163,1.19982,1.26722,0.06740
164,N0164,1.20390,1.25877,0.05486
165,B0165,1.19987,1.23019,0.03032
166,N0166,1.20484,1.23261,0.02777
167,B0167,1.19997,1.19866,-0.00132
168,N0168,1.20313,1.20058,-0.00255
169,B0169,1.20040,1.16993,-0.03046
170,N0170,1.20486,1.17323,-0.03163
171,B0171,1.19947,1.13837,-0.06110
172,N0172,1.20445,1.14239,-0.06207
173,B0173,1.19967,1.10155,-0.09812
174,N0174,1.20408,1.10856,-0.09552
175,B0175,1.19919,1.09066,-0.10853
176,N0176,1.20457,1.09656,-0.10801
177,B0177,1.19991,1.09600,-0.10391
178,N0178,1.20501,1.10074,-0.10427
179,B0179,1.20074,1.09201,-0.10873
180,N0180,1.20474,1.09301,-0.11173
181,B0181,1.20484,1.10742,-0.09742
182,N0182,1.20769,1.10666,-0.10104
183,B0183,1.20527,1.09887,-0.10640
184,N0184,1.20750,1.10027,-0.10723
185,B0185,1.20473,1.10404,-0.10069
186,N0186,1.20830,1.11316,-0.09514
187,B0187,1.20516,1.13600,-0.06917
188,N0188,1.20796,1.13870,-0.06925
189,B0189,1.20517,1.16355,-0.04162
190,N0190,1.20832,1.17014,-0.03818
191,B0191,1.20629,1.20899,0.00269
192,N0192,1.20825,1.21629,0.00804
193,B0193,1.20574,1.23680,0.03106
194,N0194,1.20774,1.24513,0.03740
195,B0195,1.20599,1.24379,0.03780
