rank,dist_nm,pyr_atom_idx,pyr_atom,hbn_atom_idx,hbn_atom,hbn_delta_r_nm,hbn_displacement_nm,hbn_r_ref_nm,hbn_r_cur_nm,hbn_z_ref_nm,hbn_z_cur_nm
1,0.31852,1758,H9,914,N0914,0.13105,0.17983,1.20630,1.33735,5.40800,5.48100
2,0.32587,1746,C13,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
3,0.33127,1746,C13,914,N0914,0.13105,0.17983,1.20630,1.33735,5.40800,5.48100
4,0.33270,1750,H1,1032,N1032,0.11523,0.16104,1.20630,1.32153,5.84300,5.91300
5,0.33325,1745,C12,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
6,0.33470,1734,C1,1031,B1031,0.12055,0.16717,1.20534,1.32590,5.69800,5.76900
7,0.33969,1749,H,972,N0972,0.13257,0.18486,1.20566,1.33823,5.62500,5.69500
8,0.34220,1733,C,1031,B1031,0.12055,0.16717,1.20534,1.32590,5.69800,5.76900
9,0.34366,1744,C11,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
10,0.34376,1757,H8,915,B0915,0.09660,0.14419,1.20594,1.30255,5.26300,5.33800
11,0.34706,1750,H1,1031,B1031,0.12055,0.16717,1.20534,1.32590,5.69800,5.76900
12,0.34749,1745,C12,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
13,0.34901,1757,H8,856,N0856,0.11434,0.16184,1.20465,1.31898,5.19000,5.26200
14,0.34943,1734,C1,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
15,0.34989,1758,H9,913,B0913,0.12037,0.17242,1.20534,1.32572,5.26300,5.33500
16,0.35367,1758,H9,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
17,0.35575,1733,C,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
18,0.35668,1735,C2,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
19,0.35693,1744,C11,915,B0915,0.09660,0.14419,1.20594,1.30255,5.26300,5.33800
20,0.35803,1749,H,971,B0971,0.13291,0.18669,1.20434,1.33725,5.48000,5.55100
21,0.35828,1751,H2,1091,B1091,0.09278,0.13715,1.20563,1.29841,5.91600,5.98800
22,0.35938,1735,C2,1033,B1033,0.07922,0.12562,1.20594,1.28516,5.69800,5.77200
23,0.35948,1749,H,1031,B1031,0.12055,0.16717,1.20534,1.32590,5.69800,5.76900
24,0.35964,1734,C1,1032,N1032,0.11523,0.16104,1.20630,1.32153,5.84300,5.91300
25,0.36104,1733,C,972,N0972,0.13257,0.18486,1.20566,1.33823,5.62500,5.69500
26,0.36107,1736,C3,1034,N1034,0.07522,0.12298,1.20594,1.28116,5.84300,5.91700
27,0.36311,1733,C,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
28,0.36580,1751,H2,1092,N1092,0.10562,0.14774,1.20465,1.31027,6.06100,6.13400
29,0.36750,1733,C,914,N0914,0.13105,0.17983,1.20630,1.33735,5.40800,5.48100
30,0.36863,1746,C13,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
31,0.36926,1757,H8,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
32,0.36969,1747,C14,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
33,0.37114,1750,H1,1089,B1089,0.14441,0.19002,1.20434,1.34875,5.91600,5.98500
34,0.37232,1747,C14,1033,B1033,0.07922,0.12562,1.20594,1.28516,5.69800,5.77200
35,0.37303,1751,H2,1034,N1034,0.07522,0.12298,1.20594,1.28116,5.84300,5.91700
36,0.37345,1750,H1,1091,B1091,0.09278,0.13715,1.20563,1.29841,5.91600,5.98800
37,0.37567,1745,C12,974,N0974,0.10390,0.14883,1.20563,1.30953,5.62500,5.69800
38,0.37618,1747,C14,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
39,0.37863,1733,C,971,B0971,0.13291,0.18669,1.20434,1.33725,5.48000,5.55100
40,0.37991,1744,C11,973,B0973,0.11633,0.16120,1.20563,1.32195,5.48000,5.55500
41,0.38087,1758,H9,971,B0971,0.13291,0.18669,1.20434,1.33725,5.48000,5.55100
42,0.38178,1735,C2,1034,N1034,0.07522,0.12298,1.20594,1.28116,5.84300,5.91700
43,0.38317,1736,C3,1091,B1091,0.09278,0.13715,1.20563,1.29841,5.91600,5.98800
44,0.38318,1749,H,914,N0914,0.13105,0.17983,1.20630,1.33735,5.40800,5.48100
45,0.38377,1743,C10,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
46,0.38689,1736,C3,1033,B1033,0.07922,0.12562,1.20594,1.28516,5.69800,5.77200
47,0.38695,1745,C12,914,N0914,0.13105,0.17983,1.20630,1.33735,5.40800,5.48100
48,0.38885,1746,C13,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
49,0.38964,1735,C2,1031,B1031,0.12055,0.16717,1.20534,1.32590,5.69800,5.76900
50,0.38980,1747,C14,916,N0916,0.10078,0.14521,1.20594,1.30672,5.40800,5.48300
