atom,resnr,name,displacement_nm
1681,2,C,0.01315
1682,2,C1,0.01425
1683,2,C2,0.01005
1684,2,C3,0.00671
1685,2,C4,0.00458
1686,2,C5,0.00548
1687,2,C6,0.01005
1688,2,C7,0.01269
1689,2,C8,0.00812
1690,2,C9,0.00400
1691,2,C10,0.00854
1692,2,C11,0.01072
1693,2,C12,0.01118
1694,2,C13,0.01288
1695,2,C14,0.01034
1696,2,C15,0.00917
1697,2,H,0.00424
1698,2,H1,0.00100
1699,2,H2,0.00141
1700,2,H3,0.00224
1701,2,H4,0.00469
1702,2,H5,0.00300
1703,2,H6,0.00332
1704,2,H7,0.00539
1705,2,H8,0.00374
1706,2,H9,0.00200
1707,3,C,0.00616
1708,3,C1,0.00640
1709,3,C2,0.00520
1710,3,C3,0.00640
1711,3,C4,0.01082
1712,3,C5,0.00671
1713,3,C6,0.01476
1714,3,C7,0.01838
1715,3,C8,0.01175
1716,3,C9,0.01105
1717,3,C10,0.01072
1718,3,C11,0.00436
1719,3,C12,0.01044
1720,3,C13,0.00600
1721,3,C14,0.01118
1722,3,C15,0.01158
1723,3,H,0.00806
1724,3,H1,0.00640
1725,3,H2,0.00224
1726,3,H3,0.00648
1727,3,H4,0.00781
1728,3,H5,0.00539
1729,3,H6,0.00224
1730,3,H7,0.00616
1731,3,H8,0.00141
1732,3,H9,0.00224
1733,4,C,0.00648
1734,4,C1,0.00927
1735,4,C2,0.00768
1736,4,C3,0.01005
1737,4,C4,0.01179
1738,4,C5,0.01158
1739,4,C6,0.00860
1740,4,C7,0.01640
1741,4,C8,0.00806
1742,4,C9,0.00300
1743,4,C10,0.00510
1744,4,C11,0.00819
1745,4,C12,0.00860
1746,4,C13,0.01404
1747,4,C14,0.00608
1748,4,C15,0.00332
1749,4,H,0.00700
1750,4,H1,0.00141
1751,4,H2,0.00539
1752,4,H3,0.00316
1753,4,H4,0.00245
1754,4,H5,0.00224
1755,4,H6,0.00424
1756,4,H7,0.00224
1757,4,H8,0.00500
1758,4,H9,0.00374
1759,5,C,0.00995
1760,5,C1,0.01490
1761,5,C2,0.00458
1762,5,C3,0.00900
1763,5,C4,0.01005
1764,5,C5,0.01049
1765,5,C6,0.00755
1766,5,C7,0.01432
1767,5,C8,0.00632
1768,5,C9,0.00648
1769,5,C10,0.01575
1770,5,C11,0.00412
1771,5,C12,0.00812
1772,5,C13,0.00985
1773,5,C14,0.01931
1774,5,C15,0.01418
1775,5,H,0.00224
1776,5,H1,0.00374
1777,5,H2,0.00141
1778,5,H3,0.00500
1779,5,H4,0.00000
1780,5,H5,0.00245
1781,5,H6,0.00141
1782,5,H7,0.00141
1783,5,H8,0.00374
1784,5,H9,0.00332
