reference_site,moving_site,reference_tracked_root,moving_tracked_root,reference_alternate_root,moving_alternate_root,heavy_atom_rmsd_A,heavy_atom_max_displacement_A,all_atom_rmsd_A,all_atom_max_displacement_A,minimum_captured_norm,maximum_captured_norm,minimum_grid_coverage_fraction,tracked_hole_similarity,tracked_particle_similarity,tracked_pair_geometric_mean_similarity,alternate_hole_principal_cosine_1,alternate_hole_principal_cosine_2,alternate_hole_subspace_rms_similarity,alternate_particle_principal_cosine_1,alternate_particle_principal_cosine_2,alternate_particle_subspace_rms_similarity,alternate_transition_subspace_geometric_mean_similarity,alternate_minimum_principal_cosine
PYR2,PYR3,2,2,1,1,0.0073518627497277805,0.009830952008724112,0.007061479082537416,0.009830952008724112,0.9975969070982638,0.998224494577474,0.962896484375,0.9988173483081453,0.9993330302096695,0.9990751559871588,0.9997833049956101,0.9994897198482883,0.9996365231998966,0.9997989525394624,0.9994430442956553,0.9996210142573968,0.9996287686985696,0.9994430442956553
PYR3,PYR2,2,2,1,1,0.007351862749729047,0.009830952008715988,0.007061479082538746,0.009830952008715988,0.9975884980033097,0.9982220411111455,0.962896484375,0.9988170356507171,0.9993331238718384,0.9990750464370735,0.9997815587559598,0.9994939292731858,0.9996377543596602,0.9997955444653273,0.9994466401661932,0.9996211075383042,0.9996294309143298,0.9994466401661932
PYR2,PYR4,2,2,1,1,0.008185880498347623,0.009682728145226898,0.00887134247360732,0.013327686433625932,0.997132982697586,0.9977131105028884,0.95628515625,0.9977369896678789,0.9993061653570003,0.9985212692676332,0.9996616831202868,0.9995593729502618,0.9996105293442055,0.9997378780265274,0.9995572820207314,0.9996475841019313,0.9996290565513728,0.9995572820207314
PYR4,PYR2,2,2,1,1,0.008185880498345522,0.009682728145235069,0.008871342473605992,0.013327686433634883,0.9970966216009812,0.9976838902358474,0.9697109375,0.9977316063438961,0.9993045126801952,0.9985177497987282,0.9996602604151481,0.9995632054312608,0.9996117341011206,0.999732150524701,0.9995614191916223,0.9996467885030975,0.9996292611484507,0.9995614191916223
PYR2,PYR5,2,1,1,2,0.09047888062611704,0.15948398689612542,0.10201526481186704,0.15948398689612542,0.9870060307278273,0.9903723885504332,0.957708984375,0.9928421099294223,0.9891900218538995,0.9910143835578558,0.9930515904610763,0.9905965688053012,0.9918248392347585,0.9907297866798412,0.9880732146265637,0.9894023922745374,0.990612875272767,0.9880732146265637
PYR5,PYR2,1,2,2,1,0.09047888062611527,0.15948398689612067,0.10201526481186697,0.15948398689612067,0.9874619801702632,0.9906116506653497,0.96792578125,0.9930031426155819,0.9895823055182993,0.9912912484514549,0.9932248829188405,0.9910818188941695,0.9921539295370754,0.9911041289990657,0.9884986309485059,0.9898022372944171,0.9909773858147545,0.9884986309485059
PYR3,PYR4,2,2,1,1,0.006289194674687831,0.010078345735178844,0.006358057277065056,0.010136922403195438,0.9993260821113932,0.9995848509107388,0.950779296875,0.9996690670763494,0.9998617111280318,0.9997653844621357,0.9999046827948648,0.9997202856474235,0.9998124884722298,0.9998764204918982,0.9998285693893415,0.999852495226878,0.9998324916494529,0.9997202856474235
PYR4,PYR3,2,2,1,1,0.006289194674688232,0.01007834573517019,0.006358057277065132,0.010136922403196939,0.9993004886051923,0.999563726282822,0.97515625,0.9996678062577407,0.9998615429829588,0.9997646699275056,0.9999040928115728,0.9997204950346655,0.9998122981374282,0.999875924737894,0.999828959358771,0.9998524423240915,0.9998323700292816,0.9997204950346655
PYR3,PYR5,2,1,1,2,0.08950910614778493,0.15614936925229383,0.10191437530964448,0.15719887859627948,0.9869375607252955,0.9903050163160253,0.957775390625,0.9932599989459437,0.9909884164272732,0.9921235575552048,0.9932699488329317,0.9907555203234273,0.9920135312348113,0.9910321272038403,0.9881210442774355,0.9895776561983648,0.9907948451402075,0.9881210442774355
PYR5,PYR3,1,2,2,1,0.08950910614778544,0.1561493692523128,0.10191437530964391,0.15719887859628467,0.9873900943753715,0.9905430566281773,0.96786328125,0.9934181082270467,0.9913922248172318,0.9924046495703944,0.993437315847792,0.9912692817414213,0.992353890868328,0.991423710174708,0.9885646705353299,0.9899952224448381,0.9911738550497541,0.9885646705353299
PYR4,PYR5,2,1,1,2,0.08939554234385515,0.15598966227148825,0.10184133005185092,0.15614101182279108,0.9868843407583757,0.9902254978753173,0.95916015625,0.9925619277241257,0.9910609945529937,0.9918111772135403,0.993185249287607,0.9910094353387687,0.9920979387976147,0.9910864562620958,0.9883841582171963,0.989736229507861,0.9909163805529061,0.9883841582171963
PYR5,PYR4,1,2,2,1,0.08939554234385379,0.15598966227149,0.10184133005185021,0.15614101182278695,0.9873603022231502,0.9904667127030974,0.966525390625,0.9927259617817866,0.9914713554514583,0.9920984602949652,0.9933640109255966,0.9915313745782333,0.992448115766056,0.991485496912555,0.9888497882872617,0.9901685195924224,0.9913076624138263,0.9888497882872617
