gamma_phi_ps,sigma_E_meV,tau_c_ps,n_traj,mean_max_PYR2,std_max_PYR2,mean_final_PYR2,mean_t10_fs,mean_t20_fs,mean_t30_fs,min_eig_min,max_trace_err,delta_max_PYR2_vs_static,delta_t30_fs_vs_static,t30_speedup_factor
0.0,0,0.05,6,0.3059453049238669,6.080941944488117e-17,0.3057381918257988,125.0,385.0,1310.0,0.0,8.586354455931869e-15,0.0003298642454678258,-40.0,1.0305343511450382
0.0,2,0.05,6,0.3088286122660189,0.0010059149681499,0.3069522300102886,126.66666666666669,385.8333333333333,1333.3333333333333,0.0,1.9523657700026363e-14,0.003213171587619801,-16.666666666666742,1.0125
0.0,5,0.05,6,0.3201457650365969,0.0041733703627391,0.310723125211678,131.66666666666666,369.1666666666667,1166.6666666666667,0.0,2.571972994442059e-14,0.014530324358197844,-183.33333333333326,1.157142857142857
0.0,10,0.05,6,0.3354381272622346,0.0094041794573731,0.3208472830119229,120.83333333333331,347.5,905.8333333333334,0.0,1.1731409657647126e-14,0.029822686583835523,-444.16666666666663,1.4903403863845446
0.0,20,0.05,6,0.3433202919103441,0.003126340794825,0.3261970163777749,123.33333333333331,283.3333333333333,732.5,0.0,1.819742499740341e-14,0.037704851231945,-617.5,1.8430034129692834
0.1,0,0.05,6,0.3058659918664057,0.0,0.3056960021550834,125.0,385.0,1315.0,0.0,6.472388863255017e-15,0.00025055118800659804,-35.0,1.026615969581749
0.1,2,0.05,6,0.3083418919056766,0.00059469131039,0.306818322721665,128.33333333333334,380.8333333333333,1300.0,0.0,1.6067938996969566e-14,0.0027264512272775487,-50.0,1.0384615384615385
0.1,5,0.05,6,0.3209101792589164,0.0022941559544464,0.3136906733549977,125.0,370.8333333333333,1193.3333333333333,0.0,1.7971733303894097e-14,0.01529473858051733,-156.66666666666674,1.1312849162011174
0.1,10,0.05,6,0.3359087692348619,0.0118893842635088,0.3199221143487026,127.5,310.8333333333333,953.3333333333334,0.0,1.9786821378495063e-14,0.03029332855646283,-396.66666666666663,1.416083916083916
0.1,20,0.05,6,0.3427938711435007,0.009233535102286,0.3224788278755849,123.33333333333331,301.6666666666667,717.5,0.0,1.5557235240226903e-14,0.03717843046510161,-632.5,1.8815331010452963
0.5,0,0.05,6,0.3056867271007223,0.0,0.3056117306198251,130.0,385.0,1330.0,0.0,1.9733325316245772e-14,7.128642232323568e-05,-20.0,1.0150375939849625
0.5,2,0.05,6,0.3083521153277594,0.0010045773276016,0.3064745156391542,131.66666666666666,389.1666666666667,1403.3333333333333,0.0,2.2211879407422585e-14,0.0027366746493603378,53.33333333333326,0.9619952494061759
0.5,5,0.05,6,0.3188285971982785,0.0024400478805729,0.3122960789753288,131.66666666666666,371.6666666666667,1075.8333333333333,0.0,1.6677350991307922e-14,0.013213156519879421,-274.16666666666674,1.2548412083656082
0.5,10,0.05,6,0.337770627399969,0.008249350765642,0.3168110177895127,130.83333333333334,352.5,980.8333333333334,0.0,1.1496791422459971e-14,0.03215518672156992,-369.16666666666663,1.3763806287170772
0.5,20,0.05,6,0.339652878287512,0.0090205029544399,0.3331930041705295,129.16666666666666,347.5,827.5,0.0,2.4352255378753773e-14,0.03403743760911293,-522.5,1.6314199395770392
1.0,0,0.05,6,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
1.0,2,0.05,6,0.3082605043169503,0.0006068842399954,0.3073642224234209,129.16666666666666,379.1666666666667,1268.3333333333333,0.0,2.3894037508560585e-14,0.002645063638551215,-81.66666666666674,1.064388961892247
1.0,5,0.05,6,0.3158804557621132,0.0029957577156995,0.311180187148542,128.33333333333334,360.8333333333333,1085.8333333333333,0.0,1.904757724877249e-14,0.010265015083714135,-264.16666666666674,1.2432847275518035
1.0,10,0.05,6,0.3331323523170361,0.0118803666101067,0.3251334493625089,121.66666666666669,340.0,925.8333333333334,0.0,1.9740877102302483e-14,0.02751691163863701,-424.16666666666663,1.458145814581458
1.0,20,0.05,6,0.3390671670653678,0.0075944885330733,0.3319297252953326,120.83333333333331,290.0,807.5,0.0,1.3906511646786511e-14,0.03345172638696875,-542.5,1.671826625386997
5.0,0,0.05,6,0.3056055861123278,0.0,0.3055754061675007,135.0,380.0,1360.0,0.0,6.6073320565576726e-15,-9.854566071276771e-06,10.0,0.9926470588235294
5.0,2,0.05,6,0.3078984271935733,0.000275956095352,0.3069466159997209,135.0,377.5,1320.0,0.0,2.7056703834095317e-14,0.0022829865151742235,-30.0,1.0227272727272727
5.0,5,0.05,6,0.3152676113841819,0.0010226722512633,0.3135503711158653,131.66666666666666,370.8333333333333,1185.8333333333333,0.0,1.3658488230756807e-14,0.009652170705782837,-164.16666666666674,1.1384399156711174
5.0,10,0.05,6,0.3274484052774957,0.002547415155172,0.3237870784194364,132.5,328.3333333333333,1016.6666666666666,0.0,2.5414866605447353e-14,0.021832964599096616,-333.33333333333337,1.3278688524590165
5.0,20,0.05,6,0.3367398994036845,0.0016028858845502,0.3297676764067537,130.0,321.6666666666667,845.8333333333334,0.0,1.2305113989138634e-14,0.03112445872528541,-504.16666666666663,1.5960591133004924
10.0,0,0.05,6,0.3056055859110245,6.080941944488117e-17,0.3055754061176818,135.0,380.0,1360.0,0.0,1.2045179909990414e-14,-9.854767374584128e-06,10.0,0.9926470588235294
10.0,2,0.05,6,0.3079982310317189,0.0003057970102762,0.3071686468491703,135.0,375.8333333333333,1300.0,0.0,1.5046539068135363e-14,0.0023827903533198413,-50.0,1.0384615384615385
10.0,5,0.05,6,0.3160211748558642,0.0014701746024651,0.3136078466770577,135.0,370.0,1176.6666666666667,0.0,1.0822070902429375e-14,0.010405734177465098,-173.33333333333326,1.1473087818696883
10.0,10,0.05,6,0.3281464120914004,0.001470525694373,0.324872404036006,132.5,345.8333333333333,970.8333333333334,0.0,1.4340793171792235e-14,0.02253097141300131,-379.16666666666663,1.390557939914163
10.0,20,0.05,6,0.3362261518507161,0.0027758986150523,0.3326106905108028,122.5,315.8333333333333,830.8333333333334,0.0,1.0558910300527491e-14,0.030610711172317007,-519.1666666666666,1.6248746238716147
25.0,0,0.05,6,0.3056055859110243,0.0,0.3055754061176819,140.0,380.0,1360.0,0.0,3.802545007766014e-15,-9.854767374750661e-06,10.0,0.9926470588235294
25.0,2,0.05,6,0.3080489789260469,0.0003135851645344,0.307603197012231,138.33333333333334,378.3333333333333,1294.1666666666667,0.0,8.174772521300398e-15,0.002433538247647804,-55.83333333333326,1.0431423052157114
25.0,5,0.05,6,0.3163798322653,0.0015737921853082,0.3154742741525151,138.33333333333334,374.1666666666667,1135.0,0.0,8.642558556627637e-15,0.010764391586900901,-215.0,1.1894273127753303
25.0,10,0.05,6,0.3309007999324685,0.0030348846163203,0.3291914566771489,136.66666666666666,355.8333333333333,945.0,0.0,1.1282483667304082e-14,0.02528535925406944,-405.0,1.4285714285714286
25.0,20,0.05,6,0.3351985191720267,0.0026800851319579,0.3307960118218935,136.66666666666666,340.8333333333333,824.1666666666666,0.0,7.633983941813096e-15,0.029583078493627624,-525.8333333333334,1.6380182002022246
50.0,0,0.05,6,0.3056055859110251,0.0,0.3055754061176828,140.0,380.0,1360.0,0.0,3.589749644970919e-15,-9.854767373973505e-06,10.0,0.9926470588235294
50.0,2,0.05,6,0.3081921999839943,0.0004932305895118,0.3081305776969055,140.0,377.5,1299.1666666666667,0.0,8.682490661356985e-15,0.0025767593055952,-50.83333333333326,1.0391276459268761
50.0,5,0.05,6,0.3163435408119903,0.0007068876664525,0.3159071525868662,138.33333333333334,372.5,1136.6666666666667,0.0,7.301503958585525e-15,0.010728100133591212,-213.33333333333326,1.1876832844574778
50.0,10,0.05,6,0.3312658233062732,0.002024418459761,0.3300567338881772,134.16666666666666,363.3333333333333,961.6666666666666,0.0,4.595783073510404e-15,0.025650382627874113,-388.33333333333337,1.4038128249566726
50.0,20,0.05,6,0.3383220057172669,0.0011650398660048,0.3344444266539123,127.5,325.8333333333333,805.8333333333334,0.0,9.060999549913476e-15,0.03270656503886782,-544.1666666666666,1.6752843846949328
