metric,value
source_gro,runs/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated_100ps_100K/nvt_100ps_100K_final.gro
natoms,68320
box_x_nm,7.39453
box_y_nm,7.39453
box_z_nm,10.01750
hbn_atoms,1680
pyrene_atoms,104
water_atoms,66536
water_molecules,16634
hbn_r_min_nm,1.03054
hbn_r_mean_nm,1.21838
hbn_r_max_nm,1.45908
hbn_z_min_nm,1.93600
hbn_z_max_nm,8.03400
hbn_length_nm,6.09800
ow_inside_hbn_mean_radius,1006
ow_inside_hbn_inner_radius,860

pyrene_resnr,atom_count,cx_nm,cy_nm,cz_nm,radial_position_nm
2,26,5.34750,3.69700,2.99946,1.65024
3,26,3.69696,5.34715,4.33935,1.64989
4,26,2.04696,3.69700,5.67850,1.65030
5,26,3.69719,1.92792,7.01708,1.76934
