block,relative_start_ps,relative_end_ps,matched_frozen_absolute_start_ps,matched_frozen_absolute_end_ps,frame_count,mobile_occupancy_mean,matched_frozen_occupancy_mean,paired_difference_mean,paired_difference_std,paired_difference_min,paired_difference_max
1,0.0,10.0,44.0,54.0,20,0.7,0.0,0.7,1.0049875621120887,0.0,3.0
2,10.0,20.0,54.0,64.0,20,1.1,0.3,0.8,0.812403840463596,-1.0,2.0
3,20.0,30.0,64.0,74.0,20,0.6,0.0,0.6,0.48989794855663565,0.0,1.0
4,30.0,40.0,74.0,84.0,20,1.7,0.6,1.1,1.6401219466856725,-2.0,4.0
5,40.0,50.0,84.0,94.0,20,1.85,1.25,0.6,1.772004514666935,-3.0,5.0
6,50.0,60.0,94.0,104.0,20,6.05,0.2,5.85,2.5154522456210535,2.0,10.0
7,60.0,70.0,104.0,114.0,20,2.25,0.05,2.2,1.6911534525287764,0.0,5.0
8,70.0,80.0,114.0,124.0,20,3.4,0.3,3.1,1.9974984355438181,0.0,8.0
9,80.0,90.0,124.0,134.0,20,1.5,1.3,0.2,2.2045407685048604,-3.0,5.0
10,90.0,100.0,134.0,144.0,21,0.0,0.5714285714285714,-0.5714285714285714,0.7911070345636263,-3.0,0.0
