metric,block,relative_start_ps,relative_end_ps,frame_count,mobile_mean,matched_frozen_mean,mobile_minus_frozen_mean
lumen_water_count,1,0.0,10.0,20,0.7,0.0,0.7
lumen_water_count,2,10.0,20.0,20,1.1,0.3,0.8
lumen_water_count,3,20.0,30.0,20,0.6,0.0,0.6
lumen_water_count,4,30.0,40.0,20,1.7,0.6,1.1
lumen_water_count,5,40.0,50.0,20,1.85,1.25,0.6
lumen_water_count,6,50.0,60.0,20,6.05,0.2,5.85
lumen_water_count,7,60.0,70.0,20,2.25,0.05,2.2
lumen_water_count,8,70.0,80.0,20,3.4,0.3,3.1
lumen_water_count,9,80.0,90.0,20,1.5,1.3,0.2
lumen_water_count,10,90.0,100.0,21,0.0,0.5714285714285714,-0.5714285714285714
lumen_number_density_nm-3,1,0.0,10.0,20,0.02509881649632274,0.0,0.02509881649632274
lumen_number_density_nm-3,2,10.0,20.0,20,0.03936581192337722,0.011030250630861096,0.028335561292516114
lumen_number_density_nm-3,3,20.0,30.0,20,0.021490632998008276,0.0,0.021490632998008276
lumen_number_density_nm-3,4,30.0,40.0,20,0.06083340587628604,0.022060501261722192,0.03877290461456384
lumen_number_density_nm-3,5,40.0,50.0,20,0.06614920129737714,0.04595937762858791,0.02018982366878922
lumen_number_density_nm-3,6,50.0,60.0,20,0.2168318844392883,0.007353500420574065,0.20947838401871421
lumen_number_density_nm-3,7,60.0,70.0,20,0.08063730236538395,0.0018383751051435162,0.07879892726024043
lumen_number_density_nm-3,8,70.0,80.0,20,0.12184118569044493,0.011030250630861096,0.11081093505958384
lumen_number_density_nm-3,9,80.0,90.0,20,0.05365464719103023,0.047797752733731415,0.005856894457298806
lumen_number_density_nm-3,10,90.0,100.0,21,0.0,0.021010001201640188,-0.021010001201640188
PYR1_waterO_within_35pm,1,0.0,10.0,20,4.2,5.25,-1.05
PYR1_waterO_within_35pm,2,10.0,20.0,20,4.8,4.65,0.15
PYR1_waterO_within_35pm,3,20.0,30.0,20,5.0,4.5,0.5
PYR1_waterO_within_35pm,4,30.0,40.0,20,4.8,5.2,-0.4
PYR1_waterO_within_35pm,5,40.0,50.0,20,5.65,5.5,0.15
PYR1_waterO_within_35pm,6,50.0,60.0,20,3.95,5.15,-1.2
PYR1_waterO_within_35pm,7,60.0,70.0,20,4.3,4.5,-0.2
PYR1_waterO_within_35pm,8,70.0,80.0,20,5.25,4.1,1.15
PYR1_waterO_within_35pm,9,80.0,90.0,20,4.45,5.3,-0.85
PYR1_waterO_within_35pm,10,90.0,100.0,21,5.190476190476191,5.238095238095238,-0.047619047619047616
PYR1_waterO_within_50pm,1,0.0,10.0,20,24.0,30.35,-6.35
PYR1_waterO_within_50pm,2,10.0,20.0,20,24.9,26.85,-1.95
PYR1_waterO_within_50pm,3,20.0,30.0,20,23.4,22.95,0.45
PYR1_waterO_within_50pm,4,30.0,40.0,20,26.8,27.2,-0.4
PYR1_waterO_within_50pm,5,40.0,50.0,20,24.9,28.2,-3.3
PYR1_waterO_within_50pm,6,50.0,60.0,20,23.45,27.9,-4.45
PYR1_waterO_within_50pm,7,60.0,70.0,20,22.45,27.95,-5.5
PYR1_waterO_within_50pm,8,70.0,80.0,20,23.65,28.95,-5.3
PYR1_waterO_within_50pm,9,80.0,90.0,20,24.15,28.35,-4.2
PYR1_waterO_within_50pm,10,90.0,100.0,21,26.238095238095237,28.428571428571427,-2.1904761904761907
PYR2_waterO_within_35pm,1,0.0,10.0,20,4.9,5.4,-0.5
PYR2_waterO_within_35pm,2,10.0,20.0,20,4.8,4.5,0.3
PYR2_waterO_within_35pm,3,20.0,30.0,20,4.95,5.05,-0.1
PYR2_waterO_within_35pm,4,30.0,40.0,20,4.55,5.95,-1.4
PYR2_waterO_within_35pm,5,40.0,50.0,20,4.6,4.2,0.4
PYR2_waterO_within_35pm,6,50.0,60.0,20,4.6,5.45,-0.85
PYR2_waterO_within_35pm,7,60.0,70.0,20,4.45,4.45,0.0
PYR2_waterO_within_35pm,8,70.0,80.0,20,5.0,5.0,0.0
PYR2_waterO_within_35pm,9,80.0,90.0,20,5.25,5.4,-0.15
PYR2_waterO_within_35pm,10,90.0,100.0,21,8.238095238095237,4.380952380952381,3.857142857142857
PYR2_waterO_within_50pm,1,0.0,10.0,20,20.7,25.65,-4.95
PYR2_waterO_within_50pm,2,10.0,20.0,20,22.4,25.45,-3.05
PYR2_waterO_within_50pm,3,20.0,30.0,20,24.55,27.8,-3.25
PYR2_waterO_within_50pm,4,30.0,40.0,20,23.05,23.6,-0.55
PYR2_waterO_within_50pm,5,40.0,50.0,20,24.6,22.2,2.4
PYR2_waterO_within_50pm,6,50.0,60.0,20,24.7,25.95,-1.25
PYR2_waterO_within_50pm,7,60.0,70.0,20,23.75,27.75,-4.0
PYR2_waterO_within_50pm,8,70.0,80.0,20,22.8,28.05,-5.25
PYR2_waterO_within_50pm,9,80.0,90.0,20,27.0,28.85,-1.85
PYR2_waterO_within_50pm,10,90.0,100.0,21,31.61904761904762,25.761904761904763,5.857142857142857
PYR3_waterO_within_35pm,1,0.0,10.0,20,3.05,4.5,-1.45
PYR3_waterO_within_35pm,2,10.0,20.0,20,4.85,4.75,0.1
PYR3_waterO_within_35pm,3,20.0,30.0,20,4.2,4.5,-0.3
PYR3_waterO_within_35pm,4,30.0,40.0,20,4.85,4.65,0.2
PYR3_waterO_within_35pm,5,40.0,50.0,20,5.1,4.6,0.5
PYR3_waterO_within_35pm,6,50.0,60.0,20,4.55,5.15,-0.6
PYR3_waterO_within_35pm,7,60.0,70.0,20,4.5,5.3,-0.8
