dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,0,0.0,1,0.35,1
frozen,0,0.0,1,0.5,8
frozen,0,0.0,2,0.35,0
frozen,0,0.0,2,0.5,8
frozen,0,0.0,3,0.35,0
frozen,0,0.0,3,0.5,6
frozen,0,0.0,4,0.35,3
frozen,0,0.0,4,0.5,12
frozen,1,0.5,1,0.35,2
frozen,1,0.5,1,0.5,13
frozen,1,0.5,2,0.35,1
frozen,1,0.5,2,0.5,11
frozen,1,0.5,3,0.35,1
frozen,1,0.5,3,0.5,11
frozen,1,0.5,4,0.35,3
frozen,1,0.5,4,0.5,13
frozen,2,1.0,1,0.35,4
frozen,2,1.0,1,0.5,16
frozen,2,1.0,2,0.35,1
frozen,2,1.0,2,0.5,10
frozen,2,1.0,3,0.35,1
frozen,2,1.0,3,0.5,14
frozen,2,1.0,4,0.35,2
frozen,2,1.0,4,0.5,18
frozen,3,1.5,1,0.35,3
frozen,3,1.5,1,0.5,19
frozen,3,1.5,2,0.35,2
frozen,3,1.5,2,0.5,16
frozen,3,1.5,3,0.35,1
frozen,3,1.5,3,0.5,14
frozen,3,1.5,4,0.35,5
frozen,3,1.5,4,0.5,16
frozen,4,2.0,1,0.35,4
frozen,4,2.0,1,0.5,22
frozen,4,2.0,2,0.35,2
frozen,4,2.0,2,0.5,21
frozen,4,2.0,3,0.35,2
frozen,4,2.0,3,0.5,12
frozen,4,2.0,4,0.35,1
frozen,4,2.0,4,0.5,17
frozen,5,2.5,1,0.35,2
frozen,5,2.5,1,0.5,23
frozen,5,2.5,2,0.35,3
frozen,5,2.5,2,0.5,21
frozen,5,2.5,3,0.35,3
frozen,5,2.5,3,0.5,13
frozen,5,2.5,4,0.35,6
frozen,5,2.5,4,0.5,17
frozen,6,3.0,1,0.35,1
frozen,6,3.0,1,0.5,24
frozen,6,3.0,2,0.35,3
frozen,6,3.0,2,0.5,22
frozen,6,3.0,3,0.35,1
frozen,6,3.0,3,0.5,11
frozen,6,3.0,4,0.35,3
frozen,6,3.0,4,0.5,21
frozen,7,3.5,1,0.35,5
frozen,7,3.5,1,0.5,25
frozen,7,3.5,2,0.35,2
frozen,7,3.5,2,0.5,23
frozen,7,3.5,3,0.35,2
frozen,7,3.5,3,0.5,9
frozen,7,3.5,4,0.35,5
frozen,7,3.5,4,0.5,22
frozen,8,4.0,1,0.35,4
frozen,8,4.0,1,0.5,22
frozen,8,4.0,2,0.35,4
frozen,8,4.0,2,0.5,22
frozen,8,4.0,3,0.35,4
frozen,8,4.0,3,0.5,10
frozen,8,4.0,4,0.35,5
frozen,8,4.0,4,0.5,24
frozen,9,4.5,1,0.35,4
frozen,9,4.5,1,0.5,22
frozen,9,4.5,2,0.35,4
frozen,9,4.5,2,0.5,22
frozen,9,4.5,3,0.35,3
frozen,9,4.5,3,0.5,11
frozen,9,4.5,4,0.35,3
frozen,9,4.5,4,0.5,24
frozen,10,5.0,1,0.35,5
frozen,10,5.0,1,0.5,25
frozen,10,5.0,2,0.35,3
frozen,10,5.0,2,0.5,19
frozen,10,5.0,3,0.35,6
frozen,10,5.0,3,0.5,16
frozen,10,5.0,4,0.35,5
frozen,10,5.0,4,0.5,26
frozen,11,5.5,1,0.35,5
frozen,11,5.5,1,0.5,23
frozen,11,5.5,2,0.35,3
frozen,11,5.5,2,0.5,23
frozen,11,5.5,3,0.35,4
frozen,11,5.5,3,0.5,16
frozen,11,5.5,4,0.35,4
frozen,11,5.5,4,0.5,29
frozen,12,6.0,1,0.35,4
frozen,12,6.0,1,0.5,23
frozen,12,6.0,2,0.35,2
frozen,12,6.0,2,0.5,24
frozen,12,6.0,3,0.35,2
frozen,12,6.0,3,0.5,16
frozen,12,6.0,4,0.35,6
frozen,12,6.0,4,0.5,31
frozen,13,6.5,1,0.35,8
frozen,13,6.5,1,0.5,22
frozen,13,6.5,2,0.35,5
frozen,13,6.5,2,0.5,24
frozen,13,6.5,3,0.35,1
frozen,13,6.5,3,0.5,14
frozen,13,6.5,4,0.35,7
frozen,13,6.5,4,0.5,28
frozen,14,7.0,1,0.35,4
frozen,14,7.0,1,0.5,21
frozen,14,7.0,2,0.35,5
frozen,14,7.0,2,0.5,23
frozen,14,7.0,3,0.35,2
frozen,14,7.0,3,0.5,15
frozen,14,7.0,4,0.35,7
frozen,14,7.0,4,0.5,26
frozen,15,7.5,1,0.35,4
frozen,15,7.5,1,0.5,21
frozen,15,7.5,2,0.35,2
frozen,15,7.5,2,0.5,21
frozen,15,7.5,3,0.35,1
frozen,15,7.5,3,0.5,15
frozen,15,7.5,4,0.35,3
frozen,15,7.5,4,0.5,28
frozen,16,8.0,1,0.35,2
frozen,16,8.0,1,0.5,23
frozen,16,8.0,2,0.35,5
frozen,16,8.0,2,0.5,26
frozen,16,8.0,3,0.35,5
frozen,16,8.0,3,0.5,16
frozen,16,8.0,4,0.35,7
frozen,16,8.0,4,0.5,28
frozen,17,8.5,1,0.35,3
frozen,17,8.5,1,0.5,23
frozen,17,8.5,2,0.35,8
frozen,17,8.5,2,0.5,24
frozen,17,8.5,3,0.35,3
frozen,17,8.5,3,0.5,21
frozen,17,8.5,4,0.35,7
frozen,17,8.5,4,0.5,29
frozen,18,9.0,1,0.35,4
frozen,18,9.0,1,0.5,22
frozen,18,9.0,2,0.35,3
frozen,18,9.0,2,0.5,26
frozen,18,9.0,3,0.35,5
frozen,18,9.0,3,0.5,21
frozen,18,9.0,4,0.35,6
frozen,18,9.0,4,0.5,27
frozen,19,9.5,1,0.35,4
frozen,19,9.5,1,0.5,24
frozen,19,9.5,2,0.35,5
frozen,19,9.5,2,0.5,26
frozen,19,9.5,3,0.35,3
frozen,19,9.5,3,0.5,24
frozen,19,9.5,4,0.35,4
frozen,19,9.5,4,0.5,27
frozen,20,10.0,1,0.35,5
frozen,20,10.0,1,0.5,24
frozen,20,10.0,2,0.35,5
frozen,20,10.0,2,0.5,25
frozen,20,10.0,3,0.35,4
frozen,20,10.0,3,0.5,20
frozen,20,10.0,4,0.35,6
frozen,20,10.0,4,0.5,26
frozen,21,10.5,1,0.35,4
frozen,21,10.5,1,0.5,20
frozen,21,10.5,2,0.35,4
frozen,21,10.5,2,0.5,25
frozen,21,10.5,3,0.35,5
frozen,21,10.5,3,0.5,21
frozen,21,10.5,4,0.35,4
frozen,21,10.5,4,0.5,29
frozen,22,11.0,1,0.35,4
frozen,22,11.0,1,0.5,21
frozen,22,11.0,2,0.35,8
frozen,22,11.0,2,0.5,27
frozen,22,11.0,3,0.35,5
frozen,22,11.0,3,0.5,23
frozen,22,11.0,4,0.35,6
frozen,22,11.0,4,0.5,30
frozen,23,11.5,1,0.35,7
frozen,23,11.5,1,0.5,23
frozen,23,11.5,2,0.35,8
frozen,23,11.5,2,0.5,25
frozen,23,11.5,3,0.35,5
frozen,23,11.5,3,0.5,25
frozen,23,11.5,4,0.35,4
frozen,23,11.5,4,0.5,30
frozen,24,12.0,1,0.35,6
frozen,24,12.0,1,0.5,22
frozen,24,12.0,2,0.35,5
frozen,24,12.0,2,0.5,24
frozen,24,12.0,3,0.35,3
frozen,24,12.0,3,0.5,23
frozen,24,12.0,4,0.35,9
frozen,24,12.0,4,0.5,30
frozen,25,12.5,1,0.35,4
frozen,25,12.5,1,0.5,27
frozen,25,12.5,2,0.35,4
frozen,25,12.5,2,0.5,22
frozen,25,12.5,3,0.35,2
frozen,25,12.5,3,0.5,25
frozen,25,12.5,4,0.35,2
frozen,25,12.5,4,0.5,24
frozen,26,13.0,1,0.35,4
frozen,26,13.0,1,0.5,24
frozen,26,13.0,2,0.35,4
frozen,26,13.0,2,0.5,22
frozen,26,13.0,3,0.35,4
frozen,26,13.0,3,0.5,25
frozen,26,13.0,4,0.35,5
frozen,26,13.0,4,0.5,32
frozen,27,13.5,1,0.35,5
frozen,27,13.5,1,0.5,22
frozen,27,13.5,2,0.35,4
frozen,27,13.5,2,0.5,23
frozen,27,13.5,3,0.35,7
frozen,27,13.5,3,0.5,29
frozen,27,13.5,4,0.35,4
frozen,27,13.5,4,0.5,27
frozen,28,14.0,1,0.35,6
frozen,28,14.0,1,0.5,19
frozen,28,14.0,2,0.35,5
frozen,28,14.0,2,0.5,25
frozen,28,14.0,3,0.35,2
frozen,28,14.0,3,0.5,25
frozen,28,14.0,4,0.35,5
frozen,28,14.0,4,0.5,25
frozen,29,14.5,1,0.35,7
frozen,29,14.5,1,0.5,21
frozen,29,14.5,2,0.35,6
frozen,29,14.5,2,0.5,28
frozen,29,14.5,3,0.35,5
frozen,29,14.5,3,0.5,23
frozen,29,14.5,4,0.35,6
frozen,29,14.5,4,0.5,26
frozen,30,15.0,1,0.35,4
frozen,30,15.0,1,0.5,24
frozen,30,15.0,2,0.35,5
