calculation_type,frame,cluster,job,tracked_root,is_tracked_root,root,hole_orbital,hole_spin,particle_orbital,particle_spin,occupation
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,52,a,53,a,0.87581545
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,51,a,54,a,0.09392891
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,50,a,55,a,0.00752227
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,49,a,56,a,0.00329746
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,48,a,57,a,0.0030636
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,47,a,58,a,0.00242263
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,46,a,59,a,0.00197504
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,45,a,60,a,0.00194973
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,44,a,61,a,0.00155046
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,43,a,62,a,0.00125623
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,42,a,63,a,0.00122149
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,41,a,64,a,0.00090831
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,40,a,65,a,0.00074517
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,39,a,66,a,0.00063182
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,38,a,67,a,0.00045097
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,37,a,68,a,0.000374
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,36,a,69,a,0.00036966
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,35,a,70,a,0.00034108
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,34,a,71,a,0.00031191
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,33,a,72,a,0.00027535
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,32,a,73,a,0.00026753
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,31,a,74,a,0.00025337
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,30,a,75,a,0.0001771
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,29,a,76,a,0.00014856
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,28,a,77,a,0.00014406
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,True,1,27,a,78,a,0.00010452
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,52,a,53,a,0.63068887
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,51,a,54,a,0.33855656
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,50,a,55,a,0.01436457
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,49,a,56,a,0.01260297
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,48,a,57,a,0.00061067
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,47,a,58,a,0.00053073
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,46,a,59,a,0.00036291
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,45,a,60,a,0.00035456
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,44,a,61,a,0.00030607
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,43,a,62,a,0.00024136
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,42,a,63,a,0.00019842
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,41,a,64,a,0.00019303
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,40,a,65,a,0.00013399
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,39,a,66,a,0.00012118
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,1,False,2,38,a,67,a,0.00011472
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,52,a,53,a,0.63060731
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,51,a,54,a,0.34138756
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,50,a,55,a,0.01252453
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,49,a,56,a,0.01173731
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,48,a,57,a,0.00061365
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,47,a,58,a,0.00043498
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,46,a,59,a,0.00040755
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,45,a,60,a,0.00027283
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,44,a,61,a,0.00026227
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,43,a,62,a,0.00024923
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,42,a,63,a,0.0002032
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,41,a,64,a,0.00018741
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,40,a,65,a,0.000161
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,39,a,66,a,0.00013875
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,False,1,38,a,67,a,0.00011827
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,52,a,53,a,0.83774482
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,2,True,2,51,a,54,a,0.13818977
