calculation_type,frame,cluster,job,reason,tracked_root,brightest_root_S1_S2,tracked_equals_brightest,root,is_tracked_root,is_brightest_root,S1_S2_gap_meV,energy_au,energy_eV,energy_cm1,fosc,n_printed_pairs,sum_printed_occupations,unprinted_weight_upper_bound,n1,n2,n1_plus_n2,n2_over_n1,participation_ratio_printed,shannon_entropy_printed,character_class,dominant_pair,second_pair,output,nto_file
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,minimum_PYR5_solvent_shift,1,1,True,1,True,True,101.99999999999987,0.137792,3.75,30241.8,0.61541292,26,0.9995066800000001,0.0004933199999999083,0.87581545,0.09392891,0.9697443600000001,0.10724737728707572,1.28743179775331,0.5196878619512263,single_pair_dominated,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.nto
embedded,3,PYR5,frame003_PYR5_embedding_nto_s1_s2,minimum_PYR5_solvent_shift,1,1,True,2,False,False,101.99999999999987,0.141552,3.852,31067.0,0.04265182,15,0.99938061,0.0006193899999999974,0.63068887,0.33855656,0.96924543,0.5368043992912068,1.947832606141857,0.7987087579436792,two_pair_mixed,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.nto
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,minimum_tracked_character_weight,2,2,True,1,False,False,61.99999999999939,0.147217,4.006,32310.4,0.058605874,15,0.99930585,0.000694149999999949,0.63060731,0.34138756,0.9719948700000001,0.5413631503891065,1.9409117341808964,0.7891415815957604,two_pair_mixed,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.nto
embedded,5,PYR2,frame005_PYR2_embedding_nto_s1_s2,minimum_tracked_character_weight,2,2,True,2,True,True,61.99999999999939,0.149499,4.068,32811.3,0.424630393,26,0.9995438,0.0004562000000000177,0.83774482,0.13818977,0.9759345899999999,0.16495449055716035,1.3857568681476404,0.5723571669107219,single_pair_dominated,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s2.nto
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,maximum_PYR5_solvent_shift,1,1,True,1,True,True,73.99999999999984,0.139535,3.797,30624.4,0.647307662,26,0.99946734,0.0005326599999999626,0.87757754,0.09158606,0.9691636,0.10436235640214767,1.2829273652739286,0.5175393959104502,single_pair_dominated,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s1.nto
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,maximum_PYR5_solvent_shift,1,1,True,2,False,False,73.99999999999984,0.142257,3.871,31221.7,0.020591079,12,0.99927937,0.0007206299999999999,0.61350706,0.3550372,0.96854426,0.5787010829182634,1.9857690034805278,0.8053495311111903,two_pair_mixed,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR5_embedding_nto_s1_s2/frame005_PYR5_embedding_nto_s1_s2.s2.nto
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,minimum_S1_S2_separation_meV,1,1,True,1,True,True,52.999999999999936,0.139029,3.783,30513.4,0.661990456,26,0.99945109,0.0005489100000000136,0.87956822,0.08952215,0.96909037,0.10177965502209708,1.2777535630387087,0.5130644807758532,single_pair_dominated,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s1.nto
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,minimum_S1_S2_separation_meV,1,1,True,2,False,False,52.999999999999936,0.140987,3.836,30943.1,0.010824666,9,0.99920311,0.0007968900000000501,0.61148015,0.35735875,0.9688389,0.5844159454726372,1.988711249825163,0.8017991579962591,two_pair_mixed,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame013_PYR5_embedding_nto_s1_s2/frame013_PYR5_embedding_nto_s1_s2.s2.nto
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,vacuum_reference_for_each_chromophore,2,2,True,1,False,False,88.99999999999952,0.147025,4.001,32268.3,0.000794493,8,0.9992553799999999,0.0007446200000000847,0.52346818,0.447566,0.97103418,0.8550013488881025,2.1034374990493987,0.8237120149076912,two_pair_mixed,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.nto
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,vacuum_reference_for_each_chromophore,2,2,True,2,True,True,88.99999999999952,0.150296,4.09,32986.2,0.505315135,26,0.99944981,0.000550190000000006,0.84685883,0.12769211,0.97455094,0.15078323030533908,1.3617543405061683,0.561602023083077,single_pair_dominated,52a->53a,51a->54a,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.out,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s2.nto
