site_i,site_j,category,gamma_phi_ps_inv,mean_rate_ps_inv,sd_rate_ps_inv,minimum_rate_ps_inv,maximum_rate_ps_inv
PYR2_bright,PYR3_bright,high_high,20.0,0.18490511130335446,0.09854313719362082,0.04400924104960785,0.3374903763325776
PYR2_bright,PYR3_bright,high_high,50.0,0.11115521714662499,0.02351468513366255,0.06393875840421724,0.1376039140616959
PYR2_bright,PYR3_bright,high_high,100.0,0.06335063354179482,0.005491171142339142,0.051234400730853356,0.0704150392682568
PYR2_bright,PYR3_bright,high_high,200.0,0.03311307193578193,0.0016655201674204325,0.028968419337827414,0.035426480454287264
PYR2_bright,PYR4_bright,high_high,20.0,0.00978655429420763,0.004126548720212027,0.003354450123274549,0.015370109680742103
PYR2_bright,PYR4_bright,high_high,50.0,0.005294216890512632,0.0007794253229452004,0.0036247136432412783,0.006177816963805632
PYR2_bright,PYR4_bright,high_high,100.0,0.00288492047233272,0.00017630994578749252,0.002314668194036487,0.0030910469093999686
PYR2_bright,PYR4_bright,high_high,200.0,0.0014812477344099736,6.156676002157314e-05,0.0012434956638300544,0.0015457909894923023
PYR2_bright,PYR5_bright,includes_PYR5,20.0,2.689056880316447e-06,3.3220284446417354e-07,2.0836839946658096e-06,3.2896300667590976e-06
PYR2_bright,PYR5_bright,includes_PYR5,50.0,6.6587656313845e-06,8.161677066597487e-07,5.157855113647839e-06,8.123673455170636e-06
PYR2_bright,PYR5_bright,includes_PYR5,100.0,1.28807741714452e-05,1.5369966162075365e-06,9.96485906106443e-06,1.5568543524616167e-05
PYR2_bright,PYR5_bright,includes_PYR5,200.0,2.278092186377225e-05,2.4853629420378844e-06,1.7543065235757515e-05,2.6678625827657588e-05
PYR3_bright,PYR4_bright,high_high,20.0,0.16598585326254084,0.09874784363152685,0.036827506810800714,0.3461605776629925
PYR3_bright,PYR4_bright,high_high,50.0,0.10633558641167856,0.024085817878891424,0.05790831100586438,0.1391347708836871
PYR3_bright,PYR4_bright,high_high,100.0,0.06243189456648402,0.0053632268996241204,0.04981115467313168,0.07047281573437252
PYR3_bright,PYR4_bright,high_high,200.0,0.03298678969376414,0.0012835249641611943,0.030375856075024733,0.03562536380176825
PYR3_bright,PYR5_bright,includes_PYR5,20.0,3.540017269095199e-05,5.220375811097234e-06,2.866892043471345e-05,4.883440278529081e-05
PYR3_bright,PYR5_bright,includes_PYR5,50.0,8.759102746261785e-05,1.2782669673906691e-05,7.109680656797593e-05,0.00012040580303923183
PYR3_bright,PYR5_bright,includes_PYR5,100.0,0.00016898633973193148,2.3782327578001803e-05,0.0001382296197106133,0.00022952983660725444
PYR3_bright,PYR5_bright,includes_PYR5,200.0,0.0002961989537099148,3.654776085960305e-05,0.00024872408036464736,0.0003866104986579184
PYR4_bright,PYR5_bright,includes_PYR5,20.0,0.0008657588997004732,9.414542814780397e-05,0.0006355147264440564,0.0010665883549119937
PYR4_bright,PYR5_bright,includes_PYR5,50.0,0.00214424880391952,0.00023137460080374842,0.0015768889688006053,0.002636791304975656
PYR4_bright,PYR5_bright,includes_PYR5,100.0,0.004150559759655783,0.0004359765297380342,0.0030716268739111358,0.005071960225737982
PYR4_bright,PYR5_bright,includes_PYR5,200.0,0.0073559448020097,0.0007010614620932695,0.005563564555741488,0.00879838284776722
