site_a,family_a,site_b,family_b,n_frames,distance_A,relative_permittivity,mean_J_meV,sd_J_meV,minimum_J_meV,maximum_J_meV,mean_absolute_J_meV,maximum_absolute_J_meV,mean_kappa,minimum_kappa,maximum_kappa
PYR2,alternate_like,PYR3,alternate_like,21,26.896124764429352,1.0,0.014387696489319686,0.019150556676212037,-0.006432603209385961,0.07039083556978186,0.016449498838342496,0.07039083556978186,0.6083893016700284,-0.7068172024330814,1.502149544333242
PYR2,alternate_like,PYR3,bright_like,21,26.896124764429352,1.0,-0.10924278144555333,0.08398325216728333,-0.34413380392655857,0.018576628282080905,0.1120478258293874,0.34413380392655857,-0.7651278218078744,-1.5140993273387058,0.1698062140134122
PYR2,alternate_like,PYR4,alternate_like,21,42.49054542354835,1.0,-0.0015663228310533088,0.0026827962206106603,-0.008873766883277925,0.002059892340196844,0.0021444230253003693,0.008873766883277925,-0.2561129100279813,-0.9345033427195667,0.5308573414169032
PYR2,alternate_like,PYR4,bright_like,21,42.49054542354835,1.0,0.0212673998109089,0.02538407659321376,-0.01712485369227567,0.08510022530676495,0.027322641538664056,0.08510022530676495,0.4705221659011042,-0.615987068960103,0.9898234929579391
PYR2,alternate_like,PYR5,alternate_like,21,46.89345298869688,1.0,-0.0010473538347778775,0.004902825031667214,-0.010049310137933015,0.008133227947550807,0.004145906134931819,0.010049310137933015,-0.11833054003745508,-1.5779392965002854,1.6946254218861183
PYR2,alternate_like,PYR5,bright_like,21,46.89345298869688,1.0,0.003645195565200157,0.018946135795431182,-0.026087687993847215,0.03678244969654757,0.017219655649648835,0.03678244969654757,-0.05053907573655974,-0.8411688721043533,0.7134276057548593
PYR2,bright_like,PYR3,alternate_like,21,26.896124764429352,1.0,0.13890562418167965,0.0874135674421987,-0.02262236996339429,0.35207419508288523,0.14123928667399735,0.35207419508288523,0.9709142511368742,-0.24047060899827863,1.3767253656999197
PYR2,bright_like,PYR3,bright_like,21,26.896124764429352,1.0,-1.169367252704026,0.02607011889872992,-1.2011149321259702,-1.092991138596057,1.169367252704026,1.2011149321259702,-1.134836654508329,-1.147925956829916,-1.1199908860012344
PYR2,bright_like,PYR4,alternate_like,21,42.49054542354835,1.0,-0.018231399573288856,0.01665241762201611,-0.04932870034420806,0.00768937586981063,0.01968422985705581,0.04932870034420806,-0.46010228785874613,-0.9885910612634947,0.462351405282333
PYR2,bright_like,PYR4,bright_like,21,42.49054542354835,1.0,0.25626965852530764,0.005039252631749178,0.2366963057066529,0.2606156664946673,0.25626965852530764,0.2606156664946673,0.9732915398459389,0.9689340819038122,0.9775551114582312
PYR2,bright_like,PYR5,alternate_like,21,46.89345298869688,1.0,-0.02288998047689083,0.01973844254903642,-0.04597195112577765,0.022502422535033775,0.028417213111909374,0.04597195112577765,-0.6579173949950118,-1.1228574603855759,0.5669345464225068
PYR2,bright_like,PYR5,bright_like,21,46.89345298869688,1.0,0.07508244266119468,0.0040443854333063025,0.06435486093379816,0.0812699004014504,0.07508244266119468,0.0812699004014504,0.3270390394836281,0.28955742683798,0.361049540316142
PYR3,alternate_like,PYR4,alternate_like,21,26.894352545248694,1.0,0.013870714466465567,0.015421965955383704,-0.00879554596297343,0.045464835278404024,0.014792171752155116,0.045464835278404024,0.6709306736725117,-0.6960094468634775,1.5576997496921468
PYR3,alternate_like,PYR4,bright_like,21,26.894352545248694,1.0,-0.1519841269979872,0.0963938402458034,-0.3859450072391089,0.03570165674615275,0.15711583654846367,0.3859450072391089,-1.057054431060971,-1.5208390663358655,0.37588305251371334
PYR3,alternate_like,PYR5,alternate_like,21,43.42113049019883,1.0,0.002945182011070503,0.003767917084632303,-0.0024633382263796787,0.010097490020032726,0.0035171923945915328,0.010097490020032726,0.35157004578438106,-0.39899949401586743,0.9077422315688245
PYR3,alternate_like,PYR5,bright_like,21,43.42113049019883,1.0,-0.028228811998441274,0.020784576461147,-0.07592415502258294,0.002903101998128849,0.028661933958320954,0.07592415502258294,-0.642668517807856,-0.9740798033527986,0.16397347662988374
PYR3,bright_like,PYR4,alternate_like,21,26.894352545248694,1.0,-0.13736652481171988,0.09063541519657063,-0.3342733277298294,0.023934735951698174,0.14078741362508973,0.3342733277298294,-1.0084166261728627,-1.4018853674131873,0.23087983159279654
PYR3,bright_like,PYR4,bright_like,21,26.894352545248694,1.0,1.228828473895595,0.017191286693754946,1.1903484373918656,1.2663662169637613,1.228828473895595,1.2663662169637613,1.1717217159717452,1.1598279742646878,1.1879628917114207
PYR3,bright_like,PYR5,alternate_like,21,43.42113049019883,1.0,-0.028138044025646788,0.02642575852678623,-0.07710441709772776,0.016854728686228726,0.03242451908608174,0.07710441709772776,-0.5201538786234156,-0.9670984108844336,0.36894794997580893
PYR3,bright_like,PYR5,bright_like,21,43.42113049019883,1.0,0.28529022737578336,0.003780239222942104,0.2770745669791128,0.2910316437761074,0.28529022737578336,0.2910316437761074,0.9767567756726241,0.9670729171239346,0.9828614919883935
PYR4,alternate_like,PYR5,alternate_like,21,27.639865838924578,1.0,-0.009983297096868626,0.02100399353533003,-0.05312039242002889,0.029742716190021824,0.019625315896410957,0.05312039242002889,-0.340619957993759,-1.5087581693139431,1.052436229284683
PYR4,alternate_like,PYR5,bright_like,21,27.639865838924578,1.0,0.16018506120198067,0.10592860547780031,-0.038537441938667955,0.38060656548910277,0.1661464366299596,0.38060656548910277,1.0926009634102645,-0.34029954585826216,1.503768522278723
PYR4,bright_like,PYR5,alternate_like,21,27.639865838924578,1.0,0.06109672522818418,0.1732551510762893,-0.23109842678425474,0.40645575740928397,0.15631785684873348,0.40645575740928397,0.16955345541580422,-1.2993724564598461,1.4324629660653787
PYR4,bright_like,PYR5,bright_like,21,27.639865838924578,1.0,-1.3882039003344468,0.0262600243793667,-1.4242392002169328,-1.321082903382123,1.3882039003344468,1.4242392002169328,-1.216746747969427,-1.2586520835051493,-1.1866628502876668
