pyr_label,resid,atom_index,atom_name,x_nm,y_nm,z_nm
PYR1,2,1681,C,5.310000,3.348000,2.991000
PYR1,2,1682,C1,5.316000,3.415000,3.115000
PYR1,2,1683,C2,5.330000,3.554000,3.119000
PYR1,2,1684,C3,5.336000,3.622000,3.242000
PYR1,2,1685,C4,5.351000,3.761000,3.245000
PYR1,2,1686,C5,5.360000,3.835000,3.126000
PYR1,2,1687,C6,5.374000,3.974000,3.128000
PYR1,2,1688,C7,5.383000,4.047000,3.009000
PYR1,2,1689,C8,5.377000,3.980000,2.885000
PYR1,2,1690,C9,5.363000,3.840000,2.881000
PYR1,2,1691,C10,5.357000,3.773000,2.758000
PYR1,2,1692,C11,5.342000,3.633000,2.754000
PYR1,2,1693,C12,5.334000,3.560000,2.874000
PYR1,2,1694,C13,5.319000,3.420000,2.871000
PYR1,2,1695,C14,5.339000,3.627000,2.998000
PYR1,2,1696,C15,5.354000,3.767000,3.002000
PYR1,2,1697,H,5.298000,3.240000,2.989000
PYR1,2,1698,H1,5.309000,3.357000,3.207000
PYR1,2,1699,H2,5.330000,3.567000,3.335000
PYR1,2,1700,H3,5.355000,3.812000,3.341000
PYR1,2,1701,H4,5.379000,4.027000,3.223000
PYR1,2,1702,H5,5.395000,4.155000,3.011000
PYR1,2,1703,H6,5.384000,4.038000,2.793000
PYR1,2,1704,H7,5.363000,3.828000,2.665000
PYR1,2,1705,H8,5.337000,3.582000,2.659000
PYR1,2,1706,H9,5.314000,3.367000,2.777000
PYR2,3,1707,C,4.047000,5.310000,4.331000
PYR2,3,1708,C1,3.980000,5.316000,4.454000
PYR2,3,1709,C2,3.840000,5.330000,4.458000
PYR2,3,1710,C3,3.773000,5.336000,4.581000
PYR2,3,1711,C4,3.633000,5.351000,4.585000
PYR2,3,1712,C5,3.560000,5.360000,4.465000
PYR2,3,1713,C6,3.420000,5.374000,4.468000
PYR2,3,1714,C7,3.348000,5.383000,4.348000
PYR2,3,1715,C8,3.414000,5.377000,4.224000
PYR2,3,1716,C9,3.554000,5.363000,4.220000
PYR2,3,1717,C10,3.622000,5.357000,4.097000
PYR2,3,1718,C11,3.761000,5.342000,4.094000
PYR2,3,1719,C12,3.835000,5.333000,4.213000
PYR2,3,1720,C13,3.974000,5.318000,4.211000
PYR2,3,1721,C14,3.767000,5.339000,4.337000
PYR2,3,1722,C15,3.627000,5.354000,4.341000
PYR2,3,1723,H,4.155000,5.298000,4.328000
PYR2,3,1724,H1,4.037000,5.309000,4.546000
PYR2,3,1725,H2,3.828000,5.330000,4.674000
PYR2,3,1726,H3,3.582000,5.355000,4.680000
PYR2,3,1727,H4,3.367000,5.379000,4.562000
PYR2,3,1728,H5,3.240000,5.395000,4.350000
PYR2,3,1729,H6,3.357000,5.384000,4.132000
PYR2,3,1730,H7,3.566000,5.363000,4.004000
PYR2,3,1731,H8,3.812000,5.337000,3.998000
PYR2,3,1732,H9,4.027000,5.314000,4.116000
PYR3,4,1733,C,2.085000,4.047000,5.670000
PYR3,4,1734,C1,2.079000,3.980000,5.793000
PYR3,4,1735,C2,2.064000,3.840000,5.797000
PYR3,4,1736,C3,2.058000,3.773000,5.920000
PYR3,4,1737,C4,2.044000,3.633000,5.924000
PYR3,4,1738,C5,2.035000,3.560000,5.804000
PYR3,4,1739,C6,2.020000,3.420000,5.807000
PYR3,4,1740,C7,2.011000,3.348000,5.687000
PYR3,4,1741,C8,2.017000,3.414000,5.564000
PYR3,4,1742,C9,2.032000,3.554000,5.559000
PYR3,4,1743,C10,2.038000,3.622000,5.436000
PYR3,4,1744,C11,2.053000,3.761000,5.433000
PYR3,4,1745,C12,2.061000,3.835000,5.553000
PYR3,4,1746,C13,2.076000,3.974000,5.550000
PYR3,4,1747,C14,2.055000,3.767000,5.677000
PYR3,4,1748,C15,2.041000,3.627000,5.680000
PYR3,4,1749,H,2.096000,4.155000,5.667000
PYR3,4,1750,H1,2.086000,4.037000,5.885000
PYR3,4,1751,H2,2.065000,3.828000,6.013000
PYR3,4,1752,H3,2.039000,3.582000,6.019000
PYR3,4,1753,H4,2.015000,3.367000,5.902000
PYR3,4,1754,H5,2.000000,3.240000,5.690000
PYR3,4,1755,H6,2.010000,3.357000,5.471000
PYR3,4,1756,H7,2.031000,3.566000,5.343000
PYR3,4,1757,H8,2.057000,3.812000,5.337000
PYR3,4,1758,H9,2.081000,4.027000,5.455000
PYR4,5,1759,C,3.332000,1.967000,7.009000
PYR4,5,1760,C1,3.402000,1.960000,7.132000
PYR4,5,1761,C2,3.547000,1.944000,7.136000
PYR4,5,1762,C3,3.619000,1.938000,7.258000
PYR4,5,1763,C4,3.763000,1.924000,7.262000
PYR4,5,1764,C5,3.841000,1.915000,7.143000
PYR4,5,1765,C6,3.986000,1.902000,7.146000
PYR4,5,1766,C7,4.062000,1.894000,7.026000
PYR4,5,1767,C8,3.992000,1.899000,6.903000
