frame,time_ps,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_waters_lost,waters_entered_from_initial_outside,initial_lumen_retention_fraction,minimum_CAP_OW_distance_nm,HBN_max_displacement_nm,PYR_max_displacement_nm,CAPS_max_displacement_nm
0,0.0,428,428,0,0,1.0,0.2201885555609106,0.0,0.0,0.0
1,0.5,426,426,2,0,0.9953271028037384,0.173677862722916,0.0,0.0,0.0
2,1.0,428,428,0,0,1.0,0.1850675552332178,0.0,0.0,0.0
3,1.5,426,426,2,0,0.9953271028037384,0.18057131555150166,0.0,0.0,0.0
4,2.0,428,428,0,0,1.0,0.19325889371514068,0.0,0.0,0.0
5,2.5,428,428,0,0,1.0,0.1840081519933288,0.0,0.0,0.0
6,3.0,428,428,0,0,1.0,0.19000263156072397,0.0,0.0,0.0
7,3.5,428,428,0,0,1.0,0.19304144632694817,0.0,0.0,0.0
8,4.0,428,428,0,0,1.0,0.20801922988031657,0.0,0.0,0.0
9,4.5,428,428,0,0,1.0,0.19732967338948257,0.0,0.0,0.0
10,5.0,428,428,0,0,1.0,0.1986303098723862,0.0,0.0,0.0
11,5.5,428,428,0,0,1.0,0.200992537174891,0.0,0.0,0.0
12,6.0,428,428,0,0,1.0,0.19361043360315064,0.0,0.0,0.0
13,6.5,428,428,0,0,1.0,0.18455622449540968,0.0,0.0,0.0
14,7.0,428,428,0,0,1.0,0.19932636554154062,0.0,0.0,0.0
15,7.5,428,428,0,0,1.0,0.19065675964937623,0.0,0.0,0.0
16,8.0,428,428,0,0,1.0,0.17595738120351753,0.0,0.0,0.0
17,8.5,428,428,0,0,1.0,0.1954814569211104,0.0,0.0,0.0
18,9.0,428,428,0,0,1.0,0.19267589366602142,0.0,0.0,0.0
19,9.5,428,428,0,0,1.0,0.19319937888098862,0.0,0.0,0.0
20,10.0,428,428,0,0,1.0,0.18891797161731358,0.0,0.0,0.0
21,10.5,428,428,0,0,1.0,0.18166452598127064,0.0,0.0,0.0
22,11.0,428,428,0,0,1.0,0.19812369873389707,0.0,0.0,0.0
23,11.5,428,428,0,0,1.0,0.19879134790025407,0.0,0.0,0.0
24,12.0,428,428,0,0,1.0,0.19692892118731545,0.0,0.0,0.0
25,12.5,428,428,0,0,1.0,0.20028729365588752,0.0,0.0,0.0
26,13.0,428,428,0,0,1.0,0.20500243900988052,0.0,0.0,0.0
27,13.5,428,428,0,0,1.0,0.19111514853616404,0.0,0.0,0.0
28,14.0,428,428,0,0,1.0,0.18331666590902182,0.0,0.0,0.0
29,14.5,428,428,0,0,1.0,0.19297150048647108,0.0,0.0,0.0
30,15.0,428,428,0,0,1.0,0.18492701262930714,0.0,0.0,0.0
31,15.5,428,428,0,0,1.0,0.18504323819042912,0.0,0.0,0.0
32,16.0,428,428,0,0,1.0,0.1963695495742658,0.0,0.0,0.0
33,16.5,428,428,0,0,1.0,0.20006748861321777,0.0,0.0,0.0
34,17.0,427,427,1,0,0.9976635514018691,0.19131910516203032,0.0,0.0,0.0
35,17.5,428,428,0,0,1.0,0.17795224078386904,0.0,0.0,0.0
36,18.0,427,427,1,0,0.9976635514018691,0.1922420349455343,0.0,0.0,0.0
37,18.5,428,428,0,0,1.0,0.17079812645342424,0.0,0.0,0.0
38,19.0,427,427,1,0,0.9976635514018691,0.19433476271629785,0.0,0.0,0.0
39,19.5,428,428,0,0,1.0,0.1954430863448483,0.0,0.0,0.0
40,20.0,428,428,0,0,1.0,0.19576005721290515,0.0,0.0,0.0
