gate,pass
original_mdrun_return_code_zero,True
original_mdrun_finished,True
original_failure_is_temperature_std_only,True
post_5ps_temperature_mean_is_295_to_305K,True
post_5ps_temperature_std_is_at_most_5K,True
post_5ps_temperature_min_is_at_least_280K,True
post_5ps_temperature_max_is_at_most_320K,True
last_10ps_temperature_mean_is_295_to_305K,True
last_10ps_temperature_std_is_at_most_5K,True
last_10ps_temperature_slope_is_small,True
post_5ps_lumen_occupancy_remains_above_90_percent,True
post_5ps_initial_lumen_retention_remains_above_90_percent,True
post_5ps_CAP_OW_distance_remains_above_limit,True
endpoint_lumen_occupancy_is_428,True
endpoint_initial_lumen_retention_is_428,True
