gate,pass
R1_closed_positive_control_is_validated,True
R2_frozen_solute_50ps_is_validated,True
R2_static_partial_cap_model_is_validated,True
R1_and_R2_have_matched_initial_occupancy,True
R1_behaves_as_closed_positive_control,True
R2_endpoint_occupancy_is_at_least_90_percent,True
R2_minimum_occupancy_is_at_least_80_percent,True
R2_endpoint_is_at_least_90_percent_of_R1_endpoint,True
R2_final20_occupancy_is_stationary,True
R2_final15_occupancy_is_stationary,True
R2_final10_occupancy_is_stationary,True
R2_final10_net_change_is_at_most_5_waters,True
R2_demonstrates_water_exchange,True
R2_aperture_is_open,True
R2_open_area_fraction_is_valid,True
R2_minimum_CAP_OW_distance_is_safe,True
R2_HBN_remained_frozen,True
R2_PYR_remained_frozen,True
R2_CAPS_remained_frozen,True
