gate,pass
Gate3F_graph_design_is_accepted,True
Gate3G1_direct_junction_is_rejected,True
Gate3H_trimer_bridge_class_is_selected,True
30_rejected_direct_seed_annulus_edges_were_removed,True
no_rejected_direct_seed_annulus_edges_remain,True
15_trimer_bridge_paths_were_built_per_end,True
30_trimer_bridge_paths_were_built_total,True
45_bridge_atoms_were_added_per_end,True
90_bridge_atoms_were_added_total,True
60_bridge_heavy_edges_were_added_per_end,True
120_bridge_heavy_edges_were_added_total,True
lower_bridge_sequence_is_B_N_B,True
upper_bridge_sequence_is_N_B_N,True
combined_bridge_composition_is_45B_45N,True
all_heavy_atoms_have_total_coordination3,True
all_bridge_atoms_have_two_heavy_neighbors,True
all_H_atoms_have_coordination1,True
all_heavy_edges_are_heteropolar_BN,True
full_graph_is_connected,True
heavy_graph_is_connected,True
heavy_graph_is_bipartite,True
heavy_graph_contains_no_four_member_cycles,True
heavy_graph_girth_is_at_least6,True
every_bridge_path_participates_in_a_cycle,True
every_bridge_containing_cycle_has_length_at_least6,True
87_H_passivants_were_added_per_end,True
174_H_passivants_were_added_total,True
passivation_partition_is_15_15_12_45_per_end,True
201_added_heavy_atoms_are_present_per_end,True
2082_total_heavy_atoms_are_present,True
2256_total_nodes_are_present,True
no_coordinates_were_assigned,True
no_formal_charges_were_assigned,True
no_force_field_types_were_assigned,True
