node_id,element,node_type,end,source_index_0based,graph_source,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,lattice_x,lattice_y,radius_proxy_nm,angle_turns,bridge_path_id,bridge_index,bridge_position,attached_seed_node,attached_annulus_node,selected_gap_nm,feasible_gap_minimum_nm,feasible_gap_maximum_nm,mapping_seed_parity,mapping_orientation,mapping_rotation,mapping_chirality,attached_to
P:0,B,PARENT_HBN,PARENT,0,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:1,N,PARENT_HBN,PARENT,1,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:2,B,PARENT_HBN,PARENT,2,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:3,N,PARENT_HBN,PARENT,3,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:4,B,PARENT_HBN,PARENT,4,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:5,N,PARENT_HBN,PARENT,5,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:6,B,PARENT_HBN,PARENT,6,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:7,N,PARENT_HBN,PARENT,7,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:8,B,PARENT_HBN,PARENT,8,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:9,N,PARENT_HBN,PARENT,9,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:10,B,PARENT_HBN,PARENT,10,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:11,N,PARENT_HBN,PARENT,11,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:12,B,PARENT_HBN,PARENT,12,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:13,N,PARENT_HBN,PARENT,13,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:14,B,PARENT_HBN,PARENT,14,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:15,N,PARENT_HBN,PARENT,15,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:16,B,PARENT_HBN,PARENT,16,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:17,N,PARENT_HBN,PARENT,17,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:18,B,PARENT_HBN,PARENT,18,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:19,N,PARENT_HBN,PARENT,19,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:20,B,PARENT_HBN,PARENT,20,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:21,N,PARENT_HBN,PARENT,21,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:22,B,PARENT_HBN,PARENT,22,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:23,N,PARENT_HBN,PARENT,23,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:24,B,PARENT_HBN,PARENT,24,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:25,N,PARENT_HBN,PARENT,25,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:26,B,PARENT_HBN,PARENT,26,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
