bridge_path_id,end,bridge_index,seed_node,seed_element,bridge_node_1,bridge_element_1,bridge_node_2,bridge_element_2,bridge_node_3,bridge_element_3,annulus_node,annulus_element,heavy_edges_in_path,selected_gap_nm,feasible_gap_minimum_nm,feasible_gap_maximum_nm,mapping_seed_parity,mapping_orientation,mapping_rotation,mapping_chirality,alternative_heavy_path_length,shortest_cycle_containing_bridge_path
LOWER:BRIDGE:00,LOWER,0,S:1681,N,BR:LOWER:00:1,B,BR:LOWER:00:2,N,BR:LOWER:00:3,B,A:LOWER:14:-2,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:01,LOWER,1,S:1683,N,BR:LOWER:01:1,B,BR:LOWER:01:2,N,BR:LOWER:01:3,B,A:LOWER:14:-4,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:02,LOWER,2,S:1685,N,BR:LOWER:02:1,B,BR:LOWER:02:2,N,BR:LOWER:02:3,B,A:LOWER:-1:-9,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:03,LOWER,3,S:1687,N,BR:LOWER:03:1,B,BR:LOWER:03:2,N,BR:LOWER:03:3,B,A:LOWER:-4:-8,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:04,LOWER,4,S:1689,N,BR:LOWER:04:1,B,BR:LOWER:04:2,N,BR:LOWER:04:3,B,A:LOWER:-7:-7,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:05,LOWER,5,S:1691,N,BR:LOWER:05:1,B,BR:LOWER:05:2,N,BR:LOWER:05:3,B,A:LOWER:-10:-6,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:06,LOWER,6,S:1693,N,BR:LOWER:06:1,B,BR:LOWER:06:2,N,BR:LOWER:06:3,B,A:LOWER:-13:-5,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:07,LOWER,7,S:1695,N,BR:LOWER:07:1,B,BR:LOWER:07:2,N,BR:LOWER:07:3,B,A:LOWER:-13:5,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:08,LOWER,8,S:1697,N,BR:LOWER:08:1,B,BR:LOWER:08:2,N,BR:LOWER:08:3,B,A:LOWER:-10:6,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:09,LOWER,9,S:1699,N,BR:LOWER:09:1,B,BR:LOWER:09:2,N,BR:LOWER:09:3,B,A:LOWER:-7:7,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:10,LOWER,10,S:1701,N,BR:LOWER:10:1,B,BR:LOWER:10:2,N,BR:LOWER:10:3,B,A:LOWER:-4:8,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:11,LOWER,11,S:1703,N,BR:LOWER:11:1,B,BR:LOWER:11:2,N,BR:LOWER:11:3,B,A:LOWER:-1:9,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:12,LOWER,12,S:1705,N,BR:LOWER:12:1,B,BR:LOWER:12:2,N,BR:LOWER:12:3,B,A:LOWER:14:4,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
LOWER:BRIDGE:13,LOWER,13,S:1707,N,BR:LOWER:13:1,B,BR:LOWER:13:2,N,BR:LOWER:13:3,B,A:LOWER:14:2,N,4,0.17709999999999998,0.05,0.3041,1,-1,14,-1,10,14
