gate,pass
LOWER_heavy_graph_is_connected,True
LOWER_heavy_graph_is_bipartite,True
LOWER_has_no_self_edges,True
LOWER_has_no_duplicate_edges,True
LOWER_parent_blueprint_degree_is_two,True
LOWER_added_BN_degree_is_three,False
LOWER_four_cycle_enumerators_agree,True
LOWER_contains_no_triangles,True
LOWER_contains_no_four_member_cycles,False
LOWER_contains_no_five_member_cycles,True
LOWER_contains_no_odd_cycles_up_to_length10,True
LOWER_girth_is_at_least_six,False
LOWER_contains_hexagonal_cycles,True
LOWER_added_BN_nodes_avoid_four_cycles,False
LOWER_parent_collar_edges_avoid_four_cycles,False
UPPER_heavy_graph_is_connected,True
UPPER_heavy_graph_is_bipartite,True
UPPER_has_no_self_edges,True
UPPER_has_no_duplicate_edges,True
UPPER_parent_blueprint_degree_is_two,True
UPPER_added_BN_degree_is_three,False
UPPER_four_cycle_enumerators_agree,True
UPPER_contains_no_triangles,True
UPPER_contains_no_four_member_cycles,False
UPPER_contains_no_five_member_cycles,True
UPPER_contains_no_odd_cycles_up_to_length10,True
UPPER_girth_is_at_least_six,False
UPPER_contains_hexagonal_cycles,True
UPPER_added_BN_nodes_avoid_four_cycles,False
UPPER_parent_collar_edges_avoid_four_cycles,False
Gate3C_blueprint_was_previously_accepted,True
Gate3C_had_no_failed_upstream_gates,True
lower_and_upper_cycle_statistics_are_symmetric,True
