end,source_node,target_node,interface,edge_type,cycles_length3,cycles_length4,cycles_length5,cycles_length6,cycles_length7,cycles_length8,cycles_length9,cycles_length10
LOWER,LOWER:L1:0,LOWER:L2:0,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:0,LOWER:P:46,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:0,LOWER:P:48,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:1,LOWER:L2:1,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:1,LOWER:P:46,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:1,LOWER:P:48,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:10,LOWER:L2:10,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,4
LOWER,LOWER:L1:10,LOWER:P:6,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:10,LOWER:P:8,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:11,LOWER:L2:11,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,4
LOWER,LOWER:L1:11,LOWER:P:6,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:11,LOWER:P:8,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:12,LOWER:L2:12,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:12,LOWER:P:10,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:12,LOWER:P:12,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:13,LOWER:L2:13,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:13,LOWER:P:10,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:13,LOWER:P:12,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:14,LOWER:L2:14,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,8
LOWER,LOWER:L1:14,LOWER:P:14,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,4
LOWER,LOWER:L1:14,LOWER:P:16,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,4
LOWER,LOWER:L1:15,LOWER:L2:15,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,8
LOWER,LOWER:L1:15,LOWER:P:14,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,4
LOWER,LOWER:L1:15,LOWER:P:16,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,4
LOWER,LOWER:L1:16,LOWER:L2:16,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:16,LOWER:P:18,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:16,LOWER:P:20,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:17,LOWER:L2:17,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:17,LOWER:P:18,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:17,LOWER:P:20,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:18,LOWER:L2:18,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:18,LOWER:P:22,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:18,LOWER:P:24,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:19,LOWER:L2:19,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:19,LOWER:P:22,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:19,LOWER:P:24,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:2,LOWER:L2:2,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:2,LOWER:P:50,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:2,LOWER:P:52,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
LOWER,LOWER:L1:20,LOWER:L2:20,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:20,LOWER:P:26,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:20,LOWER:P:28,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:21,LOWER:L2:21,L1_TO_L2,COLLAR_BN,0,0,0,4,0,4,0,0
LOWER,LOWER:L1:21,LOWER:P:26,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:21,LOWER:P:28,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,2,0,0
LOWER,LOWER:L1:22,LOWER:L2:22,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,4
LOWER,LOWER:L1:22,LOWER:P:30,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:22,LOWER:P:32,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:23,LOWER:L2:23,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,4
LOWER,LOWER:L1:23,LOWER:P:30,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:23,LOWER:P:32,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,2
LOWER,LOWER:L1:24,LOWER:L2:24,L1_TO_L2,COLLAR_BN,0,0,0,4,0,0,0,0
LOWER,LOWER:L1:24,LOWER:P:34,PARENT_TO_L1,PARENT_TO_COLLAR,0,1,0,2,0,0,0,0
