lower_node,upper_node,lower_element,upper_element,element_relation,node_type,pair_method,circumferential_index
A:LOWER:-10:-2,A:UPPER:-10:-2,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-10:-4,A:UPPER:-10:-4,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-10:-6,A:UPPER:-10:-6,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-10:0,A:UPPER:-10:0,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-10:2,A:UPPER:-10:2,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-10:4,A:UPPER:-10:4,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-10:6,A:UPPER:-10:6,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-11:-1,A:UPPER:-11:-1,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-11:-3,A:UPPER:-11:-3,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-11:-5,A:UPPER:-11:-5,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-11:1,A:UPPER:-11:1,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-11:3,A:UPPER:-11:3,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-11:5,A:UPPER:-11:5,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-13:-1,A:UPPER:-13:-1,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-13:-3,A:UPPER:-13:-3,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-13:-5,A:UPPER:-13:-5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-13:1,A:UPPER:-13:1,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-13:3,A:UPPER:-13:3,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-13:5,A:UPPER:-13:5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-14:-2,A:UPPER:-14:-2,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-14:-4,A:UPPER:-14:-4,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-14:0,A:UPPER:-14:0,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-14:2,A:UPPER:-14:2,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-14:4,A:UPPER:-14:4,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-1:-5,A:UPPER:-1:-5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-1:-7,A:UPPER:-1:-7,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-1:-9,A:UPPER:-1:-9,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-1:5,A:UPPER:-1:5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-1:7,A:UPPER:-1:7,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-1:9,A:UPPER:-1:9,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-2:-4,A:UPPER:-2:-4,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-2:-6,A:UPPER:-2:-6,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-2:-8,A:UPPER:-2:-8,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-2:4,A:UPPER:-2:4,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-2:6,A:UPPER:-2:6,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-2:8,A:UPPER:-2:8,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-4:-4,A:UPPER:-4:-4,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-4:-6,A:UPPER:-4:-6,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-4:-8,A:UPPER:-4:-8,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-4:4,A:UPPER:-4:4,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-4:6,A:UPPER:-4:6,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-4:8,A:UPPER:-4:8,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-5:-3,A:UPPER:-5:-3,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-5:-5,A:UPPER:-5:-5,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-5:-7,A:UPPER:-5:-7,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-5:3,A:UPPER:-5:3,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-5:5,A:UPPER:-5:5,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-5:7,A:UPPER:-5:7,B,N,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-7:-1,A:UPPER:-7:-1,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-7:-3,A:UPPER:-7:-3,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-7:-5,A:UPPER:-7:-5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-7:-7,A:UPPER:-7:-7,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-7:1,A:UPPER:-7:1,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INNER_BOUNDARY,PREVIOUS_VALID_PAIR,
A:LOWER:-7:3,A:UPPER:-7:3,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-7:5,A:UPPER:-7:5,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_INTERIOR,PREVIOUS_VALID_PAIR,
A:LOWER:-7:7,A:UPPER:-7:7,N,B,B_N_SUBLATTICE_SWAP,ANNULUS_OUTER_BOUNDARY,PREVIOUS_VALID_PAIR,
