lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_method
H4:LOWER:0000:0,H4:UPPER:0027:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-10:-6,A:UPPER:-10:-6,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0001:0,H4:UPPER:0028:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-10:6,A:UPPER:-10:6,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0002:0,H4:UPPER:0029:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-13:-5,A:UPPER:-13:-5,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0003:0,H4:UPPER:0030:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-13:5,A:UPPER:-13:5,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0004:0,H4:UPPER:0031:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-1:-9,A:UPPER:-1:-9,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0005:0,H4:UPPER:0032:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-1:9,A:UPPER:-1:9,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0006:0,H4:UPPER:0033:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:-4,A:UPPER:-2:-4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0007:0,H4:UPPER:0034:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:4,A:UPPER:-2:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0008:0,H4:UPPER:0035:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-4:-8,A:UPPER:-4:-8,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0009:0,H4:UPPER:0036:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-4:8,A:UPPER:-4:8,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0010:0,H4:UPPER:0037:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:-3,A:UPPER:-5:-3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0011:0,H4:UPPER:0038:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:3,A:UPPER:-5:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0012:0,H4:UPPER:0039:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:-1,A:UPPER:-7:-1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0013:0,H4:UPPER:0040:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-7:-7,A:UPPER:-7:-7,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0014:0,H4:UPPER:0041:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:1,A:UPPER:-7:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0015:0,H4:UPPER:0042:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-7:7,A:UPPER:-7:7,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0016:0,H4:UPPER:0043:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:-2,A:UPPER:14:-2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0017:0,H4:UPPER:0044:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:-4,A:UPPER:14:-4,ATTACHED_HEAVY_PAIR_AND_ROLE
