subset,transform_type,pair_count,determinant,RMSD_nm,maximum_deviation_nm
ALL_END_HEAVY,PROPER_ROTATION_ONLY,216,0.9999999999999997,0.30092992273403824,1.0423879230115642
ALL_END_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,216,-1.0,0.2662866243846794,1.0411791931674403
RIGID_RIM_HEAVY,PROPER_ROTATION_ONLY,156,0.9999999999999992,0.229027054969291,0.4488905673312806
RIGID_RIM_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,156,-0.9999999999999993,0.18159198442459035,0.3455694579138379
ANNULUS_HEAVY,PROPER_ROTATION_ONLY,126,1.0,5.688217534142982e-15,6.466036496704424e-15
ANNULUS_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,126,-1.0,2.666883902358571e-15,4.070144838902081e-15
INNER_BOUNDARY_HEAVY,PROPER_ROTATION_ONLY,12,1.0,1.905793032953756e-15,2.0350724194510405e-15
INNER_BOUNDARY_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,12,-1.0,1.905793032953756e-15,2.0350724194510405e-15
SEED_HEAVY,PROPER_ROTATION_ONLY,30,1.0000000000000002,0.0006858855589371435,0.0012426212741889853
SEED_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,30,-1.0000000000000007,0.0006580852468392093,0.0011211912857006724
FOUR_ATOM_BRIDGE_HEAVY,PROPER_ROTATION_ONLY,60,1.0,0.3190158074629948,0.8318395985537149
FOUR_ATOM_BRIDGE_HEAVY,ORTHOGONAL_REFLECTION_ALLOWED,60,-1.0,0.29209672299115197,0.83196160471242
