requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
BOND,BOND_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,90,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0005,B|ANNULUS_INNER_BOUNDARY -- H|ANNULUS_INNER_PASSIVANT_H,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0006,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0007,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0008,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,180,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0009,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,48,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0010,B|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0011,B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0012,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,48,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0013,B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0014,B|HEXAGONAL_EDGE_COMPLETION_SEED -- H|SEED_PASSIVANT_H,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0015,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0016,B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0017,B|PARENT_HBN -- N|HEXAGONAL_EDGE_COMPLETION_SEED,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0018,B|PARENT_HBN -- N|PARENT_HBN,2460,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0019,H|ANNULUS_INNER_PASSIVANT_H -- N|ANNULUS_INNER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0020,H|ANNULUS_OUTER_PASSIVANT_H -- N|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0021,H|BRIDGE_PASSIVANT_H -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
BOND,BOND_0022,H|SEED_PASSIVANT_H -- N|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,90,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0005,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0006,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0007,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0008,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0009,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0010,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY -- B|ANNULUS_INTERIOR,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0011,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY -- H|ANNULUS_INNER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0012,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR,138,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0013,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY,48,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0014,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR,18,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0015,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0016,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
