input_name,relative_path,row_count,column_count,columns,first_row_preview
gate29_summary,runs/phase1A/day024_chemical_end_rim_design/29_r2_chemical_realizability_and_parameterization_scope/r2_chemical_realizability_and_parameterization_scope_summary.csv,1,30,decision | total_nodes | heavy_nodes | H_nodes | B_nodes | N_nodes | graph_edges | B_N_bonds | B_H_bonds | N_H_bonds | maximum_BN_deviation_nm | maximum_BH_deviation_nm | maximum_NH_deviation_nm | heavy_valence_failure_count | H_valence_failure_count | nonheteropolar_heavy_edge_count | invalid_H_edge_count | unique_local_environment_count | parameterization_critical_center_count | static_chemical_graph_realizable | existing_force_field_coverage_established | molecular_topology_generation_authorized | formal_charge_assignment_authorized | force_field_parameterization_authorized | energy_minimization_authorized | MD_authorized | QM_authorized | force_field_and_QM_reference_audit_authorized | failed_gates | required_next_step,decision=R2_STATIC_CHEMICAL_REALIZABILITY_VALIDATED_PARAMETERIZATION_SCOPE_DEFINED | total_nodes=2316 | heavy_nodes=2112 | H_nodes=204 | B_nodes=1056 | N_nodes=1056
gate29_environment_inventory,runs/phase1A/day024_chemical_end_rim_design/29_r2_chemical_realizability_and_parameterization_scope/r2_local_chemical_environment_inventory.csv,40,8,environment_id | count | example_node | element | node_type | region | total_degree | environment_signature,environment_id=ENV_0001 | count=15 | example_node=BR4:UPPER:00:4 | element=B | node_type=ALTERNATING_BN_FOUR_ATOM_BRIDGE | region=FOUR_ATOM_BRIDGE
gate29_assignments,runs/phase1A/day024_chemical_end_rim_design/29_r2_chemical_realizability_and_parameterization_scope/r2_node_chemical_environment_assignments.csv,2316,10,node_id | element | node_type | end | region | total_degree | B_neighbors | N_neighbors | H_neighbors | environment_signature,node_id=A:LOWER:-10:-2 | element=N | node_type=ANNULUS_INTERIOR | end=LOWER | region=ANNULUS_INTERIOR | total_degree=3
gate29_critical_centers,runs/phase1A/day024_chemical_end_rim_design/29_r2_chemical_realizability_and_parameterization_scope/r2_parameterization_critical_centers.csv,468,8,node_id | element | node_type | end | region | reasons | parameterization_status | reference_data_required,node_id=A:LOWER:-10:-6 | element=N | node_type=ANNULUS_OUTER_BOUNDARY | end=LOWER | region=ANNULUS_EDGE | reasons=EDGE_OR_RIM_CENTER
gate29_scope,runs/phase1A/day024_chemical_end_rim_design/29_r2_chemical_realizability_and_parameterization_scope/r2_parameterization_scope.csv,5,7,scope_region | node_count | chemical_description | expected_parameterization_route | novel_parameterization_expected | QM_reference_priority | force_field_assignment_authorized,scope_region=PARENT_HBN_BULK_LIKE | node_count=1620 | chemical_description=Three-coordinate curved h-BN parent scaffold away from reconstructed ends. | expected_parameterization_route=Audit transferable bulk/curved h-BN bonded and nonbonded parameters against p... | novel_parameterization_expected=POSSIBLY_NO_FOR_BULK_INTERIOR | QM_reference_priority=MEDIUM
gate30_summary,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_force_field_coverage_preflight_summary.csv,1,19,decision | required_bond_term_classes | required_angle_term_classes | required_torsion_term_classes | three_coordinate_heavy_improper_centers | local_force_field_files_found | local_BN_H_text_hits | unique_local_chemical_environments | parameterization_critical_centers | preliminary_QM_fragment_classes | force_field_coverage_established | topology_generation_authorized | formal_charge_assignment_authorized | force_field_parameterization_authorized | energy_minimization_authorized | MD_authorized | QM_calculation_authorized | literature_and_force_field_source_review_required | required_next_step,decision=R2_FORCE_FIELD_COVERAGE_PREFLIGHT_COMPLETED | required_bond_term_classes=22 | required_angle_term_classes=50 | required_torsion_term_classes=76 | three_coordinate_heavy_improper_centers=2112 | local_force_field_files_found=65
gate30_bonds,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_required_bond_terms.csv,22,10,bond_term_id | atom_type_1 | atom_type_2 | count | minimum_nm | mean_nm | maximum_nm | example_node_1 | example_node_2 | coverage_status,bond_term_id=BOND_0001 | atom_type_1=B|ALTERNATING_BN_FOUR_ATOM_BRIDGE | atom_type_2=H|BRIDGE_PASSIVANT_H | count=60 | minimum_nm=0.1189999999999991 | mean_nm=0.11900000000000004
gate30_angles,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_required_angle_terms.csv,50,12,angle_term_id | atom_type_1 | center_type | atom_type_3 | count | minimum_deg | mean_deg | maximum_deg | example_node_1 | example_center | example_node_3 | coverage_status,angle_term_id=ANGLE_0001 | atom_type_1=B|ALTERNATING_BN_FOUR_ATOM_BRIDGE | center_type=N|ALTERNATING_BN_FOUR_ATOM_BRIDGE | atom_type_3=B|ALTERNATING_BN_FOUR_ATOM_BRIDGE | count=30 | minimum_deg=106.98138966014777
gate30_torsions,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_required_torsion_terms.csv,76,14,torsion_term_id | atom_type_1 | atom_type_2 | atom_type_3 | atom_type_4 | count | minimum_deg | mean_deg | maximum_deg | example_node_1 | example_node_2 | example_node_3 | example_node_4 | coverage_status,torsion_term_id=TORSION_0001 | atom_type_1=B|ALTERNATING_BN_FOUR_ATOM_BRIDGE | atom_type_2=N|ALTERNATING_BN_FOUR_ATOM_BRIDGE | atom_type_3=B|ALTERNATING_BN_FOUR_ATOM_BRIDGE | atom_type_4=H|BRIDGE_PASSIVANT_H | count=60
gate30_impropers,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_required_improper_centers.csv,2112,9,center_node | center_element | center_type | region | neighbor_1 | neighbor_2 | neighbor_3 | neighbor_elements | improper_or_planarity_term_status,center_node=A:LOWER:-10:-2 | center_element=N | center_type=ANNULUS_INTERIOR | region=ANNULUS_INTERIOR | neighbor_1=A:LOWER:-11:-1 | neighbor_2=A:LOWER:-11:-3
gate30_qm_fragments,runs/phase1A/day024_chemical_end_rim_design/30_r2_force_field_coverage_preflight/r2_preliminary_qm_fragment_classes.csv,7,7,fragment_class | priority | target_environment | purpose | minimum_content | geometry_source | calculation_authorized,"fragment_class=QM_F01_PARENT_BULK_HBN | priority=MEDIUM | target_environment=PARENT_HBN_BULK_LIKE | purpose=Reference B-N equilibrium geometry, curvature response, charges and nonbonded... | minimum_content=Hydrogen-terminated h-BN patch or short nanotube segment. | geometry_source=Extract representative parent-scaffold environment."
gate37_summary,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/lele_2022_si_parameter_file_audit_summary.csv,1,28,decision | article_pages | SI_pages | SI_extracted_characters | SI_evidence_rows | SI_parameter_table_hits | SI_water_hits | parameter_file_lines | general_parameters | atoms | bonds | off_diagonal_terms | angles | torsions | hydrogen_bonds | element_order | BNH_relevant_parameter_records | BNH_records_by_section | R2_force_field_coverage_established | parameter_adoption_authorized | topology_generation_authorized | formal_charge_assignment_authorized | force_field_parameterization_authorized | energy_minimization_authorized | MD_authorized | QM_calculation_authorized | failed_gates | required_next_step,decision=R2_LELE_2022_SI_AND_REAXFF_PARAMETER_FILE_AUDITED_NOT_AUTHORIZED_FOR_R2 | article_pages=15 | SI_pages=2 | SI_extracted_characters=2365 | SI_evidence_rows=14 | SI_parameter_table_hits=0
gate37_bnh_terms,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/lele_2022_reaxff_bnh_term_inventory.csv,166,13,line_number | section | atom_indices | elements | contains_H | contains_N | contains_B | contains_B_and_N | contains_B_and_H | contains_N_and_H | numeric_token_count | text | R2_transferability_established,line_number=78 | section=BONDS | atom_indices=1 2 | elements=C-H | contains_H=True | contains_N=False
gate37_domain_assessment,runs/phase1A/day024_chemical_end_rim_design/37_r2_lele_si_parameter_file_audit/lele_2022_R2_domain_assessment.csv,8,4,domain | evidence | R2_coverage | interpretation,"domain=B_N_H_REACTIVE_ELEMENTAL_DOMAIN | evidence=CONFIRMED | R2_coverage=NOT_ESTABLISHED | interpretation=The parameter file contains B, N and H, but elemental presence does not estab..."
