time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
20.0,299.668579101562,-767635.25,-643819.75,30.687618255615
20.05,299.52734375,-768311.0625,-644553.9375,30.503356933594
20.1,300.802185058594,-768949.5,-644665.625,38.107070922852
20.15,298.268859863281,-768672.5,-645435.3125,28.231159210205
20.2,300.410583496094,-769734.5625,-645612.5,34.112197875977
20.25,298.908874511719,-769686.8125,-646185.25,18.184490203857
20.3,299.986877441406,-769171.8125,-645224.8125,23.53231048584
20.35,300.296844482422,-769303.125,-645228.0625,32.270347595215
20.4,298.078186035156,-768321.0625,-645162.6875,23.54314994812
20.45,299.540191650391,-769112.875,-645350.4375,28.022899627686
20.5,300.050445556641,-768736.25,-644763.0,31.983173370361
20.55,302.025604248047,-769632.625,-644843.25,18.027395248413
20.6,301.171508789062,-768899.6875,-644463.25,24.724699020386
20.65,301.587951660156,-769484.625,-644876.125,43.699493408203
20.7,300.010406494141,-768741.1875,-644784.4375,28.398284912109
20.75,302.019592285156,-769173.75,-644386.875,23.726949691772
20.8,300.458587646484,-768988.0,-644846.125,27.265954971313
20.85,300.704345703125,-769115.8125,-644872.375,20.812799453735
20.9,300.117950439453,-768833.9375,-644832.75,21.178846359253
20.95,300.273956298828,-769277.5625,-645211.9375,24.712909698486
21.0,298.889038085938,-769134.3125,-645640.875,27.32671546936
21.05,298.39892578125,-768114.1875,-644823.3125,29.471965789795
21.1,300.253265380859,-769982.8125,-645925.75,25.621509552002
21.15,299.807281494141,-770081.125,-646208.3125,20.484834671021
21.2,299.283142089844,-769782.75,-646126.5,20.546709060669
21.25,299.757049560547,-770538.9375,-646686.875,17.335687637329
21.3,299.481567382812,-770118.6875,-646380.5,22.310554504395
21.35,297.769622802734,-769526.25,-646495.375,18.763175964355
21.4,300.260955810547,-771470.0625,-647409.8125,17.35237121582
21.45,299.123352050781,-770812.6875,-647222.5,12.230995178223
21.5,299.398040771484,-769861.3125,-646157.625,16.473875045776
21.55,298.668273925781,-769917.3125,-646515.125,20.323522567749
21.6,297.632659912109,-769315.625,-646341.3125,23.989200592041
21.65,299.608093261719,-769895.625,-646105.125,21.43754196167
21.7,298.656890869141,-769337.875,-645940.375,22.779315948486
21.75,299.387969970703,-769186.25,-645486.6875,24.404859542847
21.8,301.265106201172,-769502.0625,-645026.9375,21.875791549683
21.85,302.083251953125,-769526.625,-644713.4375,19.23681640625
21.9,302.783477783203,-769078.0625,-643975.5625,18.982900619507
21.95,300.39501953125,-768540.0625,-644424.4375,16.287117004395
22.0,301.9609375,-768551.0625,-643788.4375,15.665023803711
22.05,301.161468505859,-769337.4375,-644905.125,16.729465484619
22.1,303.305297851562,-769466.875,-644148.75,26.978527069092
22.15,301.876403808594,-768768.0,-644040.3125,33.357540130615
22.2,300.228820800781,-768828.5,-644781.5,33.431774139404
22.25,300.498992919922,-768696.1875,-644537.625,22.401660919189
22.3,300.522827148438,-769190.5,-645022.0625,22.163316726685
22.35,300.553619384766,-769055.5,-644874.3125,18.164608001709
22.4,299.796356201172,-768771.75,-644903.5,17.439321517944
22.45,300.670288085938,-769477.125,-645247.75,14.322770118713
22.5,299.912506103516,-768766.9375,-644850.6875,24.857269287109
22.55,299.688995361328,-768964.125,-645140.1875,21.467546463013
22.6,300.748229980469,-769068.0625,-644806.5,18.223033905029
22.65,302.298370361328,-769332.6875,-644430.625,15.933959960938
22.7,301.371368408203,-769256.25,-644737.1875,22.41431427002
22.75,300.314758300781,-768514.9375,-644432.4375,16.223949432373
22.8,300.310211181641,-769287.5625,-645207.0,18.302780151367
22.85,299.881774902344,-769350.1875,-645446.625,19.862129211426
22.9,300.240142822266,-769459.125,-645407.5,15.239599227905
22.95,298.093200683594,-768437.3125,-645272.75,18.215604782104
23.0,299.078399658203,-768616.9375,-645045.3125,17.349864959717
23.05,301.621856689453,-769317.25,-644694.6875,16.584314346313
23.1,300.324737548828,-767802.625,-643716.0,18.418046951294
23.15,300.897247314453,-768475.8125,-644152.6875,13.451312065125
23.2,298.958709716797,-767456.8125,-643934.625,12.104232788086
23.25,300.947784423828,-767511.5,-643167.5,14.161609649658
23.3,300.634307861328,-767731.3125,-643516.8125,17.964725494385
23.35,300.266723632812,-766982.5625,-642919.9375,20.010131835938
23.4,299.694061279297,-767501.4375,-643675.4375,27.681289672852
23.45,301.664916992188,-768301.8125,-643661.5,24.233688354492
23.5,301.548278808594,-767766.625,-643174.5,23.053470611572
23.55,299.895324707031,-766829.6875,-642920.5,30.708602905273
23.6,300.573516845703,-767122.625,-642933.25,26.731378555298
23.65,298.849182128906,-767599.125,-644122.1875,22.873710632324
23.7,301.105560302734,-768750.8125,-644341.625,27.609703063965
23.75,302.056762695312,-769076.0625,-644273.8125,21.230306625366
23.8,299.460296630859,-768068.5,-644339.0625,21.966865539551
23.85,299.078216552734,-767953.1875,-644381.625,33.507720947266
23.9,299.310485839844,-767340.0625,-643672.5,39.551856994629
23.95,300.50634765625,-768134.625,-643973.0,34.409912109375
24.0,299.493560791016,-767571.3125,-643828.125,30.926063537598
24.05,300.816528320312,-767741.875,-643452.0625,37.095764160156
24.1,301.638122558594,-768347.375,-643718.125,32.004016876221
24.15,301.591400146484,-768086.9375,-643477.0,29.03768157959
24.2,299.622955322266,-767894.375,-644097.75,31.995206832886
24.25,302.376159667969,-767555.0,-642620.8125,26.406713485718
24.3,301.762145996094,-768567.125,-643886.625,25.255439758301
24.35,300.051574707031,-768328.1875,-644354.4375,25.851722717285
24.4,298.560241699219,-767678.1875,-644320.625,23.069900512695
24.45,301.028411865234,-768464.3125,-644087.0,29.366380691528
24.5,301.240631103516,-768682.9375,-644217.9375,28.841033935547
24.55,297.739898681641,-768235.0,-645216.375,31.061256408691
24.6,298.492706298828,-768365.5,-645035.875,27.255876541138
24.65,298.234558105469,-768902.625,-645679.625,21.904514312744
24.7,299.705413818359,-769455.9375,-645625.25,24.118343353271
24.75,297.765380859375,-769045.0625,-646015.9375,21.54181098938
24.8,297.685516357422,-769115.3125,-646119.1875,23.001594543457
24.85,299.974243164062,-769123.0,-645181.25,19.502552032471
24.9,301.276153564453,-769600.125,-645120.4375,22.89405632019
24.95,298.971252441406,-769582.75,-646055.375,26.07928276062
25.0,298.400024414062,-769217.625,-645926.25,27.665033340454
25.05,299.544799804688,-769121.5,-645357.125,29.289447784424
25.1,300.447387695312,-768848.5625,-644711.3125,24.846303939819
25.15,299.827209472656,-769412.75,-645531.75,24.043617248535
25.2,299.557495117188,-768693.6875,-644924.125,32.993659973145
25.25,299.940368652344,-769079.625,-645151.875,24.699892044067
25.3,301.267913818359,-769051.0,-644574.6875,22.478071212769
25.35,301.713195800781,-768709.875,-644049.625,16.920879364014
25.4,300.474060058594,-768924.9375,-644776.625,21.707897186279
25.45,299.313415527344,-768863.4375,-645194.6875,18.047119140625
25.5,298.728820800781,-768781.4375,-645354.25,16.991058349609
25.55,299.775573730469,-768786.25,-644926.5625,20.439367294312
25.6,296.014038085938,-768377.875,-646072.375,20.495559692383
25.65,298.541198730469,-769436.1875,-646086.5,19.054359436035
25.7,300.520050048828,-770233.4375,-646066.125,16.307731628418
25.75,298.993530273438,-769105.75,-645569.1875,18.175045013428
25.8,298.340484619141,-768845.5625,-645578.8125,15.361654281616
25.85,299.456481933594,-769110.75,-645382.875,16.011737823486
25.9,299.827178955078,-769041.625,-645160.625,12.686754226685
25.95,298.728698730469,-768940.125,-645513.0,14.816477775574
26.0,300.439239501953,-768791.0,-644657.125,20.063869476318
26.05,299.842895507812,-768222.25,-644334.75,15.330270767212
26.1,299.577911376953,-767831.5,-644053.5,12.481742858887
26.15,300.043151855469,-768280.3125,-644310.0625,13.80083656311
26.2,299.209259033203,-768081.875,-644456.1875,20.1135597229
26.25,301.471893310547,-768522.0625,-643961.5,17.027742385864
26.3,300.644500732422,-767941.875,-643723.125,13.779636383057
26.35,301.036712646484,-767225.75,-642845.0,20.489194869995
26.4,302.604248046875,-767942.0625,-642913.625,23.82698059082
26.45,301.48828125,-767106.6875,-642539.375,18.228851318359
26.5,301.812683105469,-767188.875,-642487.5,21.166147232056
26.55,302.243438720703,-767506.875,-642627.5,27.823654174805
26.6,299.509460449219,-766725.625,-642975.875,39.687362670898
26.65,301.264556884766,-767957.5,-643482.625,25.740835189819
26.7,300.945556640625,-767347.0,-643003.875,29.276912689209
26.75,302.351501464844,-768442.125,-643518.125,37.930713653564
26.8,300.424102783203,-768064.5625,-643936.875,40.093154907227
26.85,300.989959716797,-768122.625,-643761.1875,33.85578918457
26.9,302.243103027344,-768812.125,-643932.875,23.476305007935
26.95,298.571624755859,-767900.0625,-644537.8125,20.3171043396
27.0,299.238830566406,-768144.5625,-644506.625,17.870761871338
27.05,301.806762695312,-768177.1875,-643478.25,17.666652679443
27.1,298.328308105469,-768157.5625,-644895.8125,14.429973602295
27.15,300.026550292969,-769001.6875,-645038.3125,16.298711776733
27.2,299.885681152344,-768302.5625,-644397.375,20.142839431763
27.25,302.020660400391,-768705.5,-643918.1875,25.511615753174
27.3,300.008056640625,-768961.4375,-645005.6875,34.102519989014
27.35,299.932983398438,-769391.125,-645466.375,31.163593292236
27.4,298.0078125,-769557.375,-646428.0625,24.604476928711
27.45,300.497467041016,-770378.4375,-646220.5,16.697589874268
27.5,297.392120361328,-769581.625,-646706.6875,24.562139511108
27.55,297.820861816406,-769845.25,-646793.1875,31.304454803467
27.6,298.889282226562,-769202.5,-645709.0,29.496025085449
27.65,298.943328857422,-769473.9375,-645958.125,25.028503417969
27.7,301.753631591797,-770947.9375,-646270.9375,16.812547683716
27.75,297.103637695312,-769100.375,-646344.625,15.663911819458
27.8,300.051239013672,-769569.0,-645595.375,14.628156661987
27.85,299.391510009766,-769481.0,-645780.0,27.508274078369
27.9,297.720062255859,-768571.375,-645561.0,17.349617004395
27.95,295.825012207031,-768142.875,-645915.4375,18.88228225708
28.0,299.619110107422,-769269.3125,-645474.25,20.069135665894
