time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
0.0,300.364715576172,-904577.625,-780474.5,14.02561378479
0.05,179.138854980469,-835128.5625,-761112.875,17.957515716553
0.1,188.091705322266,-816314.75,-738600.0,25.172218322754
0.15,205.478637695312,-802835.8125,-717937.25,31.03617477417
0.2,228.398483276367,-795593.875,-701225.375,48.648265838623
0.25,247.567993164062,-790465.5,-688176.625,46.948974609375
0.3,257.491821289062,-784682.375,-678293.25,33.281715393066
0.35,265.980895996094,-781082.0,-671185.375,33.75023651123
0.4,275.200988769531,-778224.0,-664517.875,35.040405273438
0.45,278.856964111328,-775187.125,-659970.5,39.444759368896
0.5,282.247314453125,-773030.375,-656412.875,51.111602783203
0.55,287.469665527344,-772020.75,-653245.5625,61.838706970215
0.6,286.524017333984,-769572.125,-651187.625,61.799503326416
0.65,288.741577148438,-767697.875,-648397.125,74.219818115234
0.7,292.066467285156,-766382.4375,-645707.9375,61.147621154785
0.75,291.380126953125,-764722.8125,-644331.875,55.1328125
0.8,294.571594238281,-764601.0,-642891.4375,43.882656097412
0.85,295.435363769531,-764146.1875,-642079.75,41.501884460449
0.9,295.313293457031,-764161.3125,-642145.3125,45.722702026367
0.95,296.709533691406,-764039.875,-641447.0,40.916896820068
1.0,301.293701171875,-764756.8125,-640269.875,32.73970413208
1.05,299.178924560547,-763716.1875,-640103.0,35.185020446777
1.1,298.191497802734,-762425.4375,-639220.25,25.026546478271
1.15,300.327178955078,-762201.6875,-638114.0625,34.926368713379
1.2,300.809448242188,-762211.6875,-637924.8125,43.583698272705
1.25,299.847320556641,-761720.5,-637831.125,43.34204864502
1.3,300.756958007812,-761928.1875,-637663.0,34.463558197021
1.35,299.729553222656,-761803.25,-637962.5625,34.161228179932
1.4,300.749755859375,-761301.6875,-637039.5,31.619281768799
1.45,300.311401367188,-761459.6875,-637378.625,38.396408081055
1.5,300.990753173828,-761887.0625,-637525.3125,47.741065979004
1.55,301.768737792969,-762262.125,-637578.875,35.563442230225
1.6,300.337951660156,-762744.0,-638651.9375,34.151512145996
1.65,300.779144287109,-762387.1875,-638112.875,27.354118347168
1.7,300.526000976562,-761814.125,-637644.375,23.942276000977
1.75,300.243835449219,-762245.6875,-638192.5,27.895690917969
1.8,303.742950439453,-763118.5625,-637619.625,31.233936309814
1.85,300.952209472656,-762868.625,-638522.75,28.294717788696
1.9,298.534271240234,-762349.5625,-639002.75,35.100910186768
1.95,302.474914550781,-763442.0625,-638467.0625,36.653587341309
2.0,300.644592285156,-762638.5,-638419.75,41.490253448486
2.05,301.609283447266,-763121.0,-638503.6875,41.977516174316
2.1,302.625396728516,-763645.1875,-638608.0,34.501438140869
2.15,301.158782958984,-763337.4375,-638906.25,30.574480056763
2.2,301.211822509766,-763183.1875,-638730.0625,27.919239044189
2.25,301.031005859375,-764172.0,-639793.5625,39.49925994873
