end,edge_id,parent_node_0based,added_node_0based,parent_element,added_element,heteropolar_BN_edge,parent_pair_shortest_path,closed_cycle_length,length4_parent_path_multiplicity,formal_bond_order_assigned,coordinates_assigned
LOWER,LOWER:HEX_EDGE:0:1,46,1680,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:0:2,48,1680,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:1:1,48,1681,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:1:2,50,1681,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:2:1,50,1682,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:2:2,52,1682,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:3:1,52,1683,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:3:2,54,1683,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:4:1,54,1684,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:4:2,56,1684,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:5:1,56,1685,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:5:2,58,1685,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:6:1,0,1686,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:6:2,58,1686,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:7:1,0,1687,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:7:2,2,1687,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:8:1,2,1688,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:8:2,4,1688,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:9:1,4,1689,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:9:2,6,1689,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:10:1,6,1690,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:10:2,8,1690,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:11:1,8,1691,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:11:2,10,1691,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:12:1,10,1692,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:12:2,12,1692,B,N,True,4,6,1,False,False
LOWER,LOWER:HEX_EDGE:13:1,12,1693,B,N,True,4,6,1,False,False
