lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0000:0,H4:UPPER:0027:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-10:-6,A:UPPER:-10:-6,UNIQUE,0.17979797721759977,4.419301635055379,4.404044519011096,1.844383016687184,4.003838347864413,4.666357352065476,8.38030950408844,4.16616113250498,4.5898620717574685,8.369035716407634,
H4:LOWER:0001:0,H4:UPPER:0028:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-10:6,A:UPPER:-10:6,UNIQUE,0.26450218971553774,2.975193841044294,4.391181899616427,1.8410256759669625,2.6764196227919848,3.901336127593494,8.377013105196474,2.794932531265401,4.136882158479403,8.356176449433601,
H4:LOWER:0002:0,H4:UPPER:0029:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-13:-5,A:UPPER:-13:-5,UNIQUE,0.37193022994638264,4.373434664093414,4.605851626183284,1.6681226288755497,3.729604224259977,4.763372105845199,8.359871830958246,4.061887013809686,4.7687138174775825,8.192863717880261,
H4:LOWER:0003:0,H4:UPPER:0030:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-13:5,A:UPPER:-13:5,UNIQUE,0.3395058567102789,3.117931655474612,4.6058467134228716,1.6681226288755497,2.699079382770237,4.16416125410834,8.38030950408844,2.8663167313655142,4.385527684918119,8.184624044010434,
H4:LOWER:0004:0,H4:UPPER:0031:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-1:-9,A:UPPER:-1:-9,UNIQUE,0.28993682813980753,4.796902860223797,3.7364861680022052,1.6597292770749956,4.599440259149152,4.2611674987374215,8.359871830958246,4.730535873551942,4.0701095978576145,8.18558992510589,
H4:LOWER:0005:0,H4:UPPER:0032:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-1:9,A:UPPER:-1:9,UNIQUE,0.26552993758207544,2.6157338556873473,3.736006748325365,1.6681226288755497,2.694763243448775,3.2341683162020156,8.379650224310046,2.6535833709848973,3.4039248400347812,8.179667503875466,
H4:LOWER:0006:0,H4:UPPER:0033:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:-4,A:UPPER:-2:-4,UNIQUE,0.08726449272413168,4.211962745850097,3.8548623453437707,1.632416257684414,4.083187016257431,4.0710092701217295,8.169700085805891,4.1375418434996725,4.0044166204034735,8.154664679281034,
H4:LOWER:0007:0,H4:UPPER:0034:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-2:4,A:UPPER:-2:4,UNIQUE,0.12912610960546053,3.1826374896326306,3.8416943863512776,1.6317569779060206,3.1892168489275066,3.5534610260694,8.168580972232485,3.1613741105588007,3.677727898686448,8.147224978414553,
H4:LOWER:0008:0,H4:UPPER:0035:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-4:-8,A:UPPER:-4:-8,UNIQUE,0.2960603453278835,4.671659370300047,3.996631688421191,1.6541337092079598,4.397668671575848,4.446292828946044,8.384265182758801,4.531901087383416,4.279637879317328,8.179669204336985,
H4:LOWER:0009:0,H4:UPPER:0036:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-4:8,A:UPPER:-4:8,UNIQUE,0.2744391708358646,2.722919582471458,4.001403629832439,1.6546932659946634,2.658351114595481,3.5039902462906722,8.369101747855753,2.6747244077664334,3.689421577840026,8.167448592562689,
H4:LOWER:0010:0,H4:UPPER:0037:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:-3,A:UPPER:-5:-3,UNIQUE,0.12570051599841497,4.08712867281249,4.076913747238583,1.8671198587924471,3.8356041154564173,4.224473196022707,8.365544961152152,3.9495622297557222,4.176875361182592,8.388967472250398,
H4:LOWER:0011:0,H4:UPPER:0038:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-5:3,A:UPPER:-5:3,UNIQUE,0.10290672077324338,3.2961484031477344,4.05542488632741,1.8664605790140538,3.1691065300735395,3.819202537389095,8.36666407472556,3.202901826635658,3.915006067457095,8.383076104980546,
H4:LOWER:0012:0,H4:UPPER:0039:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:-1,A:UPPER:-7:-1,UNIQUE,0.12573551113132644,3.8463013578254786,4.201765777000019,1.6518954820611453,3.559326532628579,4.231606301594713,8.153517260321127,3.6833431638817697,4.223091007301443,8.172405979048586,
H4:LOWER:0013:0,H4:UPPER:0040:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-7:-7,A:UPPER:-7:-7,UNIQUE,0.22018214880676643,4.622264739496101,4.26996833663512,1.6882666731968794,4.1892312763507,4.5383309660443505,8.156154379434701,4.401243197941406,4.524725188792815,8.213999055784067,
H4:LOWER:0014:0,H4:UPPER:0041:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:-7:1,A:UPPER:-7:1,UNIQUE,0.10452946253435712,3.5829384534198963,4.219291202961559,1.8494190277675164,3.3480481622495213,4.091132094190648,8.384924462537194,3.4260833819562277,4.158646586533512,8.368229962043527,
H4:LOWER:0015:0,H4:UPPER:0042:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-7:7,A:UPPER:-7:7,UNIQUE,0.2870513386722881,2.7481424988330647,4.270747220911954,1.7201614100389846,2.7341149293828066,3.7019990700973615,8.160769337883455,2.6161633926238714,3.953360031840652,8.233594971565877,
H4:LOWER:0016:0,H4:UPPER:0043:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:-2,A:UPPER:14:-2,UNIQUE,0.2584573503899219,3.899860998053032,2.641773631533912,1.6714799695957714,4.384944391788023,2.8623592242110214,8.346026955611986,4.210375167133188,2.753813156770684,8.189363178633304,
H4:LOWER:0017:0,H4:UPPER:0044:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:-4,A:UPPER:14:-4,UNIQUE,0.3137115822594893,4.161901095541553,2.6723025836599446,1.6569314931414776,4.6027410266407935,3.0481855211829503,8.378990944531653,4.450671238850718,2.8629159048250763,8.176593054869137,
