scenario,source_H,rebuilt_H,source_heavy,rebuilt_heavy,source_heavy_element,rebuilt_heavy_element,rebuilt_target_XH_nm,x_nm,y_nm,z_nm
LOWER_DRIVES_UPPER,H4:LOWER:0006:0,H4:UPPER:0033:0,A:LOWER:-2:-4,A:UPPER:-2:-4,B,N,0.101,4.063575385966515,4.088484785263759,8.367783188298967
UPPER_DRIVES_LOWER,H4:UPPER:0033:0,H4:LOWER:0006:0,A:UPPER:-2:-4,A:LOWER:-2:-4,N,B,0.119,4.221679045952875,3.825477603866258,1.8658012992356605
LOWER_DRIVES_UPPER,H4:LOWER:0007:0,H4:UPPER:0034:0,A:LOWER:-2:4,A:UPPER:-2:4,B,N,0.101,3.181002636896756,3.566034626227648,8.36834274508567
UPPER_DRIVES_LOWER,H4:UPPER:0034:0,H4:LOWER:0007:0,A:UPPER:-2:4,A:LOWER:-2:4,N,B,0.119,3.1836119153251703,3.824025647271961,1.8671198587924471
LOWER_DRIVES_UPPER,H4:LOWER:0010:0,H4:UPPER:0037:0,A:LOWER:-5:-3,A:UPPER:-5:-3,B,N,0.101,3.844694607670146,4.217715801282196,8.168580972232485
UPPER_DRIVES_LOWER,H4:UPPER:0037:0,H4:LOWER:0010:0,A:UPPER:-5:-3,A:LOWER:-5:-3,N,B,0.119,4.081833784085256,4.089164015427589,1.6350533767979873
LOWER_DRIVES_UPPER,H4:LOWER:0011:0,H4:UPPER:0038:0,A:LOWER:-5:3,A:UPPER:-5:3,B,N,0.101,3.173737556289946,3.809285206287751,8.169140529019188
UPPER_DRIVES_LOWER,H4:UPPER:0038:0,H4:LOWER:0011:0,A:UPPER:-5:3,A:LOWER:-5:3,N,B,0.119,3.2972653464155677,4.068272386948024,1.6337348172412007
LOWER_DRIVES_UPPER,H4:LOWER:0012:0,H4:UPPER:0039:0,A:LOWER:-7:-1,A:UPPER:-7:-1,N,B,0.119,3.5780108141802693,4.2102975540984655,8.383605902980406
UPPER_DRIVES_LOWER,H4:UPPER:0039:0,H4:LOWER:0012:0,A:UPPER:-7:-1,A:LOWER:-7:-1,B,N,0.101,3.8416104541948535,4.225357352058579,1.847180800620702
LOWER_DRIVES_UPPER,H4:LOWER:0014:0,H4:UPPER:0041:0,A:LOWER:-7:1,A:UPPER:-7:1,N,B,0.119,3.3377138992317272,4.095407812344293,8.150880141207553
UPPER_DRIVES_LOWER,H4:UPPER:0041:0,H4:LOWER:0014:0,A:UPPER:-7:1,A:LOWER:-7:1,B,N,0.101,3.5887200198808893,4.211762918653145,1.6507763684877381
LOWER_DRIVES_UPPER,H4:LOWER:0021:0,H4:UPPER:0048:0,A:LOWER:2:-4,A:UPPER:2:-4,N,B,0.119,4.1832068481157965,3.8443794761989047,8.152857980542734
UPPER_DRIVES_LOWER,H4:UPPER:0048:0,H4:LOWER:0021:0,A:UPPER:2:-4,A:LOWER:2:-4,B,N,0.101,4.1995351040575635,3.5523622984386085,1.6490976981276273
LOWER_DRIVES_UPPER,H4:LOWER:0022:0,H4:UPPER:0049:0,A:LOWER:2:4,A:UPPER:2:4,N,B,0.119,3.3259862052137876,3.3606082463850337,8.156154379434701
UPPER_DRIVES_LOWER,H4:UPPER:0049:0,H4:LOWER:0022:0,A:UPPER:2:4,A:LOWER:2:4,B,N,0.101,3.1752588964887782,3.559579467154686,1.6513359252744417
LOWER_DRIVES_UPPER,H4:LOWER:0023:0,H4:UPPER:0050:0,A:LOWER:5:-3,A:UPPER:5:-3,N,B,0.119,4.214808055909836,3.5526652217216306,8.384924462537194
UPPER_DRIVES_LOWER,H4:UPPER:0050:0,H4:LOWER:0023:0,A:UPPER:5:-3,A:LOWER:5:-3,B,N,0.101,4.092781055130258,3.320617431940844,1.8482999141941092
LOWER_DRIVES_UPPER,H4:LOWER:0024:0,H4:UPPER:0051:0,A:LOWER:5:3,A:UPPER:5:3,N,B,0.119,3.5396225881174987,3.167499310929171,8.382946623202013
UPPER_DRIVES_LOWER,H4:UPPER:0051:0,H4:LOWER:0024:0,A:UPPER:5:3,A:LOWER:5:3,B,N,0.101,3.294967839269272,3.3325333638580323,1.8477403574074056
LOWER_DRIVES_UPPER,H4:LOWER:0025:0,H4:UPPER:0052:0,A:LOWER:7:-1,A:UPPER:7:-1,B,N,0.101,4.08335030122415,3.31966705361601,8.169700085805891
UPPER_DRIVES_LOWER,H4:UPPER:0052:0,H4:LOWER:0025:0,A:UPPER:7:-1,A:LOWER:7:-1,N,B,0.119,3.842843419391147,3.198204805953544,1.6330755374628074
LOWER_DRIVES_UPPER,H4:LOWER:0026:0,H4:UPPER:0053:0,A:LOWER:7:1,A:UPPER:7:1,B,N,0.101,3.8640732765466104,3.2042660790303725,8.366104517938856
UPPER_DRIVES_LOWER,H4:UPPER:0053:0,H4:LOWER:0026:0,A:UPPER:7:1,A:LOWER:7:1,N,B,0.119,3.588825640995387,3.194585210789733,1.8677791385708407
