environment_id,count,example_node,element,node_type,region,total_degree,environment_signature
ENV_0001,15,BR4:UPPER:00:4,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_OUTER_BOUNDARY:1,BRIDGE_PASSIVANT_H:1"
ENV_0002,15,BR4:LOWER:00:1,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,BRIDGE_PASSIVANT_H:1,HEXAGONAL_EDGE_COMPLETION_SEED:1"
ENV_0003,30,BR4:LOWER:00:3,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=B|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:2,BRIDGE_PASSIVANT_H:1"
ENV_0004,12,A:LOWER:-2:-4,B,ANNULUS_INNER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
ENV_0005,12,A:LOWER:-8:-2,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
ENV_0006,6,A:LOWER:-8:0,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
ENV_0007,24,A:LOWER:-11:-5,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
ENV_0008,42,A:LOWER:-11:-1,B,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
ENV_0009,6,A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1"
ENV_0010,9,A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
ENV_0011,6,A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1"
ENV_0012,9,A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,ANNULUS_EDGE,3,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
ENV_0013,15,S:1711,B,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,3,"center=B|type=HEXAGONAL_EDGE_COMPLETION_SEED|region=SEED_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=PARENT_HBN:2,SEED_PASSIVANT_H:1"
ENV_0014,15,S:1710,B,HEXAGONAL_EDGE_COMPLETION_SEED,SEED_EDGE,3,"center=B|type=HEXAGONAL_EDGE_COMPLETION_SEED|region=SEED_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,PARENT_HBN:2"
ENV_0015,810,P:100,B,PARENT_HBN,PARENT_HBN_BULK_LIKE,3,center=B|type=PARENT_HBN|region=PARENT_HBN_BULK_LIKE|degree=3|neighbor_elements=N:3|neighbor_types=PARENT_HBN:3
ENV_0016,30,P:0,B,PARENT_HBN,PARENT_SEED_ATTACHMENT,3,"center=B|type=PARENT_HBN|region=PARENT_SEED_ATTACHMENT|degree=3|neighbor_elements=N:3|neighbor_types=HEXAGONAL_EDGE_COMPLETION_SEED:2,PARENT_HBN:1"
ENV_0017,12,H4:LOWER:0006:0,H,ANNULUS_INNER_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=ANNULUS_INNER_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=B:1|neighbor_types=ANNULUS_INNER_BOUNDARY:1
ENV_0018,12,H4:LOWER:0012:0,H,ANNULUS_INNER_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=ANNULUS_INNER_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=N:1|neighbor_types=ANNULUS_INNER_BOUNDARY:1
ENV_0019,15,H4:UPPER:0027:0,H,ANNULUS_OUTER_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=ANNULUS_OUTER_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=B:1|neighbor_types=ANNULUS_OUTER_BOUNDARY:1
ENV_0020,15,H4:LOWER:0000:0,H,ANNULUS_OUTER_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=ANNULUS_OUTER_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=N:1|neighbor_types=ANNULUS_OUTER_BOUNDARY:1
ENV_0021,60,H4:LOWER:0054:0,H,BRIDGE_PASSIVANT_H,BRIDGE_PASSIVANT,1,center=H|type=BRIDGE_PASSIVANT_H|region=BRIDGE_PASSIVANT|degree=1|neighbor_elements=B:1|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1
ENV_0022,60,H4:LOWER:0055:0,H,BRIDGE_PASSIVANT_H,BRIDGE_PASSIVANT,1,center=H|type=BRIDGE_PASSIVANT_H|region=BRIDGE_PASSIVANT|degree=1|neighbor_elements=N:1|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1
ENV_0023,15,H4:UPPER:0189:0,H,SEED_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=SEED_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=B:1|neighbor_types=HEXAGONAL_EDGE_COMPLETION_SEED:1
ENV_0024,15,H4:LOWER:0174:0,H,SEED_PASSIVANT_H,EDGE_PASSIVANT,1,center=H|type=SEED_PASSIVANT_H|region=EDGE_PASSIVANT|degree=1|neighbor_elements=N:1|neighbor_types=HEXAGONAL_EDGE_COMPLETION_SEED:1
ENV_0025,15,BR4:LOWER:00:4,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=N|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_OUTER_BOUNDARY:1,BRIDGE_PASSIVANT_H:1"
ENV_0026,15,BR4:UPPER:00:1,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=N|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,BRIDGE_PASSIVANT_H:1,HEXAGONAL_EDGE_COMPLETION_SEED:1"
ENV_0027,30,BR4:LOWER:00:2,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,FOUR_ATOM_BRIDGE,3,"center=N|type=ALTERNATING_BN_FOUR_ATOM_BRIDGE|region=FOUR_ATOM_BRIDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:2,BRIDGE_PASSIVANT_H:1"
ENV_0028,12,A:LOWER:-7:-1,N,ANNULUS_INNER_BOUNDARY,ANNULUS_EDGE,3,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
ENV_0029,12,A:LOWER:-1:-5,N,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
ENV_0030,6,A:LOWER:-4:-4,N,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
ENV_0031,24,A:LOWER:-13:-1,N,ANNULUS_INTERIOR,ANNULUS_INTERIOR,3,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
