gate,pass
source_decision_requires_review,True
exactly_one_source_gate_failed,True
only_stationarity_slope_gate_failed,True
all_other_source_gates_passed,True
mdrun_completed_successfully,True
trajectory_check_completed_successfully,True
checkpoint_was_written,True
no_instability_signatures,True
trajectory_contains_41_frames,True
initial_occupancy_is_428,True
minimum_occupancy_remains_above_80_percent,True
endpoint_occupancy_remains_above_90_percent,True
endpoint_identity_retention_remains_above_90_percent,True
noninitial_lumen_waters_demonstrate_exchange,True
minimum_CAP_OW_distance_is_safe,True
post5_temperature_mean_is_stable,True
post5_temperature_std_is_canonical,True
post5_temperature_slope_is_small,True
HBN_remained_frozen,True
PYR_remained_frozen,True
CAPS_remained_frozen,True
CAP_SOL_LJ_remained_below_100kJmol,True
