node_id,element,node_type,end,region,reasons,parameterization_status,reference_data_required
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-13:-5,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-13:5,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-14:0,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-14:2,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-14:4,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-1:-9,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-1:9,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-2:-4,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-2:4,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-5:-3,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-5:3,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-7:-1,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-7:-7,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-7:1,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:-7:7,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:10:6,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:13:5,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:14:-2,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:14:0,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:14:2,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:14:4,N,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,EDGE_OR_RIM_CENTER,UNASSESSED,True
A:LOWER:1:-9,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,FIRST_SHELL_OF_BRIDGE | EDGE_OR_RIM_CENTER,UNASSESSED,True
