center_node,center_element,center_node_type,end,angle_index,neighbor_1,neighbor_2,angle_deg,deviation_from_120_deg
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-11:-5,A:LOWER:-8:-6,120.00000000000021,2.1316282072803006e-13
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-11:-5,H:LOWER:OUTER:24,106.10211375198601,-13.89788624801399
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-8:-6,H:LOWER:OUTER:24,133.89788624801378,13.897886248013776
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-11:5,A:LOWER:-8:6,119.99999999999979,-2.1316282072803006e-13
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-11:5,H:LOWER:OUTER:21,106.10211375198621,-13.89788624801379
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-8:6,H:LOWER:OUTER:21,133.897886248014,13.897886248014004
A:LOWER:-13:-5,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-11:-5,A:LOWER:-14:-4,120.00000000000004,4.263256414560601e-14
A:LOWER:-13:-5,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-11:-5,H:LOWER:OUTER:23,146.32950349168513,26.32950349168513
A:LOWER:-13:-5,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-14:-4,H:LOWER:OUTER:23,93.67049650831486,-26.329503491685145
A:LOWER:-13:5,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-11:5,A:LOWER:-14:4,119.99999999999972,-2.8421709430404007e-13
A:LOWER:-13:5,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-11:5,H:LOWER:OUTER:22,146.32950349168487,26.329503491684875
A:LOWER:-13:5,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-14:4,H:LOWER:OUTER:22,93.67049650831542,-26.329503491684576
A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-13:-1,A:LOWER:-13:-3,120.00000000000011,1.1368683772161603e-13
A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-13:-1,S:1690,167.68054099833532,47.68054099833532
A:LOWER:-14:-2,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-13:-3,S:1690,47.68139822124682,-72.31860177875318
A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-13:-3,A:LOWER:-13:-5,119.99999999999991,-8.526512829121202e-14
A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-13:-3,S:1692,120.5813633350008,0.5813633350008018
A:LOWER:-14:-4,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-13:-5,S:1692,0.5813898334578185,-119.41861016654218
A:LOWER:-14:0,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-13:-1,A:LOWER:-13:1,120.00000000000065,6.536993168992922e-13
A:LOWER:-14:0,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-13:-1,S:1688,119.96114907823069,-0.03885092176930982
A:LOWER:-14:0,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-13:1,S:1688,120.03866391432688,0.038663914326875215
A:LOWER:-14:2,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-13:1,A:LOWER:-13:3,120.00000000000004,4.263256414560601e-14
A:LOWER:-14:2,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-13:1,S:1686,167.5993733318667,47.5993733318667
A:LOWER:-14:2,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-13:3,S:1686,47.59952926700762,-72.40047073299237
A:LOWER:-14:4,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-13:3,A:LOWER:-13:5,120.0000000000003,2.984279490192421e-13
A:LOWER:-14:4,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-13:3,S:1684,120.53561730502189,0.5356173050218871
A:LOWER:-14:4,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-13:5,S:1684,0.551265041822176,-119.44873495817782
A:LOWER:-1:-9,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-2:-8,A:LOWER:1:-9,120.00000000000011,1.1368683772161603e-13
A:LOWER:-1:-9,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-2:-8,H:LOWER:OUTER:27,146.32950349168485,26.329503491684846
A:LOWER:-1:-9,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:1:-9,H:LOWER:OUTER:27,93.67049650831504,-26.32950349168496
A:LOWER:-1:9,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-2:8,A:LOWER:1:9,119.99999999999966,-3.410605131648481e-13
A:LOWER:-1:9,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-2:8,H:LOWER:OUTER:18,146.32950349168522,26.329503491685216
A:LOWER:-1:9,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:1:9,H:LOWER:OUTER:18,93.67049650831513,-26.329503491684875
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-2:-8,A:LOWER:-5:-7,120.00000000000045,4.547473508864641e-13
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-2:-8,H:LOWER:OUTER:26,106.10211375198587,-13.897886248014132
A:LOWER:-4:-8,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-5:-7,H:LOWER:OUTER:26,133.89788624801372,13.89788624801372
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-2:8,A:LOWER:-5:7,119.99999999999986,-1.4210854715202004e-13
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-2:8,H:LOWER:OUTER:19,106.10211375198631,-13.897886248013691
A:LOWER:-4:8,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-5:7,H:LOWER:OUTER:19,133.8978862480139,13.89788624801389
A:LOWER:-7:-7,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-5:-7,A:LOWER:-8:-6,120.00000000000017,1.7053025658242404e-13
A:LOWER:-7:-7,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-5:-7,H:LOWER:OUTER:25,119.99999999999982,-1.8474111129762605e-13
A:LOWER:-7:-7,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-8:-6,H:LOWER:OUTER:25,120.00000000000001,1.4210854715202004e-14
A:LOWER:-7:7,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-5:7,A:LOWER:-8:6,119.99999999999999,-1.4210854715202004e-14
A:LOWER:-7:7,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-5:7,H:LOWER:OUTER:20,119.99999999999991,-8.526512829121202e-14
A:LOWER:-7:7,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:-8:6,H:LOWER:OUTER:20,120.00000000000011,1.1368683772161603e-13
A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:11:-5,A:LOWER:8:-6,119.99999999999976,-2.4158453015843406e-13
A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:11:-5,S:1700,47.74581924150867,-72.25418075849133
A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:-6,S:1700,167.74575397039382,47.74575397039382
A:LOWER:10:6,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:11:5,A:LOWER:8:6,119.99999999999999,-1.4210854715202004e-14
A:LOWER:10:6,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:11:5,S:1706,47.70246467781411,-72.2975353221859
A:LOWER:10:6,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:6,S:1706,167.7024646417358,47.70246464173579
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:11:-5,A:LOWER:14:-4,119.99999999999972,-2.8421709430404007e-13
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:11:-5,S:1702,120.5856409886012,0.5856409886011988
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:14:-4,S:1702,0.5865105105994431,-119.41348948940056
A:LOWER:13:5,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:11:5,A:LOWER:14:4,120.00000000000001,1.4210854715202004e-14
A:LOWER:13:5,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:11:5,S:1704,120.55880791309279,0.5588079130927923
A:LOWER:13:5,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:14:4,S:1704,0.5636547414308131,-119.43634525856919
A:LOWER:14:-2,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:13:-1,A:LOWER:13:-3,120.00000000000027,2.7000623958883807e-13
A:LOWER:14:-2,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:13:-1,H:LOWER:OUTER:29,133.8978862480137,13.897886248013691
A:LOWER:14:-2,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:13:-3,H:LOWER:OUTER:29,106.10211375198604,-13.897886248013961
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:13:-3,A:LOWER:13:-5,120.00000000000014,1.4210854715202004e-13
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:13:-3,H:LOWER:OUTER:28,146.32950349168496,26.32950349168496
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:13:-5,H:LOWER:OUTER:28,93.6704965083149,-26.329503491685102
A:LOWER:14:0,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:13:-1,A:LOWER:13:1,120.0000000000004,3.979039320256561e-13
A:LOWER:14:0,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:13:-1,H:LOWER:OUTER:15,119.99999999999979,-2.1316282072803006e-13
A:LOWER:14:0,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:13:1,H:LOWER:OUTER:15,119.99999999999984,-1.5631940186722204e-13
A:LOWER:14:2,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:13:1,A:LOWER:13:3,120.00000000000011,1.1368683772161603e-13
A:LOWER:14:2,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:13:1,H:LOWER:OUTER:16,133.89788624801398,13.897886248013975
A:LOWER:14:2,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:13:3,H:LOWER:OUTER:16,106.10211375198593,-13.897886248014075
A:LOWER:14:4,N,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:13:3,A:LOWER:13:5,120.00000000000017,1.7053025658242404e-13
A:LOWER:14:4,N,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:13:3,H:LOWER:OUTER:17,146.32950349168476,26.32950349168476
A:LOWER:14:4,N,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:13:5,H:LOWER:OUTER:17,93.67049650831507,-26.32950349168493
A:LOWER:1:-9,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-1:-9,A:LOWER:2:-8,119.99999999999962,-3.836930773104541e-13
A:LOWER:1:-9,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-1:-9,S:1694,0.5573890061578346,-119.44261099384217
A:LOWER:1:-9,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:2:-8,S:1694,120.55591770242864,0.5559177024286441
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:-1:9,A:LOWER:2:8,120.00000000000017,1.7053025658242404e-13
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-1:9,S:1682,0.5634724793175628,-119.43652752068243
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:2:8,S:1682,120.56347227154153,0.5634722715415279
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:2:-8,A:LOWER:5:-7,120.00000000000024,2.4158453015843406e-13
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:2:-8,S:1696,47.66423787663376,-72.33576212336624
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:5:-7,S:1696,167.6642331601929,47.66423316019291
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:2:8,A:LOWER:5:7,120.00000000000007,7.105427357601002e-14
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:2:8,S:1680,47.64083374238975,-72.35916625761024
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:5:7,S:1680,167.64077033768456,47.64077033768456
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:5:-7,A:LOWER:8:-6,120.00000000000024,2.4158453015843406e-13
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:5:-7,S:1698,120.08552096943096,0.08552096943095933
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:-6,S:1698,119.91447903048345,-0.0855209695165513
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:5:7,A:LOWER:8:6,119.99999999999989,-1.1368683772161603e-13
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:5:7,S:1708,119.98354663444127,-0.016453365558732003
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:6,S:1708,120.01642777091145,0.016427770911448647
