hydrogen_node,attached_heavy,attached_heavy_element,hydrogen_role,end,angle_1_deg,angle_2_deg,minimum_angle_deg,maximum_angle_deg,violation_count,coordinate_modified_in_Gate3P2
H4:LOWER:0000:0,A:LOWER:-10:-6,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,79.64371208118634,79.70238026594807,79.64371208118634,79.70238026594807,0,False
H4:LOWER:0001:0,A:LOWER:-10:6,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,83.47180699297445,72.11753189139961,72.11753189139961,83.47180699297445,0,False
H4:LOWER:0002:0,A:LOWER:-13:-5,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,70.44320387628836,125.58971899044008,70.44320387628836,125.58971899044008,0,False
H4:LOWER:0003:0,A:LOWER:-13:5,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,70.44320387628845,75.6859903404226,70.44320387628845,75.6859903404226,0,False
H4:LOWER:0004:0,A:LOWER:-1:-9,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,70.72643611618983,84.5210470139018,70.72643611618983,84.5210470139018,0,False
H4:LOWER:0005:0,A:LOWER:-1:9,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,75.68599034042276,70.44320387628854,70.44320387628854,75.68599034042276,0,False
H4:LOWER:0006:0,A:LOWER:-2:-4,B,ANNULUS_INNER_PASSIVANT_H,LOWER,76.59231236836288,98.13089991195933,76.59231236836288,98.13089991195933,0,True
H4:LOWER:0007:0,A:LOWER:-2:4,B,ANNULUS_INNER_PASSIVANT_H,LOWER,98.83574429489845,80.7561748931763,80.7561748931763,98.83574429489845,0,True
H4:LOWER:0008:0,A:LOWER:-4:-8,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,72.2923668705337,95.31088930027644,72.2923668705337,95.31088930027644,0,False
H4:LOWER:0009:0,A:LOWER:-4:8,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,70.90779499591058,98.04103383089443,70.90779499591058,98.04103383089443,0,False
H4:LOWER:0010:0,A:LOWER:-5:-3,B,ANNULUS_INNER_PASSIVANT_H,LOWER,75.69811434457574,93.80603594354628,75.69811434457574,93.80603594354628,0,True
H4:LOWER:0011:0,A:LOWER:-5:3,B,ANNULUS_INNER_PASSIVANT_H,LOWER,85.9000370747281,82.2610725797605,82.2610725797605,85.9000370747281,0,True
H4:LOWER:0012:0,A:LOWER:-7:-1,N,ANNULUS_INNER_PASSIVANT_H,LOWER,93.3549760193951,74.77203927741905,74.77203927741905,93.3549760193951,0,True
H4:LOWER:0013:0,A:LOWER:-7:-7,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,94.14186102141807,130.22574570543915,94.14186102141807,130.22574570543915,0,False
H4:LOWER:0014:0,A:LOWER:-7:1,N,ANNULUS_INNER_PASSIVANT_H,LOWER,96.34234091492672,79.62916764371,79.62916764371,96.34234091492672,0,True
H4:LOWER:0015:0,A:LOWER:-7:7,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,106.03999157525726,130.81245659276738,106.03999157525726,130.81245659276738,0,False
H4:LOWER:0016:0,A:LOWER:14:-2,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,128.18879285986358,77.5965386559244,77.5965386559244,128.18879285986358,0,False
H4:LOWER:0017:0,A:LOWER:14:-4,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,111.9207938754407,74.20949109357466,74.20949109357466,111.9207938754407,0,False
H4:LOWER:0018:0,A:LOWER:14:0,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,76.05902806378482,78.15908502481443,76.05902806378482,78.15908502481443,0,False
H4:LOWER:0019:0,A:LOWER:14:2,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,125.58971899044008,75.68599034042293,75.68599034042293,125.58971899044008,0,False
H4:LOWER:0020:0,A:LOWER:14:4,N,ANNULUS_OUTER_PASSIVANT_H,LOWER,100.7898364546159,70.90779499591069,70.90779499591069,100.7898364546159,0,False
H4:LOWER:0021:0,A:LOWER:2:-4,N,ANNULUS_INNER_PASSIVANT_H,LOWER,90.0,90.0,90.0,90.0,0,True
H4:LOWER:0022:0,A:LOWER:2:4,N,ANNULUS_INNER_PASSIVANT_H,LOWER,94.09996292527192,78.10280745340621,78.10280745340621,94.09996292527192,0,True
H4:LOWER:0023:0,A:LOWER:5:-3,N,ANNULUS_INNER_PASSIVANT_H,LOWER,81.86910008804071,84.81089044096801,81.86910008804071,84.81089044096801,0,True
H4:LOWER:0024:0,A:LOWER:5:3,N,ANNULUS_INNER_PASSIVANT_H,LOWER,77.94855428395856,88.65774059758219,77.94855428395856,88.65774059758219,0,True
H4:LOWER:0025:0,A:LOWER:7:-1,B,ANNULUS_INNER_PASSIVANT_H,LOWER,100.37083235629046,83.65765908507304,83.65765908507304,100.37083235629046,0,True
