radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.0,0.00021043272233672085,8.436413031163158e-05,0.00021043272233672085,8.436413031163158e-05
0.001,0.00021047637510912713,8.438163105076974e-05,0.00021047637510912713,8.438163105076974e-05
0.002,0.00021057175797219727,8.441987078934362e-05,0.00021057175797219727,8.441987078934362e-05
0.003,0.00021071891952906336,8.447886901273041e-05,0.00021071891952906336,8.447886901273041e-05
0.004,0.00021091793477649753,8.455865578772481e-05,0.00021091793477649753,8.455865578772481e-05
0.005,0.00021116890515514265,8.465927178267685e-05,0.00021116890515514265,8.465927178267685e-05
0.006,0.0002114719586174681,8.478076829473596e-05,0.0002114719586174681,8.478076829473596e-05
0.007,0.00021182724971351114,8.492320728422533e-05,0.00021182724971351114,8.492320728422533e-05
0.008,0.00021223495969447756,8.508666141617619e-05,0.00021223495969447756,8.508666141617619e-05
0.009000000000000001,0.00021269529663429433,8.527121410905926e-05,0.00021269529663429433,8.527121410905926e-05
0.01,0.00021320849556921665,8.547695959075436e-05,0.00021320849556921665,8.547695959075436e-05
0.011,0.0002137748186556136,8.570400296180778e-05,0.0002137748186556136,8.570400296180778e-05
0.012,0.00021439455534606766,8.595246026603208e-05,0.00021439455534606766,8.595246026603208e-05
0.013000000000000001,0.00021506802258394685,8.622245856851159e-05,0.00021506802258394685,8.622245856851159e-05
0.014,0.00021579556501661262,8.6514136041079e-05,0.00021579556501661262,8.6514136041079e-05
0.015,0.00021657755522745486,8.682764205534018e-05,0.00021657755522745486,8.682764205534018e-05
0.016,0.00021741439398695477,8.716313728332714e-05,0.00021741439398695477,8.716313728332714e-05
0.017,0.00021830651052299845,8.752079380586893e-05,0.00021830651052299845,8.752079380586893e-05
0.018000000000000002,0.00021925436281067378,8.790079522877341e-05,0.00021925436281067378,8.790079522877341e-05
0.019,0.00022025843788180967,8.83033368069241e-05,0.00022025843788180967,8.83033368069241e-05
0.02,0.00022131925215452462,8.872862557639865e-05,0.00022131925215452462,8.872862557639865e-05
0.021,0.00022243735178308291,8.917688049472898e-05,0.00022243735178308291,8.917688049472898e-05
0.022,0.0002236133130283575,8.964833258942282e-05,0.0002236133130283575,8.964833258942282e-05
0.023,0.00022484774264923307,9.014322511488017e-05,0.00022484774264923307,9.014322511488017e-05
0.024,0.00022614127831529113,9.066181371784205e-05,0.00022614127831529113,9.066181371784205e-05
0.025,0.00022749458904114945,9.120436661152059e-05,0.00022749458904114945,9.120436661152059e-05
0.026000000000000002,0.00022890837564283227,9.177116475856141e-05,0.00022890837564283227,9.177116475856141e-05
0.027,0.00023038337121658302,9.23625020630034e-05,0.00023038337121658302,9.23625020630034e-05
