gate,pass
Gate3I_source_graph_is_accepted,True
Gate3L_longer_bridge_screen_is_accepted,True
selected_bridge_class_has_four_atoms,True
selected_architecture_has_15_attachments_per_end,True
30_old_trimer_paths_were_replaced,True
30_new_four_atom_bridge_paths_were_built,True
15_bridge_paths_were_built_per_end,True
60_bridge_atoms_were_added_per_end,True
120_bridge_atoms_were_added_total,True
2112_heavy_atoms_are_present,True
204_H_atoms_are_present,True
2316_total_nodes_are_present,True
3066_heavy_edges_are_present,True
204_H_edges_are_present,True
all_heavy_atoms_have_total_coordination3,True
all_H_atoms_have_coordination1,True
no_heavy_atom_has_heavy_degree_above3,True
all_heavy_edges_are_heteropolar_BN,True
full_graph_is_connected,True
heavy_graph_is_connected,True
heavy_graph_is_bipartite,True
heavy_graph_contains_no_four_member_cycles,True
every_bridge_path_participates_in_a_cycle,True
all_bridge_containing_cycles_have_length16,True
no_coordinates_were_assigned,True
no_formal_charges_were_assigned,True
no_force_field_types_were_assigned,True
