source_water_index_zero_based,source_water_index_one_based,source_oxygen_atom_one_based,oxygen_x_nm,oxygen_y_nm,oxygen_z_nm,nearest_CAP_distance_nm,initially_luminal
5707,5708,24613,2.671,3.438,1.618,0.1917654817739625,False
5726,5727,24689,2.954,2.986,1.614,0.2124099809331003,False
5739,5740,24741,2.714,2.835,1.647,0.17432441022415648,False
5745,5746,24765,3.299,3.094,1.594,0.21248294049170155,False
5751,5752,24789,3.545,3.095,1.706,0.1374081511410443,False
5820,5821,25065,3.602,2.831,1.766,0.09162968951164227,False
5854,5855,25201,2.308,3.154,1.769,0.18476742137076016,False
5893,5894,25357,3.279,3.346,1.76,0.09583840566286568,False
5939,5940,25541,3.215,3.525,1.968,0.18648592440181638,False
5941,5942,25549,3.433,3.193,1.935,0.16285576440519395,False
6296,6297,26969,3.504,3.009,8.023,0.19638991827484453,False
6301,6302,26989,3.422,2.889,8.329,0.13200757554019454,False
6334,6335,27121,3.697,2.5,8.4,0.18202472359545047,False
6342,6343,27153,3.282,3.635,8.214,0.11079711187571634,False
6419,6420,27461,3.679,2.778,8.401,0.20093282459568407,False
6445,6446,27565,3.609,3.145,8.233,0.10076705810928498,False
6600,6601,28185,3.193,3.844,1.817,0.052182372502598745,False
6640,6641,28345,2.957,3.769,1.683,0.14552319402761887,False
6659,6660,28421,3.185,4.269,1.739,0.09462557793746891,False
6660,6661,28425,3.222,4.029,1.619,0.18900000000000006,False
6667,6668,28453,3.65,4.356,1.801,0.07543871685016941,False
6796,6797,28969,3.153,4.084,1.959,0.18296174463531978,False
6797,6798,28973,2.82,3.818,1.918,0.12035779991342468,False
6852,6853,29193,3.386,4.378,1.899,0.13261598696989768,False
7130,7131,30305,3.391,4.755,8.304,0.11117553687749852,False
7145,7146,30365,3.685,4.251,8.135,0.09565040512198562,False
7167,7168,30453,3.686,4.432,8.355,0.15203617990465318,False
7174,7175,30481,3.379,4.339,8.291,0.08875246475450764,False
7179,7180,30501,3.235,4.103,8.271,0.12204097672503338,False
7208,7209,30617,3.395,4.039,8.061,0.17305779381466785,False
7209,7210,30621,2.972,4.083,8.199,0.04057092555020166,False
7251,7252,30789,3.657,4.706,8.369,0.156467248969233,False
7263,7264,30837,3.291,3.86,8.382,0.20888752954640416,False
7264,7265,30841,3.407,4.543,8.112,0.12840560735419618,False
9596,9597,40169,4.373,3.277,1.588,0.2136188193956702,False
9653,9654,40397,4.142,2.432,1.633,0.20424984700116705,False
9674,9675,40481,4.389,3.051,1.752,0.06649060083951705,False
9675,9676,40485,3.909,3.254,1.837,0.07785884663928674,False
9732,9733,40713,4.329,2.819,1.605,0.2187007087322764,False
9745,9746,40765,4.12,3.072,1.81,0.08062877898120542,False
9773,9774,40877,4.06,2.836,1.674,0.14090067423543445,False
9783,9784,40917,5.106,3.415,1.735,0.20728000385951342,False
9841,9842,41149,4.426,3.39,1.826,0.10305823596394434,False
9892,9893,41353,4.303,3.199,1.989,0.20765596548137036,False
9914,9915,41441,4.31,3.633,1.889,0.13366375724181928,False
10218,10219,42657,4.175,3.176,8.301,0.0953624664110572,False
10233,10234,42717,4.219,3.62,8.144,0.07751773990513387,False
10262,10263,42833,4.512,3.672,8.399,0.20245246355626234,False
10264,10265,42841,3.847,3.387,8.144,0.2053095224289413,False
10277,10278,42893,3.938,3.133,8.149,0.11552488909321725,False
10335,10336,43125,4.162,3.648,8.412,0.20799519225212948,False
10345,10346,43165,4.45,3.405,8.402,0.21428952377566152,False
10368,10369,43257,4.323,3.363,8.153,0.1143241006962216,False
10532,10533,43913,4.064,4.258,1.771,0.05255473337388368,False
10560,10561,44025,4.13,3.804,1.752,0.09960923651951135,False
10569,10570,44061,3.807,5.093,1.646,0.19242660938654005,False
10595,10596,44165,5.035,4.243,1.752,0.1415803658704131,False
10638,10639,44337,3.9,4.475,1.756,0.09413288479590916,False
10664,10665,44441,3.897,4.07,1.657,0.19301295293321621,False
10737,10738,44733,4.273,4.287,1.949,0.18285786830213238,False
11064,11065,46041,4.028,4.728,8.4,0.1853132483121488,False
11067,11068,46053,4.153,4.972,8.315,0.16405791660264352,False
11137,11138,46333,4.497,3.894,8.224,0.10721007415350502,False
11148,11149,46377,4.164,3.89,8.148,0.12789839717525794,False
11161,11162,46429,4.218,3.92,8.416,0.21244764060822174,False
11182,11183,46513,4.684,4.023,8.416,0.2179197099851233,False
11187,11188,46533,4.116,4.263,8.303,0.11646887996370593,False
11200,11201,46585,3.95,4.198,8.098,0.14367324037551266,False
11216,11217,46649,3.954,4.462,8.398,0.20426698215815448,False
