node_id,element,node_type,end,x_nm,y_nm,z_nm,coordinates_generated_by,energy_minimized,MD_relaxed
A:LOWER:-10:-2,N,ANNULUS_INTERIOR,LOWER,3.9484310986735465,4.422199315879867,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:-4,N,ANNULUS_INTERIOR,LOWER,4.199531700397307,4.4222002984319495,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:-6,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.450632302121067,4.422201280984032,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:0,N,ANNULUS_INTERIOR,LOWER,3.697330496949786,4.422198333327784,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:2,N,ANNULUS_INTERIOR,LOWER,3.4462298952260255,4.422197350775701,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:4,N,ANNULUS_INTERIOR,LOWER,3.1951292935022653,4.422196368223619,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-10:6,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.944028691778505,4.422195385671536,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:-1,B,ANNULUS_INTERIOR,LOWER,3.8228805141733115,4.49468532460327,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:-3,B,ANNULUS_INTERIOR,LOWER,4.073981115897072,4.494686307155353,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:-5,B,ANNULUS_INTERIOR,LOWER,4.325081717620833,4.494687289707436,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:1,B,ANNULUS_INTERIOR,LOWER,3.5717799124495513,4.494684342051189,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:3,B,ANNULUS_INTERIOR,LOWER,3.3206793107257906,4.494683359499105,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-11:5,B,ANNULUS_INTERIOR,LOWER,3.069578709002031,4.494682376947022,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-13:-1,N,ANNULUS_INTERIOR,LOWER,3.8228799468966024,4.639658324602161,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
A:LOWER:-13:-3,N,ANNULUS_INTERIOR,LOWER,4.073980548620363,4.6396593071542425,1.7500976981276273,GLOBAL_DISCRETE_CONFORMER_AND_H_REFINEMENT,False,False
