node_id,element,node_type,end,graph_source,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,attached_to,attached_heavy_node,attached_heavy_element,attached_heavy_type,attached_heavy_end,attached_heavy_metadata
H4:LOWER:0174:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1681,S:1681,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""1"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1681"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1681""}"
H4:LOWER:0175:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1683,S:1683,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""3"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1683"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1683""}"
H4:LOWER:0176:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1685,S:1685,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""5"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1685"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1685""}"
H4:LOWER:0177:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1687,S:1687,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""7"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1687"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1687""}"
H4:LOWER:0178:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1689,S:1689,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""9"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1689"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1689""}"
H4:LOWER:0179:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1691,S:1691,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""11"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1691"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1691""}"
H4:LOWER:0180:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1693,S:1693,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""13"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1693"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1693""}"
H4:LOWER:0181:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1695,S:1695,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""15"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1695"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1695""}"
H4:LOWER:0182:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1697,S:1697,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""17"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1697"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1697""}"
H4:LOWER:0183:0,H,SEED_PASSIVANT_H,LOWER,COORDINATION_DERIVED_PASSIVATION,False,False,False,S:1699,S:1699,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,"{""circumferential_index"": ""19"", ""coordinates_assigned"": ""False"", ""element"": ""N"", ""end"": ""LOWER"", ""force_field_type_assigned"": ""False"", ""formal_charge_assigned"": ""False"", ""graph_source"": ""GATE3I_RETAINED_NONBRIDGE_HEAVY_NODE"", ""node_id"": ""S:1699"", ""node_type"": ""HEXAGONAL_EDGE_COMPLETION_SEED"", ""source_index_0based"": ""1699""}"
