sigma_E_meV,tau_c_ps,n_traj,mean_max_PYR2,std_max_PYR2,mean_final_PYR2,mean_t10_fs,mean_t20_fs,mean_t30_fs,min_eig_min,max_trace_err,delta_max_PYR2_vs_static,delta_t30_fs_vs_static,t30_speedup_factor
0,0.02,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
0,0.05,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
0,0.1,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
0,0.2,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
0,0.5,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
0,1.0,8,0.3056154406783991,0.0,0.3055835116578916,130.0,385.0,1350.0,0.0,1.3889090782114561e-14,0.0,0.0,1.0
2,0.02,8,0.309564828970843,0.0006683272040132,0.3076018000704191,127.5,383.125,1301.875,0.0,2.5311385705198983e-14,0.0039493882924439005,-48.125,1.0369659145463275
2,0.05,8,0.3082853702771624,0.000771358809871,0.3066552016592794,128.125,379.375,1312.5,0.0,2.42373176617792e-14,0.002669929598763332,-37.5,1.0285714285714285
2,0.1,8,0.3077520380954669,0.0004271426155638,0.3064592717578331,126.875,377.5,1310.0,0.0,2.4945623503396683e-14,0.0021365974170678426,-40.0,1.0305343511450382
2,0.2,8,0.3071884296057157,0.0003406723513458,0.3059779854457186,128.75,382.5,1342.5,0.0,2.2817054097178968e-14,0.0015729889273166098,-7.5,1.005586592178771
2,0.5,8,0.3071294427593908,0.0010038755270737,0.3062413120997033,128.75,384.375,1355.625,0.0,2.1175462915646804e-14,0.0015140020809917276,5.625,0.995850622406639
2,1.0,8,0.3065448649883355,0.0004591701134157,0.3057761992741568,129.375,383.125,1337.5,0.0,1.8628246326935393e-14,0.0009294243099364219,-12.5,1.0093457943925233
5,0.02,8,0.3186500769288086,0.0026043723019613,0.3156416048103292,136.875,388.125,1221.25,0.0,1.9607482357550376e-14,0.013034636250409515,-128.75,1.105424769703173
5,0.05,8,0.3188864942226617,0.0023587060273778,0.3111364363159201,131.875,375.625,1161.25,0.0,2.119611008142661e-14,0.013271053544262612,-188.75,1.16254036598493
5,0.1,8,0.3132039147857529,0.002328417334391,0.3066001266199658,130.0,374.375,1256.875,0.0,1.54140092056755e-14,0.007588474107353804,-93.125,1.0740924912978618
5,0.2,8,0.3132203089717261,0.0058605919827028,0.3059947092155105,126.875,367.5,1148.125,0.0,2.1491283088214905e-14,0.007604868293327016,-201.875,1.175830157866086
5,0.5,8,0.3159005955571243,0.0084729933081909,0.308400689779245,130.0,374.375,1106.25,0.0,3.0362807399558473e-14,0.010285154878725222,-243.75,1.2203389830508475
5,1.0,8,0.3073510354064066,0.0038985688536231,0.3055302044555983,125.625,379.375,1602.5,0.0,2.1595583221716953e-14,0.00173559472800755,252.5,0.8424336973478939
10,0.02,8,0.3351979408036234,0.0045109600866952,0.3281619525396391,131.875,347.5,951.25,0.0,1.3010421253296821e-14,0.029582500125224342,-398.75,1.419185282522996
10,0.05,8,0.328356667580796,0.0025276717542159,0.3226100416965196,126.875,335.0,1070.625,0.0,2.7342184635948484e-14,0.022741226902396938,-279.375,1.2609457092819614
10,0.1,8,0.3289860166754176,0.0097572731459314,0.3137347651735836,125.625,298.75,825.625,0.0,1.9459021177790163e-14,0.023370575997018528,-524.375,1.635124905374716
10,0.2,8,0.3340588429398049,0.0116571010969827,0.314307043420042,122.5,358.125,1133.75,0.0,1.892947563897017e-14,0.028443402261405848,-216.25,1.1907386990077178
10,0.5,8,0.3322085510713188,0.0189500470224447,0.3198343606513277,133.125,345.0,1163.125,0.0,3.1709371857816503e-14,0.026593110392919728,-186.875,1.1606663084363245
10,1.0,8,0.3300970289507531,0.0271160694071553,0.3102853121870427,126.25,387.5,1463.75,0.0,1.9542667411614728e-14,0.024481588272354027,113.75,0.9222886421861657
20,0.02,8,0.3418207101358929,0.0030585901699284,0.3309350714364864,128.125,288.125,811.25,0.0,2.207302211100494e-14,0.036205269457493805,-538.75,1.6640986132511557
20,0.05,8,0.337407641176735,0.0042557093162496,0.3305717894122677,126.875,293.75,876.875,0.0,3.8165725164500656e-14,0.03179220049833592,-473.125,1.5395580898075552
20,0.1,8,0.3395743878329958,0.0085151064154647,0.314655190109623,142.5,344.375,821.25,0.0,1.9244623572780723e-14,0.03395894715459674,-528.75,1.643835616438356
20,0.2,8,0.3366870609958422,0.0094412540864635,0.3235176550955734,129.375,331.25,938.125,0.0,1.5381857939294323e-14,0.03107162031744315,-411.875,1.4390406395736175
20,0.5,8,0.3340688361307211,0.007184541646192,0.3272508011679563,136.875,349.375,932.5,0.0,1.6133057137297948e-14,0.028453395452322006,-417.5,1.447721179624665
20,1.0,8,0.3367569322434143,0.0214046788680659,0.3089921030049497,131.875,351.25,1161.25,0.0,2.2036166556651067e-14,0.031141491565015222,-188.75,1.16254036598493
