frame,time_ps,cluster,embedded_tracked_root,embedded_tracked_energy_eV,embedded_tracked_fosc,embedded_HOMO_LUMO_weight,vacuum_tracked_root,vacuum_tracked_energy_eV,vacuum_tracked_fosc,vacuum_HOMO_LUMO_weight,solvent_shift_eV,solvent_shift_meV
0,0.0,PYR2,2,4.068,0.493214356,0.842611,2,4.09,0.505315135,0.846347,-0.02200000000000024,-22.00000000000024
0,0.0,PYR3,2,4.079,0.504489664,0.835724,2,4.081,0.514410671,0.848738,-0.002000000000000668,-2.000000000000668
0,0.0,PYR4,2,4.09,0.503190422,0.825844,2,4.089,0.518148235,0.849718,0.0009999999999994458,0.9999999999994458
0,0.0,PYR5,1,3.779,0.652757565,0.863384,1,3.78,0.664486314,0.877731,-0.0009999999999998899,-0.9999999999998899
1,5.0,PYR2,2,4.083,0.479081305,0.797002,2,4.09,0.505315135,0.846347,-0.006999999999999673,-6.999999999999673
1,5.0,PYR3,2,4.065,0.471984456,0.793849,2,4.081,0.514410671,0.848738,-0.016000000000000014,-16.000000000000014
1,5.0,PYR4,2,4.089,0.518123726,0.849764,2,4.089,0.518148235,0.849718,0.0,0.0
1,5.0,PYR5,1,3.756,0.66052015,0.867596,1,3.78,0.664486314,0.877731,-0.02400000000000002,-24.00000000000002
2,10.0,PYR2,2,4.094,0.50924132,0.845081,2,4.09,0.505315135,0.846347,0.004000000000000448,4.000000000000448
2,10.0,PYR3,2,4.086,0.493704464,0.829758,2,4.081,0.514410671,0.848738,0.004999999999999893,4.999999999999893
2,10.0,PYR4,2,4.093,0.511090468,0.835923,2,4.089,0.518148235,0.849718,0.0039999999999995595,3.9999999999995595
2,10.0,PYR5,1,3.779,0.637471618,0.86724,1,3.78,0.664486314,0.877731,-0.0009999999999998899,-0.9999999999998899
3,15.0,PYR2,2,4.104,0.497305626,0.834996,2,4.09,0.505315135,0.846347,0.014000000000000234,14.000000000000234
3,15.0,PYR3,2,4.071,0.502294183,0.845235,2,4.081,0.514410671,0.848738,-0.010000000000000675,-10.000000000000675
3,15.0,PYR4,2,4.097,0.509273163,0.844269,2,4.089,0.518148235,0.849718,0.008000000000000007,8.000000000000007
3,15.0,PYR5,1,3.75,0.61541292,0.827679,1,3.78,0.664486314,0.877731,-0.029999999999999805,-29.999999999999805
4,20.0,PYR2,2,4.101,0.498540213,0.832355,2,4.09,0.505315135,0.846347,0.01100000000000012,11.00000000000012
4,20.0,PYR3,2,4.095,0.518861417,0.8513,2,4.081,0.514410671,0.848738,0.013999999999999346,13.999999999999346
4,20.0,PYR4,2,4.087,0.522246322,0.850797,2,4.089,0.518148235,0.849718,-0.002000000000000668,-2.000000000000668
4,20.0,PYR5,1,3.761,0.648594776,0.870027,1,3.78,0.664486314,0.877731,-0.018999999999999684,-18.999999999999684
5,25.0,PYR2,2,4.068,0.424630393,0.738175,2,4.09,0.505315135,0.846347,-0.02200000000000024,-22.00000000000024
5,25.0,PYR3,2,4.052,0.501037835,0.836255,2,4.081,0.514410671,0.848738,-0.029000000000000803,-29.000000000000803
5,25.0,PYR4,2,4.089,0.501976497,0.837801,2,4.089,0.518148235,0.849718,0.0,0.0
5,25.0,PYR5,1,3.797,0.647307662,0.861442,1,3.78,0.664486314,0.877731,0.017000000000000348,17.000000000000348
6,30.0,PYR2,2,4.081,0.486883676,0.822484,2,4.09,0.505315135,0.846347,-0.008999999999999453,-8.999999999999453
6,30.0,PYR3,2,4.096,0.492967153,0.828688,2,4.081,0.514410671,0.848738,0.01499999999999968,14.99999999999968
6,30.0,PYR4,2,4.092,0.510757213,0.842006,2,4.089,0.518148235,0.849718,0.0029999999999992255,2.9999999999992255
6,30.0,PYR5,1,3.776,0.659519925,0.876376,1,3.78,0.664486314,0.877731,-0.0040000000000000036,-4.0000000000000036
7,35.0,PYR2,2,4.103,0.490046455,0.836925,2,4.09,0.505315135,0.846347,0.0129999999999999,12.9999999999999
7,35.0,PYR3,2,4.07,0.490450249,0.830727,2,4.081,0.514410671,0.848738,-0.01100000000000012,-11.00000000000012
7,35.0,PYR4,2,4.093,0.512697666,0.843484,2,4.089,0.518148235,0.849718,0.0039999999999995595,3.9999999999995595
7,35.0,PYR5,1,3.79,0.659436962,0.875279,1,3.78,0.664486314,0.877731,0.010000000000000231,10.000000000000231
8,40.0,PYR2,2,4.079,0.501966286,0.843392,2,4.09,0.505315135,0.846347,-0.01100000000000012,-11.00000000000012
8,40.0,PYR3,2,4.073,0.491495921,0.819809,2,4.081,0.514410671,0.848738,-0.008000000000000007,-8.000000000000007
8,40.0,PYR4,2,4.092,0.503082331,0.827921,2,4.089,0.518148235,0.849718,0.0029999999999992255,2.9999999999992255
8,40.0,PYR5,1,3.793,0.655883767,0.864482,1,3.78,0.664486314,0.877731,0.013000000000000345,13.000000000000345
9,45.0,PYR2,2,4.094,0.503201742,0.841025,2,4.09,0.505315135,0.846347,0.004000000000000448,4.000000000000448
9,45.0,PYR3,2,4.075,0.514855013,0.848329,2,4.081,0.514410671,0.848738,-0.006000000000000227,-6.000000000000227
9,45.0,PYR4,2,4.08,0.510873621,0.824401,2,4.089,0.518148235,0.849718,-0.009000000000000341,-9.000000000000341
9,45.0,PYR5,1,3.75,0.62317919,0.866988,1,3.78,0.664486314,0.877731,-0.029999999999999805,-29.999999999999805
10,50.0,PYR2,2,4.079,0.503064953,0.835084,2,4.09,0.505315135,0.846347,-0.01100000000000012,-11.00000000000012
10,50.0,PYR3,2,4.065,0.507950168,0.844755,2,4.081,0.514410671,0.848738,-0.016000000000000014,-16.000000000000014
10,50.0,PYR4,2,4.099,0.501788253,0.833706,2,4.089,0.518148235,0.849718,0.009999999999999787,9.999999999999787
10,50.0,PYR5,1,3.791,0.663968719,0.879112,1,3.78,0.664486314,0.877731,0.01100000000000012,11.00000000000012
11,55.0,PYR2,2,4.098,0.495368741,0.825597,2,4.09,0.505315135,0.846347,0.008000000000000007,8.000000000000007
11,55.0,PYR3,2,4.071,0.504426624,0.843361,2,4.081,0.514410671,0.848738,-0.010000000000000675,-10.000000000000675
11,55.0,PYR4,2,4.09,0.518575837,0.850177,2,4.089,0.518148235,0.849718,0.0009999999999994458,0.9999999999994458
11,55.0,PYR5,1,3.787,0.659752246,0.876362,1,3.78,0.664486314,0.877731,0.007000000000000117,7.000000000000117
12,60.0,PYR2,2,4.079,0.505777416,0.845106,2,4.09,0.505315135,0.846347,-0.01100000000000012,-11.00000000000012
12,60.0,PYR3,2,4.086,0.511610394,0.848962,2,4.081,0.514410671,0.848738,0.004999999999999893,4.999999999999893
12,60.0,PYR4,2,4.104,0.513306446,0.839986,2,4.089,0.518148235,0.849718,0.01499999999999968,14.99999999999968
12,60.0,PYR5,1,3.797,0.644718639,0.866772,1,3.78,0.664486314,0.877731,0.017000000000000348,17.000000000000348
13,65.0,PYR2,2,4.103,0.505300314,0.84713,2,4.09,0.505315135,0.846347,0.0129999999999999,12.9999999999999
13,65.0,PYR3,2,4.074,0.499481109,0.820146,2,4.081,0.514410671,0.848738,-0.007000000000000561,-7.000000000000561
13,65.0,PYR4,2,4.102,0.510445336,0.849027,2,4.089,0.518148235,0.849718,0.0129999999999999,12.9999999999999
13,65.0,PYR5,1,3.783,0.661990456,0.878858,1,3.78,0.664486314,0.877731,0.0030000000000001137,3.0000000000001137
14,70.0,PYR2,2,4.092,0.504494792,0.846654,2,4.09,0.505315135,0.846347,0.0019999999999997797,1.9999999999997797
14,70.0,PYR3,2,4.096,0.500472478,0.833415,2,4.081,0.514410671,0.848738,0.01499999999999968,14.99999999999968
14,70.0,PYR4,2,4.069,0.50755834,0.847209,2,4.089,0.518148235,0.849718,-0.020000000000000462,-20.000000000000462
