improper_index,atom_i,atom_j,atom_k,atom_l,stage04_planarity_deg,stage05_planarity_deg,stage06_planarity_deg,stage05_stage06_change_deg,stage06_equilibrium_residual_deg,persistent_above_20_deg
484,513,514,571,573,7.207060324470916,5.23074592761526,26.57479290049767,31.80553882811293,22.068892900497644,False
796,825,826,883,885,8.503437274635274,2.052964431979575,25.426847270554077,27.479811702533624,20.795747270554045,False
1319,1290,1349,1292,1350,1.8196528411318695,5.8025749149395836,22.822428488033523,17.01985357309394,15.694128488033556,False
352,381,382,439,441,2.2025599338915924,21.604327058182548,22.81400360273119,1.2096765445486142,18.104603602731203,True
1617,1614,1673,1616,1674,6.598514314532963,5.429599347096968,22.026608371653452,16.597009024556513,28.718508371653456,False
742,771,772,829,831,10.394889732511103,5.760718674644124,21.474086486262934,15.71336781161881,17.253886486262928,False
682,711,712,769,771,10.355381598652116,2.195661109832969,21.0139687945518,18.81830768471883,15.978268794551838,False
1111,1082,1141,1084,1142,8.888259996579933,12.064435337040095,20.96541326611353,8.900977929073434,13.672813266113508,False
119,90,149,92,150,8.04736001022539,11.54538745965948,20.860833576963927,9.315446117304447,13.234733576963947,False
1406,1435,1436,1493,1495,1.6722239556043235,3.7324890004809106,20.8127327546147,17.08024375413379,15.306432754614661,False
568,597,598,655,657,1.523304927881071,1.1796365058151252,20.811069081382186,21.99070558719731,15.652969081382196,False
533,504,563,506,564,3.334133535044998,10.661233483719826,20.70064357982679,10.039410096106991,15.244643579826771,False
967,938,997,940,998,9.946468075682901,0.9303396336027561,20.681032105274795,21.61137173887755,12.286632105274776,False
1160,1189,1190,1247,1249,14.45444274865227,1.0167691250027246,20.60365944430316,19.586890319300437,16.176859444303176,False
1337,1308,1367,1310,1368,0.5416045737086677,1.5469493047960157,20.40179446616304,18.854845161367024,12.364894466163037,False
213,184,243,186,244,2.6218725620256293,18.10785707854771,20.215011511591456,2.1071544330437746,13.618611511591467,False
628,657,658,715,717,7.897911762937355,4.122855470532727,20.212549446772698,16.08969397623997,16.064349446772695,False
637,608,667,610,668,1.628478098869408,3.581248583696407,20.042726506314096,16.46147792261769,13.999126506314127,False
500,529,530,587,589,14.25371368531782,24.072114733764835,12.356055535397644,11.716059198367219,7.7003555353976765,False
829,800,859,802,860,3.689514822558067,20.893540496525105,12.13042094758481,8.763119548940267,4.256320947584811,False
1268,1297,1298,1355,1357,20.27351174344463,22.361350164152157,9.602818817722351,12.758531346429777,4.526318817722313,False
964,993,994,1051,1053,11.105384986408552,20.879077029195457,3.7174463712364343,17.16163065795905,0.498453628763599,False
1500,1529,1530,1587,1589,13.255488213148169,22.570445033548395,2.147983122318749,20.422461911229647,1.6942168776812423,False
590,619,620,677,679,3.4503935072893626,25.563918193409194,0.09550783158434228,25.46841036182485,6.282992168415689,False
