block,start_ps,end_ps,frame_count,temperature_mean_K,potential_mean_kJ_mol,pressure_mean_bar,HBN_aligned_rms_nm_mean,HBN_aligned_rms_nm_extreme,HBN_bond_deviation_q99_nm_mean,HBN_bond_deviation_q99_nm_extreme,HBN_bond_deviation_max_nm_mean,HBN_bond_deviation_max_nm_extreme,HBN_angle_deviation_q99_deg_mean,HBN_angle_deviation_q99_deg_extreme,HBN_angle_deviation_max_deg_mean,HBN_angle_deviation_max_deg_extreme,HBN_planarity_q99_deg_mean,HBN_planarity_q99_deg_extreme,HBN_planarity_max_deg_mean,HBN_planarity_max_deg_extreme,HBN_equilibrium_q99_deg_mean,HBN_equilibrium_q99_deg_extreme,HBN_equilibrium_max_deg_mean,HBN_equilibrium_max_deg_extreme,PYR_max_aligned_rms_nm_mean,PYR_max_aligned_rms_nm_extreme,PYR_max_bond_deviation_nm_mean,PYR_max_bond_deviation_nm_extreme,PYR_max_angle_deviation_deg_mean,PYR_max_angle_deviation_deg_extreme,HBN_PYR_minimum_contact_nm_mean,HBN_PYR_minimum_contact_nm_extreme,PYR_PYR_minimum_contact_nm_mean,PYR_PYR_minimum_contact_nm_extreme,PYR_waterO_minimum_contact_nm_mean,PYR_waterO_minimum_contact_nm_extreme
1,0.0,10.0,20,300.35222967000004,-763180.9025,10.776843629999998,0.04083359775190438,0.057692896579142755,0.007736094016224065,0.00802357124296825,0.010878347738067777,0.012168699173849523,2.954195723705253,3.0710395265046198,4.62842533500862,5.273342646430322,20.98341992660717,22.197719479215262,26.854817254931636,31.033584189749803,20.485890296762236,22.24159591399912,29.358407958793215,33.98138031009745,0.01883065235366461,0.02403496855274346,0.008194083855615408,0.01089808436034187,8.648289225468028,13.396878148317995,0.29447940011572815,0.2806724069088374,1.7343070161112064,1.6292762196754733,0.2949737119574504,0.2836793965024598
2,10.0,20.0,20,299.64281705999997,-764030.518125,-4.383682370000002,0.049631353981804634,0.056435133000009824,0.007896302654135096,0.008276971340253113,0.010952354424996742,0.011782329539032688,2.975601417789524,3.07364557643233,4.827097902732008,5.713737226286668,21.00922353909886,21.977767766541668,26.426984674585903,29.37381488747843,20.984994092478633,23.378856308183863,29.176320876482514,32.93074323459405,0.020009859661983417,0.027205180739610566,0.008023956716963033,0.009337855212466273,8.401070787339332,10.852507962164822,0.294129801603479,0.2736622005319694,1.6707555065494524,1.505362082689743,0.29380288220219564,0.2821364917907645
3,20.0,30.0,20,299.58570217000005,-764813.126875,-7.435144379999998,0.06525825353212988,0.07607649288664453,0.00799322275506711,0.00827142463808858,0.011731726044239613,0.013154297587733121,3.0193820998776553,3.216953156983579,4.915838739535149,6.132585136117072,21.403457637563523,22.14825050896576,27.507966079810945,32.91762466313591,20.566069078358222,22.20034818246069,28.91878907983675,33.410423203557684,0.019417810453513634,0.024998955603589307,0.008696947945881522,0.011269083898501009,9.31053341424588,12.73802606480865,0.29629231466861683,0.2792382495289635,1.668625910546495,1.4492598110759853,0.2948136303307756,0.28114231271724316
4,30.0,40.0,20,300.96188777000003,-762852.215625,18.443161550000003,0.0703289616341303,0.07889539825145678,0.008146289542901562,0.008448224055898788,0.011499790130612355,0.014267155038660134,3.0601004029231254,3.237812699775178,4.673584621243652,5.606639119803717,21.303374116973504,22.236250610252537,27.571137392324932,30.866393653626943,20.77254574906186,22.117037571549783,30.004554594020355,38.0610405329237,0.019232273003421736,0.02544086457491847,0.008305001993123043,0.010572709209134445,9.511267513403505,11.858345562970214,0.2936650192426213,0.26798880573635936,1.6642137141278155,1.4776159852952324,0.295315161269875,0.2750363612324741
5,40.0,50.0,20,300.62817291000005,-763038.438125,20.244536450000005,0.06921213511106614,0.08128556261132264,0.00814373531713842,0.00838337657697509,0.01177572348648638,0.0141378651014063,3.0934250996208457,3.19445581787621,4.989699425936193,6.281246572934421,21.451779499712153,22.466050338536675,28.290424626062922,31.676018656373515,21.209667071094337,22.8120226214955,29.953739119829244,33.20273248832109,0.018937065207285175,0.022951027925334214,0.008057141292858436,0.010595973626838395,8.140808828021223,11.023565954619556,0.29416942140643176,0.27084497410880687,1.666195361858031,1.5608161326690597,0.2925359400268985,0.28057619286033536
6,50.0,60.0,20,300.46672547,-763507.9075,-12.567282259999999,0.06454930340688164,0.0759134465190313,0.00816843451302009,0.00853522199293772,0.011543117882646921,0.013477061912979815,3.122818990571388,3.262098443753004,4.882442172250551,6.483482406861569,21.562557710991396,23.013248441329324,27.554282384134417,31.67792098138932,21.397014287092894,22.390359499103162,29.745967479411263,33.61688512625767,0.01997861777435223,0.029898004872929717,0.008090211036243104,0.009849719123375816,9.118980005201117,11.904086514114383,0.2937499980423856,0.2710977683419761,1.5980504038955021,1.474517209123041,0.2934735936934754,0.2815261977152387
7,60.0,70.0,20,299.02113775,-764872.14375,-25.159825140000002,0.0642320654584038,0.07715730415581165,0.008298813434955553,0.008749289737685394,0.011967444993512186,0.014464998046569755,3.1675272362675324,3.2419052658154826,4.835914420008185,6.422552969202528,21.578173935064477,22.199021648497933,27.202195898260232,30.359271370264736,20.6862967178428,21.929007658851997,29.510712783670066,33.42237753351435,0.018960238881901757,0.023790008176189162,0.007779072083731814,0.009394815667702477,9.103509818627993,11.880970288729998,0.2967869045583198,0.271516113702299,1.6162700961430627,1.4657950061314844,0.29545904791171396,0.2812205540141046
8,70.0,80.0,20,299.556221,-764648.070625,4.174548489999998,0.0673804594486575,0.0759165929321348,0.008328047750231559,0.00894728540499254,0.011682261641773033,0.014996600188243697,3.1630899419554677,3.3053352948911687,4.775221202356688,5.801736363801453,21.81242666615048,23.21861496718172,27.608267719217555,32.00751066570268,21.52775697447873,22.554949634883272,29.534605927801003,32.923995405070855,0.020171498670299246,0.028567823627186954,0.008046768216134115,0.009525407587220452,9.51877313366911,13.517470671894074,0.2989114105197426,0.28062430400804605,2.0354410876935027,1.7563100523540824,0.29132355431321866,0.278643140952725
9,80.0,90.0,20,300.20597900999996,-764702.7875,4.192164659999999,0.06486088994170905,0.07714299406208489,0.008310929873338008,0.008670421485547494,0.011632959828279357,0.013249822815895207,3.1918971990854264,3.3464724890149644,5.0552358940954125,7.1166254820791295,21.92865838492465,22.669392836858858,28.379033694641397,31.577481614975397,21.333476274671405,22.011637916048965,29.98130334082304,36.47809746031072,0.019708173425974158,0.025766277116918486,0.008343557342130074,0.01136666203575043,9.067763297994954,11.854678151245196,0.29377575420815055,0.27788846683516716,1.922763285596058,1.8454536027762927,0.2961926447631532,0.28538044782360256
10,90.0,100.0,21,300.1078705841584,-764343.5971534654,52.66392198019801,0.056153092239802825,0.06426624576480386,0.008408304185404563,0.008732165438388766,0.011492943599228436,0.015268105935821452,3.221414295646414,3.3237707401465317,4.921529001775444,5.709401466771553,21.94438330004819,22.918109003941847,27.63674423529121,31.186869820049253,21.372381592734612,22.34372903049443,30.398958308209817,35.81884940603595,0.02045392464779955,0.029867506000172028,0.007988744922402206,0.010556089564913579,9.292792323118912,12.37815121491822,0.29762390756827584,0.27553221227290264,2.127062154978382,1.978524955617189,0.2917275337699588,0.2731501418634085
