frame,PYR2,PYR3,PYR4,PYR5
0,0.842611,0.835724,0.825844,0.863384
1,0.797002,0.793849,0.849764,0.867596
2,0.845081,0.829758,0.835923,0.86724
3,0.834996,0.845235,0.844269,0.827679
4,0.832355,0.8513,0.850797,0.870027
5,0.738175,0.836255,0.837801,0.861442
6,0.822484,0.828688,0.842006,0.876376
7,0.836925,0.830727,0.843484,0.875279
8,0.843392,0.819809,0.827921,0.864482
9,0.841025,0.848329,0.824401,0.866988
10,0.835084,0.844755,0.833706,0.879112
11,0.825597,0.843361,0.850177,0.876362
12,0.845106,0.848962,0.839986,0.866772
13,0.84713,0.820146,0.849027,0.878858
14,0.846654,0.833415,0.847209,0.840078
15,0.828056,0.837737,0.823216,0.828714
16,0.829879,0.845418,0.849671,0.854841
17,0.84291,0.825989,0.849892,0.866801
18,0.842501,0.847292,0.84913,0.871044
19,0.842362,0.846609,0.847765,0.861175
20,0.825551,0.845965,0.849818,0.878432
