frame,PYR2,PYR3,PYR4,PYR5
0,0.493214356,0.504489664,0.503190422,0.652757565
1,0.479081305,0.471984456,0.518123726,0.66052015
2,0.50924132,0.493704464,0.511090468,0.637471618
3,0.497305626,0.502294183,0.509273163,0.61541292
4,0.498540213,0.518861417,0.522246322,0.648594776
5,0.424630393,0.501037835,0.501976497,0.647307662
6,0.486883676,0.492967153,0.510757213,0.659519925
7,0.490046455,0.490450249,0.512697666,0.659436962
8,0.501966286,0.491495921,0.503082331,0.655883767
9,0.503201742,0.514855013,0.510873621,0.62317919
10,0.503064953,0.507950168,0.501788253,0.663968719
11,0.495368741,0.504426624,0.518575837,0.659752246
12,0.505777416,0.511610394,0.513306446,0.644718639
13,0.505300314,0.499481109,0.510445336,0.661990456
14,0.504494792,0.500472478,0.50755834,0.634868449
15,0.488877754,0.510482168,0.498507322,0.617289556
16,0.484549816,0.500972655,0.514035631,0.64087199
17,0.503383394,0.499303464,0.516236756,0.658947702
18,0.501314575,0.514666779,0.513302479,0.647780357
19,0.505899823,0.506260518,0.509308271,0.649181293
20,0.476937983,0.499580956,0.521661364,0.670424221
