frame,site,S1_energy_eV,S1_fosc,S2_energy_eV,S2_fosc,S1_S2_gap_meV,bright_root,alternate_root,expected_bright_root,mapping_preserved,bright_energy_eV,bright_fosc,alternate_energy_eV,alternate_fosc,bright_fraction_of_S1_S2_fosc,source_output
0,PYR2,3.999,0.001619329,4.068,0.493214356,68.9999999999995,2,1,2,True,4.068,0.493214356,3.999,0.001619329,0.9967275287655488,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.out
0,PYR3,4.0,0.007854502,4.079,0.504489664,78.99999999999974,2,1,2,True,4.079,0.504489664,4.0,0.007854502,0.9846694809441823,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.out
0,PYR4,4.013,0.01561255,4.09,0.503190422,76.99999999999996,2,1,2,True,4.09,0.503190422,4.013,0.01561255,0.9699065910516798,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.out
0,PYR5,3.779,0.652757565,3.845,0.021233224,66.00000000000028,1,2,1,True,3.779,0.652757565,3.845,0.021233224,0.9684962697613364,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.out
1,PYR2,3.994,0.031320949,4.083,0.479081305,88.99999999999997,2,1,2,True,4.083,0.479081305,3.994,0.031320949,0.9386347753080259,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR2_embedding/frame001_PYR2_embedding.out
1,PYR3,4.01,0.034273552,4.065,0.471984456,55.000000000000604,2,1,2,True,4.065,0.471984456,4.01,0.034273552,0.9323002274365999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR3_embedding/frame001_PYR3_embedding.out
1,PYR4,4.017,0.001991247,4.089,0.518123726,72.00000000000006,2,1,2,True,4.089,0.518123726,4.017,0.001991247,0.996171525329266,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR4_embedding/frame001_PYR4_embedding.out
1,PYR5,3.756,0.66052015,3.839,0.013751886,83.00000000000018,1,2,1,True,3.756,0.66052015,3.839,0.013751886,0.9796048400856416,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame001_PYR5_embedding/frame001_PYR5_embedding.out
2,PYR2,4.009,0.008972148,4.094,0.50924132,84.99999999999997,2,1,2,True,4.094,0.50924132,4.009,0.008972148,0.9826863859123013,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR2_embedding/frame002_PYR2_embedding.out
2,PYR3,4.013,0.011531162,4.086,0.493704464,73.0000000000004,2,1,2,True,4.086,0.493704464,4.013,0.011531162,0.9771766648933817,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR3_embedding/frame002_PYR3_embedding.out
2,PYR4,4.021,0.009617,4.093,0.511090468,72.00000000000006,2,1,2,True,4.093,0.511090468,4.021,0.009617,0.9815308967299082,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding.out
2,PYR5,3.779,0.637471618,3.847,0.011913246,68.00000000000006,1,2,1,True,3.779,0.637471618,3.847,0.011913246,0.9816545677910965,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding.out
3,PYR2,4.015,0.008822701,4.104,0.497305626,89.00000000000041,2,1,2,True,4.104,0.497305626,4.015,0.008822701,0.9825682528929072,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding.out
