frame,cluster,root,is_tracked_root,pair_rank,pair_label,orbital_role,orbital_index,orbital_spin,same_shape,same_natoms,origin_max_abs_diff,vectors_max_abs_diff,atomic_numbers_equal,atom_charges_max_abs_diff,atom_coordinates_max_abs_diff,same_grid,same_geometry,reference_norm,moving_norm,signed_overlap,absolute_overlap,optimal_global_sign,l2_difference_after_sign_alignment,vacuum_cube,embedded_cube
3,PYR5,1,True,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000075334966347,1.0000080573745767,0.9849494666734226,0.9849494666734226,1.0,0.1734965897450319,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.mo52a.cube
3,PYR5,1,True,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000051949155353,1.0000087684529497,0.9618235704867846,0.9618235704867846,1.0,0.2763202110350113,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s1.mo53a.cube
3,PYR5,2,False,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.000006580085798,1.0000086485064963,0.9269510901662824,0.9269510901662824,1.0,0.3822274449427162,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo52a.cube
3,PYR5,2,False,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999785077144764,0.9999780784520679,0.7790097978739337,0.7790097978739337,1.0,0.6648160679858253,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo53a.cube
3,PYR5,2,False,2,51a->54a,hole,51,a,True,True,0.0,0.0,True,0.0,0.0,True,True,0.9999834569449918,0.999983905402326,-0.9245584476323316,0.9245584476323316,-1.0,0.38843674483155893,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo51a.cube
3,PYR5,2,False,2,51a->54a,particle,54,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000045785696656,1.0000060061426417,0.7793719131931879,0.7793719131931879,1.0,0.6642711597033438,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR5_vacuum_reference_nto_s1_s2/frame000_PYR5_vacuum_reference_nto_s1_s2.s2.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame003_PYR5_embedding_nto_s1_s2/frame003_PYR5_embedding_nto_s1_s2.s2.mo54a.cube
5,PYR2,1,False,1,52a->53a,hole,52,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.000020314250779,0.9999987140295488,-0.911943502523296,0.911943502523296,-1.0,0.4196581882358646,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo52a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo52a.cube
5,PYR2,1,False,1,52a->53a,particle,53,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000358534538978,1.0000632502544111,-0.7592530290801541,0.7592530290801541,-1.0,0.6938976450743247,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo53a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo53a.cube
5,PYR2,1,False,2,51a->54a,hole,51,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000339326646963,1.0000542816109634,0.9134442474575903,0.9134442474575903,1.0,0.41606670749390734,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo51a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo51a.cube
5,PYR2,1,False,2,51a->54a,particle,54,a,True,True,0.0,0.0,True,0.0,0.0,True,True,1.0000235754557714,0.9999957069229192,-0.7626265000616543,0.7626265000616543,-1.0,0.6890188675767103,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame000_PYR2_vacuum_reference_nto_s1_s2/frame000_PYR2_vacuum_reference_nto_s1_s2.s1.mo54a.cube,runs/phase1A/day016_md_bath_extraction/day019_nto_inputs/frame005_PYR2_embedding_nto_s1_s2/frame005_PYR2_embedding_nto_s1_s2.s1.mo54a.cube
