label,frame,timestep,time_from_first_frame_fs,n_water,n_sites,minimum_water_site_distance_A,mean_water_site_distance_A,n_contact_le_3.5A,fraction_contact_le_3.5A,n_contact_le_4.5A,fraction_contact_le_4.5A,n_contact_le_6A,fraction_contact_le_6A
day007_hybrid_fieldZ_0_to_10k,1,0,0.0,29987,24,4.062004805819413,37.99190801554855,0,0.0,3,0.00010004335211925168,19,0.0006336078967552607
day007_hybrid_fieldZ_0_to_10k,2,1000,50.0,29987,24,4.237557977184496,37.9971291700829,0,0.0,2,6.669556807950112e-05,16,0.000533564544636009
day007_hybrid_fieldZ_0_to_10k,3,2000,100.0,29987,24,4.184322941647785,38.00212488414138,0,0.0,2,6.669556807950112e-05,16,0.000533564544636009
day007_hybrid_fieldZ_0_to_10k,4,3000,150.0,29987,24,4.2318727649706105,38.00698524712266,0,0.0,2,6.669556807950112e-05,15,0.0005002167605962583
day007_hybrid_fieldZ_0_to_10k,5,4000,200.0,29987,24,4.217328483341081,38.01196713061291,0,0.0,3,0.00010004335211925168,14,0.0004668689765565078
day007_hybrid_fieldZ_0_to_10k,6,5000,250.0,29987,24,4.098639781061517,38.01608279523348,0,0.0,2,6.669556807950112e-05,16,0.000533564544636009
day007_hybrid_fieldZ_0_to_10k,7,6000,300.0,29987,24,3.9655149076633163,38.020420445949426,0,0.0,2,6.669556807950112e-05,19,0.0006336078967552607
day007_hybrid_fieldZ_0_to_10k,8,7000,350.0,29987,24,3.8490405623219917,38.02460896356714,0,0.0,2,6.669556807950112e-05,17,0.0005669123286757595
day007_hybrid_fieldZ_0_to_10k,9,8000,400.0,29987,24,3.9124913563610577,38.02973922111576,0,0.0,2,6.669556807950112e-05,16,0.000533564544636009
day007_hybrid_fieldZ_0_to_10k,10,9000,450.0,29987,24,3.976550203643859,38.03478614688029,0,0.0,2,6.669556807950112e-05,17,0.0005669123286757595
day007_hybrid_fieldZ_0_to_10k,11,10000,500.0,29987,24,3.862970691061478,38.04006959097578,0,0.0,2,6.669556807950112e-05,18,0.00060026011271551
