label,frame,timestep,time_from_first_frame_fs,n_water,n_sites,minimum_water_site_distance_A,mean_water_site_distance_A,n_contact_le_3.5A,fraction_contact_le_3.5A,n_contact_le_4.5A,fraction_contact_le_4.5A,n_contact_le_6A,fraction_contact_le_6A
day007_hybrid_fieldZ_10k_to_20k,1,10000,0.0,29987,24,3.862970691061478,38.040069590628896,0,0.0,2,6.669556807950112e-05,18,0.00060026011271551
day007_hybrid_fieldZ_10k_to_20k,2,11000,50.0,29987,24,3.7100251144702483,38.04581184187314,0,0.0,5,0.0001667389201987528,20,0.0006669556807950112
day007_hybrid_fieldZ_10k_to_20k,3,12000,100.0,29987,24,3.667777759079739,38.05120725908094,0,0.0,5,0.0001667389201987528,20,0.0006669556807950112
day007_hybrid_fieldZ_10k_to_20k,4,13000,150.0,29987,24,3.8595790456991512,38.05730428587059,0,0.0,6,0.00020008670423850335,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,5,14000,200.0,29987,24,3.8358287579087804,38.06391799047738,0,0.0,6,0.00020008670423850335,20,0.0006669556807950112
day007_hybrid_fieldZ_10k_to_20k,6,15000,250.0,29987,24,3.8197144880213236,38.07077400888632,0,0.0,5,0.0001667389201987528,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,7,16000,300.0,29987,24,3.8906320424835847,38.07838236181983,0,0.0,6,0.00020008670423850335,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,8,17000,350.0,29987,24,3.7303776685477814,38.08567113298657,0,0.0,7,0.0002334344882782539,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,9,18000,400.0,29987,24,3.6963263762822702,38.09339774177752,0,0.0,8,0.0002667822723180045,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,10,19000,450.0,29987,24,3.6220256956570576,38.10133960638654,0,0.0,8,0.0002667822723180045,19,0.0006336078967552607
day007_hybrid_fieldZ_10k_to_20k,11,20000,500.0,29987,24,3.35227480526284,38.10919991139867,1,3.334778403975056e-05,7,0.0002334344882782539,19,0.0006336078967552607
