label,frame,timestep,time_from_first_frame_fs,n_water,n_sites,minimum_water_site_distance_A,mean_water_site_distance_A,n_contact_le_3.5A,fraction_contact_le_3.5A,n_contact_le_4.5A,fraction_contact_le_4.5A,n_contact_le_6A,fraction_contact_le_6A
day008_hybrid_fieldZ_replica01_10k_to_20k,1,10000,0.0,29987,24,3.707682350202081,38.04673293145162,0,0.0,3,0.00010004335211925168,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_10k_to_20k,2,11000,50.0,29987,24,3.5112657276258687,38.052664442970205,0,0.0,3,0.00010004335211925168,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_10k_to_20k,3,12000,100.0,29987,24,3.6581457611746466,38.059083968623526,0,0.0,3,0.00010004335211925168,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_10k_to_20k,4,13000,150.0,29987,24,3.9399134724001237,38.066080078208095,0,0.0,3,0.00010004335211925168,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_10k_to_20k,5,14000,200.0,29987,24,4.174935718068007,38.07268281765753,0,0.0,3,0.00010004335211925168,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_10k_to_20k,6,15000,250.0,29987,24,4.361409984167967,38.07841026336166,0,0.0,2,6.669556807950112e-05,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_10k_to_20k,7,16000,300.0,29987,24,4.418640253516911,38.08436279502423,0,0.0,1,3.334778403975056e-05,11,0.0003668256244372561
day008_hybrid_fieldZ_replica01_10k_to_20k,8,17000,350.0,29987,24,4.390108027144667,38.09175820181264,0,0.0,1,3.334778403975056e-05,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_10k_to_20k,9,18000,400.0,29987,24,4.277101627270508,38.09984690610687,0,0.0,1,3.334778403975056e-05,10,0.0003334778403975056
day008_hybrid_fieldZ_replica01_10k_to_20k,10,19000,450.0,29987,24,4.169725714000866,38.10859013217154,0,0.0,1,3.334778403975056e-05,13,0.0004335211925167573
day008_hybrid_fieldZ_replica01_10k_to_20k,11,20000,500.0,29987,24,4.276080010944607,38.11752922509079,0,0.0,2,6.669556807950112e-05,13,0.0004335211925167573
