label,frame,timestep,time_from_first_frame_fs,n_water,n_sites,minimum_water_site_distance_A,mean_water_site_distance_A,n_contact_le_3.5A,fraction_contact_le_3.5A,n_contact_le_4.5A,fraction_contact_le_4.5A,n_contact_le_6A,fraction_contact_le_6A
day008_hybrid_fieldfree_replica01_20k,1,0,0.0,29987,24,4.6094194916496765,37.88331634509693,0,0.0,0,0.0,10,0.0003334778403975056
day008_hybrid_fieldfree_replica01_20k,2,1000,50.0,29987,24,4.526331305814895,37.883666099929414,0,0.0,0,0.0,12,0.0004001734084770067
day008_hybrid_fieldfree_replica01_20k,3,2000,100.0,29987,24,4.430039916298719,37.88410993309335,0,0.0,1,3.334778403975056e-05,10,0.0003334778403975056
day008_hybrid_fieldfree_replica01_20k,4,3000,150.0,29987,24,4.52624342473977,37.88521980085146,0,0.0,0,0.0,12,0.0004001734084770067
day008_hybrid_fieldfree_replica01_20k,5,4000,200.0,29987,24,4.603611027226345,37.88726829298263,0,0.0,0,0.0,14,0.0004668689765565078
day008_hybrid_fieldfree_replica01_20k,6,5000,250.0,29987,24,4.807294713245696,37.88937046821512,0,0.0,0,0.0,13,0.0004335211925167573
day008_hybrid_fieldfree_replica01_20k,7,6000,300.0,29987,24,5.010107305238081,37.89203011387663,0,0.0,0,0.0,15,0.0005002167605962583
day008_hybrid_fieldfree_replica01_20k,8,7000,350.0,29987,24,5.108004179716381,37.89586760267133,0,0.0,0,0.0,14,0.0004668689765565078
day008_hybrid_fieldfree_replica01_20k,9,8000,400.0,29987,24,4.948181692298694,37.90016782389975,0,0.0,0,0.0,13,0.0004335211925167573
day008_hybrid_fieldfree_replica01_20k,10,9000,450.0,29987,24,4.825442258487814,37.90494275947088,0,0.0,0,0.0,14,0.0004668689765565078
day008_hybrid_fieldfree_replica01_20k,11,10000,500.0,29987,24,4.783618686193542,37.91043989471322,0,0.0,0,0.0,15,0.0005002167605962583
day008_hybrid_fieldfree_replica01_20k,12,11000,550.0,29987,24,4.797983785925085,37.91521785332391,0,0.0,0,0.0,12,0.0004001734084770067
day008_hybrid_fieldfree_replica01_20k,13,12000,600.0,29987,24,4.854012576209499,37.92129235195976,0,0.0,0,0.0,11,0.0003668256244372561
day008_hybrid_fieldfree_replica01_20k,14,13000,650.0,29987,24,4.827789296355008,37.92757010330042,0,0.0,0,0.0,14,0.0004668689765565078
day008_hybrid_fieldfree_replica01_20k,15,14000,700.0,29987,24,4.695891489376644,37.93400536955538,0,0.0,0,0.0,13,0.0004335211925167573
day008_hybrid_fieldfree_replica01_20k,16,15000,750.0,29987,24,4.63750581023895,37.940458035195505,0,0.0,0,0.0,13,0.0004335211925167573
day008_hybrid_fieldfree_replica01_20k,17,16000,800.0,29987,24,4.481034503326216,37.946631931297325,0,0.0,1,3.334778403975056e-05,15,0.0005002167605962583
day008_hybrid_fieldfree_replica01_20k,18,17000,850.0,29987,24,4.35716774522166,37.953988190971906,0,0.0,1,3.334778403975056e-05,14,0.0004668689765565078
day008_hybrid_fieldfree_replica01_20k,19,18000,900.0,29987,24,4.367637394518921,37.96255106494663,0,0.0,2,6.669556807950112e-05,12,0.0004001734084770067
day008_hybrid_fieldfree_replica01_20k,20,19000,950.0,29987,24,4.285322784808634,37.97076267001471,0,0.0,3,0.00010004335211925168,12,0.0004001734084770067
day008_hybrid_fieldfree_replica01_20k,21,20000,1000.0,29987,24,4.1567809973584176,37.977796208926534,0,0.0,2,6.669556807950112e-05,13,0.0004335211925167573
