label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day007_fieldZ_0_to_20k,1,0,0.0,1,107285,107286,6.0,0,0.0,7.468147963183378
day007_fieldZ_0_to_20k,1,0,0.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.994813138614081
day007_fieldZ_0_to_20k,1,0,0.0,3,107283,107284,6.0,5,0.0001667389201987528,4.844897527296116
day007_fieldZ_0_to_20k,1,0,0.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.4986755706541
day007_fieldZ_0_to_20k,1,0,0.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.980646224280451
day007_fieldZ_0_to_20k,1,0,0.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.354826812596278
day007_fieldZ_0_to_20k,1,0,0.0,7,107295,107296,6.0,0,0.0,7.74772916214809
day007_fieldZ_0_to_20k,1,0,0.0,8,107297,107298,6.0,4,0.00013339113615900224,4.062004805819413
day007_fieldZ_0_to_20k,1,0,0.0,9,107293,107294,6.0,2,6.669556807950112e-05,5.851729198279767
day007_fieldZ_0_to_20k,1,0,0.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.568714582378952
day007_fieldZ_0_to_20k,1,0,0.0,11,107303,107304,6.0,2,6.669556807950112e-05,4.284681506249906
day007_fieldZ_0_to_20k,1,0,0.0,12,107299,107300,6.0,0,0.0,8.1426486504331
day007_fieldZ_0_to_20k,2,1000,50.0,1,107285,107286,6.0,0,0.0,7.709870609809218
day007_fieldZ_0_to_20k,2,1000,50.0,2,107281,107282,6.0,0,0.0,6.226277981756036
day007_fieldZ_0_to_20k,2,1000,50.0,3,107283,107284,6.0,5,0.0001667389201987528,4.755765373733235
day007_fieldZ_0_to_20k,2,1000,50.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.531686070327465
day007_fieldZ_0_to_20k,2,1000,50.0,5,107287,107288,6.0,0,0.0,6.009313014812923
day007_fieldZ_0_to_20k,2,1000,50.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.008410670302506
day007_fieldZ_0_to_20k,2,1000,50.0,7,107295,107296,6.0,0,0.0,7.846919844754369
day007_fieldZ_0_to_20k,2,1000,50.0,8,107297,107298,6.0,3,0.00010004335211925168,4.27531687046703
day007_fieldZ_0_to_20k,2,1000,50.0,9,107293,107294,6.0,2,6.669556807950112e-05,5.688630244619525
day007_fieldZ_0_to_20k,2,1000,50.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.275315658801853
day007_fieldZ_0_to_20k,2,1000,50.0,11,107303,107304,6.0,2,6.669556807950112e-05,4.237557977184496
day007_fieldZ_0_to_20k,2,1000,50.0,12,107299,107300,6.0,0,0.0,8.441916431711464
day007_fieldZ_0_to_20k,3,2000,100.0,1,107285,107286,6.0,0,0.0,7.820564766051108
day007_fieldZ_0_to_20k,3,2000,100.0,2,107281,107282,6.0,0,0.0,6.343263426856872
