pair_index,positive_atom_id,negative_atom_id,pair_distance_A,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad
1,107285,107286,2.0,-33.0,-57.1577,-60.0,66.00002022189084,-2.0943949254975904
2,107281,107282,2.0,66.0,0.0,-60.0,66.0,0.0
3,107283,107284,2.0,-33.0,57.1577,-60.0,66.00002022189084,2.0943949254975904
4,107291,107292,2.0,33.0,-57.1577,-20.0,66.00002022189084,-1.047197728092203
5,107287,107288,2.0,33.0,57.1577,-20.0,66.00002022189084,1.047197728092203
6,107289,107290,2.0,-66.0,0.0,-20.0,66.0,3.141592653589793
7,107295,107296,2.0,-33.0,-57.1577,20.0,66.00002022189084,-2.0943949254975904
8,107297,107298,2.0,66.0,0.0,20.0,66.0,0.0
9,107293,107294,2.0,-33.0,57.1577,20.0,66.00002022189084,2.0943949254975904
10,107301,107302,2.0,33.0,-57.1577,60.0,66.00002022189084,-1.047197728092203
11,107303,107304,2.0,33.0,57.1577,60.0,66.00002022189084,1.047197728092203
12,107299,107300,2.0,-66.0,0.0,60.0,66.0,3.141592653589793
