label,pair_index,positive_atom_id,negative_atom_id,cutoff_A,n_frames,mean_contact_count,std_contact_count,minimum_contact_count,maximum_contact_count,mean_minimum_distance_A,minimum_observed_distance_A
day007_fieldfree,1,107285,107286,6.0,8,0.25,0.4629100498862757,0,1,6.618839018672703,5.289797895005062
day007_fieldfree,2,107281,107282,6.0,8,1.0,0.0,1,1,5.44207270831986,5.099462629179667
day007_fieldfree,3,107283,107284,6.0,8,3.25,1.0350983390135313,2,5,4.8771641091011935,4.545115916013586
day007_fieldfree,4,107291,107292,6.0,8,1.625,0.5175491695067657,1,2,5.052270494900064,4.4986755706541
day007_fieldfree,5,107287,107288,6.0,8,1.625,1.1877349391654208,0,3,5.694358195985203,5.220599477071573
day007_fieldfree,6,107289,107290,6.0,8,1.0,0.0,1,1,5.400189275163434,5.019657833199389
day007_fieldfree,7,107295,107296,6.0,8,0.0,0.0,0,0,8.657376211544888,7.74772916214809
day007_fieldfree,8,107297,107298,6.0,8,2.5,1.0690449676496976,1,4,4.333569155354601,3.5100292042802166
day007_fieldfree,9,107293,107294,6.0,8,0.625,0.9161253813129043,0,2,5.998676182159833,5.178538598871303
day007_fieldfree,10,107301,107302,6.0,8,1.0,0.0,1,1,5.36830450626772,4.943922779534489
day007_fieldfree,11,107303,107304,6.0,8,1.0,0.9258200997725514,0,2,5.501166918055906,4.284681506249906
day007_fieldfree,12,107299,107300,6.0,8,0.0,0.0,0,0,7.437009505036924,6.74750923186475
