label,frame,timestep,waters_contacting_any_pair,waters_contacting_multiple_pairs,maximum_pairs_contacted_by_one_water
day008_fieldZ_replica01_0_to_20k,1,0,13,0,1
day008_fieldZ_replica01_0_to_20k,2,1000,12,0,1
day008_fieldZ_replica01_0_to_20k,3,2000,14,0,1
day008_fieldZ_replica01_0_to_20k,4,3000,14,0,1
day008_fieldZ_replica01_0_to_20k,5,4000,15,0,1
day008_fieldZ_replica01_0_to_20k,6,5000,14,0,1
day008_fieldZ_replica01_0_to_20k,7,6000,12,0,1
day008_fieldZ_replica01_0_to_20k,8,7000,11,0,1
day008_fieldZ_replica01_0_to_20k,9,8000,11,0,1
day008_fieldZ_replica01_0_to_20k,10,9000,10,0,1
day008_fieldZ_replica01_0_to_20k,11,10000,11,0,1
day008_fieldZ_replica01_0_to_20k,12,11000,11,0,1
day008_fieldZ_replica01_0_to_20k,13,12000,11,0,1
day008_fieldZ_replica01_0_to_20k,14,13000,10,0,1
day008_fieldZ_replica01_0_to_20k,15,14000,10,0,1
day008_fieldZ_replica01_0_to_20k,16,15000,10,0,1
day008_fieldZ_replica01_0_to_20k,17,16000,11,0,1
day008_fieldZ_replica01_0_to_20k,18,17000,10,0,1
day008_fieldZ_replica01_0_to_20k,19,18000,10,0,1
day008_fieldZ_replica01_0_to_20k,20,19000,13,0,1
day008_fieldZ_replica01_0_to_20k,21,20000,13,0,1
