label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day008_fieldfree_replica01,1,0,0.0,1,107285,107286,6.0,1,3.334778403975056e-05,4.6094194916496765
day008_fieldfree_replica01,1,0,0.0,2,107281,107282,6.0,0,0.0,6.780050563742131
day008_fieldfree_replica01,1,0,0.0,3,107283,107284,6.0,1,3.334778403975056e-05,5.386234004385621
day008_fieldfree_replica01,1,0,0.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.809543127990435
day008_fieldfree_replica01,1,0,0.0,5,107287,107288,6.0,3,0.00010004335211925168,5.574307722937444
day008_fieldfree_replica01,1,0,0.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.721461434187949
day008_fieldfree_replica01,1,0,0.0,7,107295,107296,6.0,0,0.0,9.658694442314657
day008_fieldfree_replica01,1,0,0.0,8,107297,107298,6.0,1,3.334778403975056e-05,5.583642033556592
day008_fieldfree_replica01,1,0,0.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.51194157897197
day008_fieldfree_replica01,1,0,0.0,10,107301,107302,6.0,0,0.0,7.385377435175537
day008_fieldfree_replica01,1,0,0.0,11,107303,107304,6.0,0,0.0,6.103367268156161
day008_fieldfree_replica01,1,0,0.0,12,107299,107300,6.0,0,0.0,6.545401531609809
day008_fieldfree_replica01,2,1000,50.0,1,107285,107286,6.0,1,3.334778403975056e-05,4.526331305814895
day008_fieldfree_replica01,2,1000,50.0,2,107281,107282,6.0,0,0.0,6.492702483565686
day008_fieldfree_replica01,2,1000,50.0,3,107283,107284,6.0,2,6.669556807950112e-05,5.4023863764081135
day008_fieldfree_replica01,2,1000,50.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.649591703580004
day008_fieldfree_replica01,2,1000,50.0,5,107287,107288,6.0,4,0.00013339113615900224,5.426827037044758
day008_fieldfree_replica01,2,1000,50.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.968003077378566
day008_fieldfree_replica01,2,1000,50.0,7,107295,107296,6.0,0,0.0,9.589124357833724
day008_fieldfree_replica01,2,1000,50.0,8,107297,107298,6.0,1,3.334778403975056e-05,5.397194379017678
day008_fieldfree_replica01,2,1000,50.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.38686226016593
day008_fieldfree_replica01,2,1000,50.0,10,107301,107302,6.0,0,0.0,7.605882444529369
day008_fieldfree_replica01,2,1000,50.0,11,107303,107304,6.0,0,0.0,6.296012961390726
day008_fieldfree_replica01,2,1000,50.0,12,107299,107300,6.0,0,0.0,6.557996847483228
day008_fieldfree_replica01,3,2000,100.0,1,107285,107286,6.0,1,3.334778403975056e-05,4.430039916298719
day008_fieldfree_replica01,3,2000,100.0,2,107281,107282,6.0,0,0.0,6.146649623363935
day008_fieldfree_replica01,3,2000,100.0,3,107283,107284,6.0,2,6.669556807950112e-05,5.346277071944546
day008_fieldfree_replica01,3,2000,100.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.539310990668081
day008_fieldfree_replica01,3,2000,100.0,5,107287,107288,6.0,3,0.00010004335211925168,5.387551267505491
day008_fieldfree_replica01,3,2000,100.0,6,107289,107290,6.0,0,0.0,6.3887670500966
day008_fieldfree_replica01,3,2000,100.0,7,107295,107296,6.0,0,0.0,9.330584466688032
day008_fieldfree_replica01,3,2000,100.0,8,107297,107298,6.0,1,3.334778403975056e-05,5.225484830864977
day008_fieldfree_replica01,3,2000,100.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.484621236694473
day008_fieldfree_replica01,3,2000,100.0,10,107301,107302,6.0,0,0.0,7.755972729451801
day008_fieldfree_replica01,3,2000,100.0,11,107303,107304,6.0,0,0.0,6.310862956838786
day008_fieldfree_replica01,3,2000,100.0,12,107299,107300,6.0,0,0.0,6.666933876228261
day008_fieldfree_replica01,4,3000,150.0,1,107285,107286,6.0,1,3.334778403975056e-05,4.5405679798897385
