label,frame,timestep,waters_contacting_any_pair,waters_contacting_multiple_pairs,maximum_pairs_contacted_by_one_water
day008_fieldfree_replica01,1,0,10,0,1
day008_fieldfree_replica01,2,1000,12,0,1
day008_fieldfree_replica01,3,2000,10,0,1
day008_fieldfree_replica01,4,3000,12,0,1
day008_fieldfree_replica01,5,4000,14,0,1
day008_fieldfree_replica01,6,5000,13,0,1
day008_fieldfree_replica01,7,6000,15,0,1
day008_fieldfree_replica01,8,7000,14,0,1
day008_fieldfree_replica01,9,8000,13,0,1
day008_fieldfree_replica01,10,9000,14,0,1
day008_fieldfree_replica01,11,10000,15,0,1
day008_fieldfree_replica01,12,11000,12,0,1
day008_fieldfree_replica01,13,12000,11,0,1
day008_fieldfree_replica01,14,13000,14,0,1
day008_fieldfree_replica01,15,14000,13,0,1
day008_fieldfree_replica01,16,15000,13,0,1
day008_fieldfree_replica01,17,16000,15,0,1
day008_fieldfree_replica01,18,17000,14,0,1
day008_fieldfree_replica01,19,18000,12,0,1
day008_fieldfree_replica01,20,19000,12,0,1
day008_fieldfree_replica01,21,20000,13,0,1
