pair_index,positive_atom_id,negative_atom_id,early_mean,early_std,early_n_frames,late_mean,late_std,late_n_frames,condition,delta_late_minus_early,relative_change
1,107285,107286,0.0,0.0,6,0.8333333333333334,0.408248290463863,6,original,0.8333333333333334,
2,107281,107282,0.16666666666666666,0.408248290463863,6,0.0,0.0,6,original,-0.16666666666666666,-1.0
3,107283,107284,4.166666666666667,0.7527726527090811,6,4.5,0.5477225575051661,6,original,0.33333333333333304,0.07999999999999992
4,107291,107292,2.0,0.0,6,1.0,0.0,6,original,-1.0,-0.5
5,107287,107288,1.0,0.6324555320336759,6,3.0,0.6324555320336759,6,original,2.0,2.0
6,107289,107290,1.0,0.0,6,1.0,0.0,6,original,0.0,0.0
7,107295,107296,0.0,0.0,6,0.0,0.0,6,original,0.0,
8,107297,107298,2.6666666666666665,0.816496580927726,6,3.8333333333333335,0.408248290463863,6,original,1.166666666666667,0.4375000000000001
9,107293,107294,2.0,0.0,6,3.0,0.0,6,original,1.0,0.5
10,107301,107302,1.0,0.0,6,0.8333333333333334,0.408248290463863,6,original,-0.16666666666666663,-0.16666666666666663
11,107303,107304,2.0,0.0,6,1.0,0.0,6,original,-1.0,-0.5
12,107299,107300,0.0,0.0,6,0.0,0.0,6,original,0.0,
